Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆
C1,6.03792700,6.06484830,0.02692130,0.44586992,97.74770400,99.92771700,2.18001300,2.23024471,6.00184110,6.00645420,0.00461310,0.07686142,38.97427500,40.51281600,1.53854100,3.94758081,4.03792700,4.06484830,0.02692130,0.66671091,-0.03792699,-0.06484826,-0.02692128,70.98184543,-0.00000000,0.00000000,0.00000000,-233.68631663,0.00000001,-0.00000003,-0.00000004,-323.18383032,-0.00000000,0.00000000,0.00000000,-268.06524883,1.25801670,1.22718900,-0.03082770,-2.45050006,-1.25801670,-1.22718900,0.03082770,-2.45050006,30.24598200,29.86759900,-0.37838300,-1.25101906,-30.24598200,-29.86759900,0.37838300,-1.25101906,0.71049470,0.69235917,-0.01813553,-2.55252150,-0.71049470,-0.69235917,0.01813553,-2.55252150,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6231.83160000,-73.85190000,-1.17119580,
C2,6.01395730,5.98634260,-0.02761470,-0.45917686,83.78501100,82.07051800,-1.71449300,-2.04630038,6.01534760,6.00923780,-0.00610980,-0.10157019,31.77995700,30.80515100,-0.97480600,-3.06736098,4.01395730,3.98634260,-0.02761470,-0.68796696,-0.01395729,0.01365741,0.02761470,-197.85145924,-0.00000000,-0.00000000,-0.00000000,2402.46996015,0.00000001,0.00000004,0.00000003,379.61002323,-0.00000000,-0.00000000,-0.00000000,66.25721879,1.28788690,1.31676210,0.02887520,2.24206023,-1.28788690,-1.31676210,-0.02887520,2.24206023,26.50697400,26.84566000,0.33868600,1.27772412,-26.50697400,-26.84566000,-0.33868600,1.27772412,0.74134652,0.75955992,0.01821340,2.45679982,-0.74134652,-0.75955992,-0.01821340,2.45679982,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6377.84450000,38.06810000,0.60046439,
C3,6.01395730,5.98634260,-0.02761470,-0.45917686,83.78501100,82.07051800,-1.71449300,-2.04630038,6.01534760,6.00923780,-0.00610980,-0.10157019,31.77995700,30.80515100,-0.97480600,-3.06736098,4.01395730,3.98634260,-0.02761470,-0.68796696,-0.01395729,0.01365741,0.02761470,-197.85145924,-0.00000000,-0.00000000,-0.00000000,2402.46996015,0.00000001,0.00000004,0.00000003,379.61002323,-0.00000000,-0.00000000,-0.00000000,66.25721879,1.28788690,1.31676210,0.02887520,2.24206023,-1.28788690,-1.31676210,-0.02887520,2.24206023,26.50697400,26.84566000,0.33868600,1.27772412,-26.50697400,-26.84566000,-0.33868600,1.27772412,0.74134652,0.75955992,0.01821340,2.45679982,-0.74134652,-0.75955992,-0.01821340,2.45679982,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6377.84450000,38.06810000,0.60046439,
C4,6.03792700,6.06484830,0.02692130,0.44586992,97.74770400,99.92771700,2.18001300,2.23024471,6.00184110,6.00645420,0.00461310,0.07686142,38.97427500,40.51281600,1.53854100,3.94758081,4.03792700,4.06484830,0.02692130,0.66671091,-0.03792699,-0.06484826,-0.02692128,70.98184543,-0.00000000,0.00000000,0.00000000,-233.68631663,0.00000001,-0.00000003,-0.00000004,-323.18383032,-0.00000000,0.00000000,0.00000000,-268.06524883,1.25801670,1.22718900,-0.03082770,-2.45050006,-1.25801670,-1.22718900,0.03082770,-2.45050006,30.24598200,29.86759900,-0.37838300,-1.25101906,-30.24598200,-29.86759900,0.37838300,-1.25101906,0.71049470,0.69235917,-0.01813553,-2.55252150,-0.71049470,-0.69235917,0.01813553,-2.55252150,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6231.83160000,-73.85190000,-1.17119580,
H1,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,0.58300069,0.58304422,0.00004353,0.00746654,30.91078900,30.52856200,-0.38222700,-1.23654883,0.93725702,0.93910533,0.00184831,0.19720418,0.06274298,0.06089467,-0.00184832,-2.94585611,0.00000000,-0.00000000,-0.00000000,-265.25218825,0.00000001,0.00000003,0.00000002,160.36267833,-0.00000000,-0.00000000,-0.00000000,201.59190112,0.33915394,0.34082917,0.00167523,0.49394384,-0.33915394,-0.34082917,-0.00167523,0.49394384,11.54828100,11.74498700,0.19670600,1.70333576,-11.54828100,-11.74498700,-0.19670600,1.70333576,0.16495464,0.16541451,0.00045987,0.27878573,-0.16495464,-0.16541451,-0.00045987,0.27878573,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3831.92110000,-11.46070000,-0.29819312,
H2,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,0.58810256,0.61176648,0.02366392,4.02377436,26.96586300,28.43100100,1.46513800,5.43330655,0.94851679,1.01115370,0.06263691,6.60366908,0.05148321,-0.01115365,-0.06263686,-121.66463785,0.00000000,-0.00000000,-0.00000000,-172.70135199,-0.00000000,-0.00000001,-0.00000001,535.24866302,0.00000000,-0.00000000,-0.00000000,-648.14395986,0.33894044,0.34330902,0.00436858,1.28889312,-0.33894044,-0.34330902,-0.00436858,1.28889312,10.93194000,10.75951200,-0.17242800,-1.57728637,-10.93194000,-10.75951200,0.17242800,-1.57728637,0.16508359,0.16631109,0.00122750,0.74356270,-0.16508359,-0.16631109,-0.00122750,0.74356270,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3639.44480000,-165.47060000,-4.34886410,
H3,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,0.59058192,0.56424697,-0.02633495,-4.45915276,29.55499300,27.89877900,-1.65621400,-5.60383824,0.94551411,0.88048678,-0.06502733,-6.87745739,0.05448589,0.11951322,0.06502733,119.34709666,0.00000000,0.00000000,0.00000000,303.32521133,0.00000002,-0.00000000,-0.00000003,-119.05931282,0.00000000,-0.00000000,-0.00000000,-189.93752100,0.33542159,0.32689535,-0.00852624,-2.54194728,-0.33542159,-0.32689535,0.00852624,-2.54194728,10.72877900,10.84653900,0.11776000,1.09760859,-10.72877900,-10.84653900,-0.11776000,1.09760859,0.16520926,0.16266218,-0.00254708,-1.54172956,-0.16520926,-0.16266218,0.00254708,-1.54172956,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3984.98790000,169.19270000,4.43400893,
H4,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,0.59058192,0.56424697,-0.02633495,-4.45915276,29.55499300,27.89877900,-1.65621400,-5.60383824,0.94551411,0.88048678,-0.06502733,-6.87745739,0.05448589,0.11951322,0.06502733,119.34709666,0.00000000,0.00000000,0.00000000,303.32521133,0.00000002,-0.00000000,-0.00000003,-119.05931282,0.00000000,-0.00000000,-0.00000000,-189.93752100,0.33542159,0.32689535,-0.00852624,-2.54194728,-0.33542159,-0.32689535,0.00852624,-2.54194728,10.72877900,10.84653900,0.11776000,1.09760859,-10.72877900,-10.84653900,-0.11776000,1.09760859,0.16520926,0.16266218,-0.00254708,-1.54172956,-0.16520926,-0.16266218,0.00254708,-1.54172956,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3984.98790000,169.19270000,4.43400893,
H5,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,0.58300069,0.58304422,0.00004353,0.00746654,30.91078900,30.52856200,-0.38222700,-1.23654883,0.93725702,0.93910533,0.00184831,0.19720418,0.06274298,0.06089467,-0.00184832,-2.94585611,0.00000000,-0.00000000,-0.00000000,-265.25218825,0.00000001,0.00000003,0.00000002,160.36267833,-0.00000000,-0.00000000,-0.00000000,201.59190112,0.33915394,0.34082917,0.00167523,0.49394384,-0.33915394,-0.34082917,-0.00167523,0.49394384,11.54828100,11.74498700,0.19670600,1.70333576,-11.54828100,-11.74498700,-0.19670600,1.70333576,0.16495464,0.16541451,0.00045987,0.27878573,-0.16495464,-0.16541451,-0.00045987,0.27878573,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3831.92110000,-11.46070000,-0.29819312,
H6,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,0.58810256,0.61176648,0.02366392,4.02377436,26.96586300,28.43100100,1.46513800,5.43330655,0.94851679,1.01115370,0.06263691,6.60366908,0.05148321,-0.01115365,-0.06263686,-121.66463785,0.00000000,-0.00000000,-0.00000000,-172.70135199,-0.00000000,-0.00000001,-0.00000001,535.24866302,0.00000000,-0.00000000,-0.00000000,-648.14395986,0.33894044,0.34330902,0.00436858,1.28889312,-0.33894044,-0.34330902,-0.00436858,1.28889312,10.93194000,10.75951200,-0.17242800,-1.57728637,-10.93194000,-10.75951200,0.17242800,-1.57728637,0.16508359,0.16631109,0.00122750,0.74356270,-0.16508359,-0.16631109,-0.00122750,0.74356270,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3639.44480000,-165.47060000,-4.34886410,
