Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
C1,6.03792700,5.98518320,-0.05274380,-0.87354153,97.74770400,93.53580600,-4.21189800,-4.30894827,6.00184110,5.99349080,-0.00835030,-0.13912897,38.97427500,36.32541600,-2.64885900,-6.79642918,4.03792700,3.98518320,-0.05274380,-1.30620984,-0.03792699,0.01481676,0.05274375,-139.06652962,-0.00000000,-0.00000000,-0.00000000,430.33773422,0.00000001,0.00000001,-0.00000000,-28.90204021,-0.00000000,-0.00000000,-0.00000000,55.47801411,1.25801670,1.32269740,0.06468070,5.14148183,-1.25801670,-1.32269740,-0.06468070,5.14148183,30.24598200,31.13470900,0.88872700,2.93833078,-30.24598200,-31.13470900,-0.88872700,2.93833078,0.71049470,0.75077520,0.04028050,5.66935967,-0.71049470,-0.75077520,-0.04028050,5.66935967,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6348.70750000,43.02400000,0.68230510,
C2,6.01395730,6.02409090,0.01013360,0.16850136,83.78501100,85.20364500,1.41863400,1.69318352,6.01534760,6.01817090,0.00282330,0.04693494,31.77995700,33.09886000,1.31890300,4.15010945,4.01395730,4.02409090,0.01013360,0.25245909,-0.01395729,-0.02409086,-0.01013357,72.60413861,-0.00000000,-0.00000000,-0.00000000,2738.68072125,0.00000001,-0.00000000,-0.00000001,-130.18265952,-0.00000000,0.00000000,0.00000000,-210.18731338,1.28788690,1.25520500,-0.03268190,-2.53763743,-1.28788690,-1.25520500,0.03268190,-2.53763743,26.50697400,26.53643200,0.02945800,0.11113302,-26.50697400,-26.53643200,-0.02945800,0.11113302,0.74134652,0.72182417,-0.01952235,-2.63336368,-0.74134652,-0.72182417,0.01952235,-2.63336368,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6310.74010000,-29.03630000,-0.45800196,
C3,6.01395730,6.00203980,-0.01191750,-0.19816403,83.78501100,82.39422900,-1.39078200,-1.65994130,6.01534760,6.01145400,-0.00389360,-0.06472776,31.77995700,30.29532500,-1.48463200,-4.67159852,4.01395730,4.00203980,-0.01191750,-0.29690151,-0.01395729,-0.00203979,0.01191750,-85.38547499,-0.00000000,0.00000000,0.00000000,-3443.30618902,0.00000001,0.00000004,0.00000004,476.95100231,-0.00000000,0.00000000,0.00000000,-278.53135962,1.28788690,1.31929980,0.03141290,2.43910393,-1.28788690,-1.31929980,-0.03141290,2.43910393,26.50697400,26.40778600,-0.09918800,-0.37419586,-26.50697400,-26.40778600,0.09918800,-0.37419586,0.74134652,0.76132692,0.01998040,2.69514990,-0.74134652,-0.76132692,-0.01998040,2.69514990,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6350.54230000,10.76590000,0.16981514,
C4,6.03792700,6.09325060,0.05532360,0.91626812,97.74770400,102.60381000,4.85610600,4.96800007,6.00184110,6.01236200,0.01052090,0.17529454,38.97427500,42.03859000,3.06431500,7.86240411,4.03792700,4.09325060,0.05532360,1.37009906,-0.03792699,-0.09325062,-0.05532363,145.86877292,-0.00000000,-0.00000000,-0.00000000,396.03604857,0.00000001,-0.00000001,-0.00000002,-184.40903470,-0.00000000,-0.00000000,-0.00000000,152.40699701,1.25801670,1.19693980,-0.06107690,-4.85501504,-1.25801670,-1.19693980,0.06107690,-4.85501504,30.24598200,30.01049700,-0.23548500,-0.77856622,-30.24598200,-30.01049700,0.23548500,-0.77856622,0.71049470,0.67366380,-0.03683090,-5.18383881,-0.71049470,-0.67366380,0.03683090,-5.18383881,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6235.68130000,-70.00220000,-1.11014452,
H1,0.93725702,1.01905320,0.08179618,8.72718777,48.00074700,54.16901600,6.16826900,12.85036043,0.58300069,0.61323724,0.03023655,5.18636607,30.91078900,33.19677900,2.28599000,7.39544371,0.93725702,1.01905320,0.08179618,8.72718777,0.06274298,-0.01905322,-0.08179620,-130.36708822,0.00000000,0.00000000,0.00000000,575.13563096,0.00000001,-0.00000003,-0.00000004,-333.37765775,-0.00000000,0.00000000,0.00000000,-1461.46644636,0.33915394,0.34759836,0.00844442,2.48984871,-0.33915394,-0.34759836,-0.00844442,2.48984871,11.54828100,11.45012300,-0.09815800,-0.84997932,-11.54828100,-11.45012300,0.09815800,-0.84997932,0.16495464,0.16713182,0.00217718,1.31986587,-0.16495464,-0.16713182,-0.00217718,1.31986587,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3623.49520000,-219.88660000,-5.72117503,
H2,0.94851679,0.94875738,0.00024059,0.02536486,47.82446300,48.16931300,0.34485000,0.72107448,0.58810256,0.58677204,-0.00133052,-0.22623945,26.96586300,26.24742200,-0.71844100,-2.66426111,0.94851679,0.94875738,0.00024059,0.02536486,0.05148321,0.05124262,-0.00024059,-0.46730769,0.00000000,-0.00000000,-0.00000000,-116.72240254,-0.00000000,0.00000001,0.00000001,-761.87180759,0.00000000,0.00000000,0.00000000,104.36765629,0.33894044,0.34055164,0.00161120,0.47536375,-0.33894044,-0.34055164,-0.00161120,0.47536375,10.93194000,11.28036900,0.34842900,3.18725679,-10.93194000,-11.28036900,-0.34842900,3.18725679,0.16508359,0.16523685,0.00015326,0.09283782,-0.16508359,-0.16523685,-0.00015326,0.09283782,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3800.30690000,-4.60850000,-0.12111964,
H3,0.94551411,0.96974158,0.02422747,2.56235943,47.80125100,49.52828900,1.72703800,3.61295565,0.59058192,0.60068781,0.01010589,1.71117497,29.55499300,30.39611500,0.84112200,2.84595567,0.94551411,0.96974158,0.02422747,2.56235943,0.05448589,0.03025842,-0.02422747,-44.46559202,0.00000000,-0.00000000,-0.00000000,-474.25823479,0.00000002,-0.00000001,-0.00000004,-150.16801232,0.00000000,-0.00000000,-0.00000000,-402.90178489,0.33542159,0.33723720,0.00181561,0.54129193,-0.33542159,-0.33723720,-0.00181561,0.54129193,10.72877900,10.56830900,-0.16047000,-1.49569676,-10.72877900,-10.56830900,0.16047000,-1.49569676,0.16520926,0.16600630,0.00079704,0.48244269,-0.16520926,-0.16600630,-0.00079704,0.48244269,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3752.41630000,-63.37890000,-1.66096178,
H4,0.94551411,0.91873400,-0.02678011,-2.83233319,47.80125100,46.05293500,-1.74831600,-3.65746913,0.59058192,0.57901535,-0.01156657,-1.95850391,29.55499300,28.67264500,-0.88234800,-2.98544479,0.94551411,0.91873400,-0.02678011,-2.83233319,0.05448589,0.08126600,0.02678011,49.15053881,0.00000000,-0.00000000,-0.00000000,-325.95476865,0.00000002,0.00000000,-0.00000002,-98.87709961,0.00000000,0.00000000,-0.00000000,-2.54696967,0.33542159,0.33311988,-0.00230171,-0.68621403,-0.33542159,-0.33311988,0.00230171,-0.68621403,10.72877900,10.92827200,0.19949300,1.85941942,-10.72877900,-10.92827200,-0.19949300,1.85941942,0.16520926,0.16429236,-0.00091690,-0.55499310,-0.16520926,-0.16429236,0.00091690,-0.55499310,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3885.35340000,69.55820000,1.82290182,
H5,0.93725702,0.85828249,-0.07897453,-8.42613374,48.00074700,42.79385500,-5.20689200,-10.84752285,0.58300069,0.55145489,-0.03154580,-5.41093699,30.91078900,29.03431400,-1.87647500,-6.07061502,0.93725702,0.85828249,-0.07897453,-8.42613374,0.06274298,0.14171751,0.07897453,125.86989528,0.00000000,-0.00000000,-0.00000000,-577.57963420,0.00000001,-0.00000002,-0.00000003,-283.58216916,-0.00000000,0.00000000,0.00000000,-613.38960713,0.33915394,0.32575464,-0.01339930,-3.95080181,-0.33915394,-0.32575464,0.01339930,-3.95080181,11.54828100,11.40253300,-0.14574800,-1.26207528,-11.54828100,-11.40253300,0.14574800,-1.26207528,0.16495464,0.16086405,-0.00409059,-2.47982718,-0.16495464,-0.16086405,0.00409059,-2.47982718,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,4041.74730000,198.36550000,5.16122286,
H6,0.94851679,0.94468449,-0.00383230,-0.40403080,47.82446300,47.39990400,-0.42455900,-0.88774442,0.58810256,0.58765872,-0.00044384,-0.07546983,26.96586300,27.45876800,0.49290500,1.82788513,0.94851679,0.94468449,-0.00383230,-0.40403080,0.05148321,0.05531551,0.00383230,7.44378993,0.00000000,0.00000000,-0.00000000,-97.50437932,-0.00000000,-0.00000002,-0.00000001,991.63408940,0.00000000,-0.00000000,-0.00000000,-219.68788370,0.33894044,0.33751772,-0.00142272,-0.41975516,-0.33894044,-0.33751772,0.00142272,-0.41975516,10.93194000,10.72611500,-0.20582500,-1.88278567,-10.93194000,-10.72611500,0.20582500,-1.88278567,0.16508359,0.16505752,-0.00002607,-0.01579200,-0.16508359,-0.16505752,0.00002607,-0.01579200,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3815.75760000,10.84220000,0.28495246,
