Region,I: Electron Density SCF,,,,I: Volume,,,,I: Kinetic Energy Density SCF,,,,I: Electron Localization Function SCF,,,,I: Valence density,,,,I: Area Bader charge,,,,I: Deformation charge,,,,I: Deformation volume,,,,I: Deformation (kinetic) energy,,,,I: Deformation positive charge,,,,I: Deformation negative charge,,,,I: Deformation positive volume,,,,I: Deformation negative volume,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation (kinetic) negative energy,,,,I: Solid angle (alpha),,,,I: Te per electron,,,
Atomic basin decomposition,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆
C1,6.03792700,6.03830100,0.00037400,0.00619418,97.74770400,97.99857900,0.25087500,0.25665564,6.00184110,6.00074140,-0.00109970,-0.01832271,38.97427500,39.18273300,0.20845800,0.53486049,4.03792700,4.03830100,0.00037400,0.00926218,-0.03792699,-0.03830103,-0.00037404,0.98620803,-0.00000000,-0.00000000,-0.00000000,69.10775445,0.00000001,-0.00000005,-0.00000006,-485.77062580,-0.00000000,0.00000000,0.00000000,-258.62355037,1.25801670,1.26089390,0.00287720,0.22870921,-1.25801670,-1.26089390,-0.00287720,0.22870921,30.24598200,30.45987400,0.21389200,0.70717492,-30.24598200,-30.45987400,-0.21389200,0.70717492,0.71049470,0.71201080,0.00151610,0.21338653,-0.71049470,-0.71201080,-0.00151610,0.21338653,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6274.44200000,-31.24150000,-0.49544986,
C2,6.01395730,6.01549400,0.00153670,0.02555223,83.78501100,84.10920600,0.32419500,0.38693675,6.01534760,6.01557430,0.00022670,0.00376869,31.77995700,31.87971400,0.09975700,0.31389910,4.01395730,4.01549400,0.00153670,0.03828391,-0.01395729,-0.01549403,-0.00153674,11.01034177,-0.00000000,-0.00000000,-0.00000000,3851.43456172,0.00000001,-0.00000001,-0.00000002,-212.50951347,-0.00000000,-0.00000000,0.00000000,-37.32536551,1.28788690,1.29123950,0.00335260,0.26031789,-1.28788690,-1.29123950,-0.00335260,0.26031789,26.50697400,26.73537200,0.22839800,0.86165248,-26.50697400,-26.73537200,-0.22839800,0.86165248,0.74134652,0.74323155,0.00188503,0.25427111,-0.74134652,-0.74323155,-0.00188503,0.25427111,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6336.86950000,-2.90690000,-0.04585177,
C3,6.01395730,6.01549400,0.00153670,0.02555223,83.78501100,84.10920600,0.32419500,0.38693675,6.01534760,6.01557430,0.00022670,0.00376869,31.77995700,31.87971400,0.09975700,0.31389910,4.01395730,4.01549400,0.00153670,0.03828391,-0.01395729,-0.01549403,-0.00153674,11.01034177,-0.00000000,-0.00000000,-0.00000000,3851.43456172,0.00000001,-0.00000001,-0.00000002,-212.50951347,-0.00000000,-0.00000000,0.00000000,-37.32536551,1.28788690,1.29123950,0.00335260,0.26031789,-1.28788690,-1.29123950,-0.00335260,0.26031789,26.50697400,26.73537200,0.22839800,0.86165248,-26.50697400,-26.73537200,-0.22839800,0.86165248,0.74134652,0.74323155,0.00188503,0.25427111,-0.74134652,-0.74323155,-0.00188503,0.25427111,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6336.86950000,-2.90690000,-0.04585177,
C4,6.03792700,6.03830100,0.00037400,0.00619418,97.74770400,97.99857900,0.25087500,0.25665564,6.00184110,6.00074140,-0.00109970,-0.01832271,38.97427500,39.18273300,0.20845800,0.53486049,4.03792700,4.03830100,0.00037400,0.00926218,-0.03792699,-0.03830103,-0.00037404,0.98620803,-0.00000000,-0.00000000,-0.00000000,69.10775445,0.00000001,-0.00000005,-0.00000006,-485.77062580,-0.00000000,0.00000000,0.00000000,-258.62355037,1.25801670,1.26089390,0.00287720,0.22870921,-1.25801670,-1.26089390,-0.00287720,0.22870921,30.24598200,30.45987400,0.21389200,0.70717492,-30.24598200,-30.45987400,-0.21389200,0.70717492,0.71049470,0.71201080,0.00151610,0.21338653,-0.71049470,-0.71201080,-0.00151610,0.21338653,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6274.44200000,-31.24150000,-0.49544986,
H1,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,0.58300069,0.58253238,-0.00046831,-0.08032752,30.91078900,30.78161100,-0.12917800,-0.41790586,0.93725702,0.93638438,-0.00087264,-0.09310573,0.06274298,0.06361562,0.00087264,1.39081051,0.00000000,-0.00000000,-0.00000000,-221.17017058,0.00000001,-0.00000002,-0.00000003,-257.54934531,-0.00000000,-0.00000000,-0.00000000,542.62508645,0.33915394,0.33943382,0.00027988,0.08252300,-0.33915394,-0.33943382,-0.00027988,0.08252300,11.54828100,11.63428500,0.08600400,0.74473422,-11.54828100,-11.63428500,-0.08600400,0.74473422,0.16495464,0.16503327,0.00007863,0.04766765,-0.16495464,-0.16503327,-0.00007863,0.04766765,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3829.26290000,-14.11890000,-0.36735617,
H2,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,0.58810256,0.58772607,-0.00037649,-0.06401775,26.96586300,26.87048600,-0.09537700,-0.35369534,0.94851679,0.94771464,-0.00080215,-0.08456888,0.05148321,0.05228536,0.00080215,1.55808661,0.00000000,-0.00000000,-0.00000000,-132.54354662,-0.00000000,-0.00000001,-0.00000001,848.77374174,0.00000000,0.00000000,0.00000000,559.57726763,0.33894044,0.33924835,0.00030791,0.09084487,-0.33894044,-0.33924835,-0.00030791,0.09084487,10.93194000,11.01844900,0.08650900,0.79134170,-10.93194000,-11.01844900,-0.08650900,0.79134170,0.16508359,0.16521124,0.00012765,0.07732446,-0.16508359,-0.16521124,-0.00012765,0.07732446,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3800.74420000,-4.17120000,-0.10962662,
H3,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,0.59058192,0.59004980,-0.00053212,-0.09010096,29.55499300,29.44523400,-0.10975900,-0.37137211,0.94551411,0.94446783,-0.00104628,-0.11065726,0.05448589,0.05553217,0.00104628,1.92026960,0.00000000,-0.00000000,-0.00000000,-379.38948466,0.00000002,-0.00000001,-0.00000003,-128.53788576,0.00000000,0.00000000,0.00000000,72.69055227,0.33542159,0.33561766,0.00019607,0.05845479,-0.33542159,-0.33561766,-0.00019607,0.05845479,10.72877900,10.80752000,0.07874100,0.73392322,-10.72877900,-10.80752000,-0.07874100,0.73392322,0.16520926,0.16524733,0.00003807,0.02304350,-0.16520926,-0.16524733,-0.00003807,0.02304350,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3817.46950000,1.67430000,0.04387814,
H4,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,0.59058192,0.59004980,-0.00053212,-0.09010096,29.55499300,29.44523400,-0.10975900,-0.37137211,0.94551411,0.94446783,-0.00104628,-0.11065726,0.05448589,0.05553217,0.00104628,1.92026960,0.00000000,-0.00000000,-0.00000000,-379.38948466,0.00000002,-0.00000001,-0.00000003,-128.53788576,0.00000000,0.00000000,0.00000000,72.69055227,0.33542159,0.33561766,0.00019607,0.05845479,-0.33542159,-0.33561766,-0.00019607,0.05845479,10.72877900,10.80752000,0.07874100,0.73392322,-10.72877900,-10.80752000,-0.07874100,0.73392322,0.16520926,0.16524733,0.00003807,0.02304350,-0.16520926,-0.16524733,-0.00003807,0.02304350,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3817.46950000,1.67430000,0.04387814,
H5,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,0.58300069,0.58253238,-0.00046831,-0.08032752,30.91078900,30.78161100,-0.12917800,-0.41790586,0.93725702,0.93638438,-0.00087264,-0.09310573,0.06274298,0.06361562,0.00087264,1.39081051,0.00000000,-0.00000000,-0.00000000,-221.17017058,0.00000001,-0.00000002,-0.00000003,-257.54934531,-0.00000000,-0.00000000,-0.00000000,542.62508645,0.33915394,0.33943382,0.00027988,0.08252300,-0.33915394,-0.33943382,-0.00027988,0.08252300,11.54828100,11.63428500,0.08600400,0.74473422,-11.54828100,-11.63428500,-0.08600400,0.74473422,0.16495464,0.16503327,0.00007863,0.04766765,-0.16495464,-0.16503327,-0.00007863,0.04766765,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3829.26290000,-14.11890000,-0.36735617,
H6,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,0.58810256,0.58772607,-0.00037649,-0.06401775,26.96586300,26.87048600,-0.09537700,-0.35369534,0.94851679,0.94771464,-0.00080215,-0.08456888,0.05148321,0.05228536,0.00080215,1.55808661,0.00000000,-0.00000000,-0.00000000,-132.54354662,-0.00000000,-0.00000001,-0.00000001,848.77374174,0.00000000,0.00000000,0.00000000,559.57726763,0.33894044,0.33924835,0.00030791,0.09084487,-0.33894044,-0.33924835,-0.00030791,0.09084487,10.93194000,11.01844900,0.08650900,0.79134170,-10.93194000,-11.01844900,-0.08650900,0.79134170,0.16508359,0.16521124,0.00012765,0.07732446,-0.16508359,-0.16521124,-0.00012765,0.07732446,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3800.74420000,-4.17120000,-0.10962662,
