Region,I: Area Bader charge,,,,I: Average curvature,,,,I: Average curvature-scaled torsion,,,,I: Average net plane curvature,,,,I: Average torsion,,,,I: Deformation (kinetic) energy,,,,I: Deformation (kinetic) negative energy,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation charge,,,,I: Deformation negative charge,,,,I: Deformation negative volume,,,,I: Deformation positive charge,,,,I: Deformation positive volume,,,,I: Deformation volume,,,,I: Electron Density SCF,,,,I: Electron Localization Function SCF,,,,I: Gradient bundle partition function contribution (from IN Te),,,,I: Gradient bundle probability (from IN Te),,,,I: Kinetic Energy Density SCF,,,,I: Solid angle (alpha),,,,I: Te per electron,,,,I: Te per valence electron,,,,I: Valence Bader charge,,,,I: Valence density,,,,I: Volume,,,,I: Volume Bader charge,,,,I: Volume fraction,,,
Atomic basin decomposition,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆
C1,-0.03792699,-0.06484826,-0.02692128,70.98184543,1149.46060000,1101.53970000,-47.92090000,-4.16899022,35.26382200,35.33075700,0.06693500,0.18981210,594.05938000,570.61550000,-23.44388000,-3.94638664,1560.44190000,1584.92330000,24.48140000,1.56887610,-0.00000000,0.00000000,0.00000000,-268.06524883,-0.71049470,-0.69235917,0.01813553,-2.55252150,0.71049470,0.69235917,-0.01813553,-2.55252150,-0.00000000,0.00000000,0.00000000,-233.68631663,-1.25801670,-1.22718900,0.03082770,-2.45050006,-30.24598200,-29.86759900,0.37838300,-1.25101906,1.25801670,1.22718900,-0.03082770,-2.45050006,30.24598200,29.86759900,-0.37838300,-1.25101906,0.00000001,-0.00000003,-0.00000004,-323.18383032,6.03792700,6.06484830,0.02692130,0.44586992,38.97427500,40.51281600,1.53854100,3.94758081,24.70757500,24.05666700,-0.65090800,-2.63444713,1.00000000,1.00000000,0.00000000,0.00000000,6.00184110,6.00645420,0.00461310,0.07686142,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6231.83160000,-73.85190000,-1.17119580,10460.88400000,10258.48100000,-202.40300000,-1.93485560,0.00000000,-0.00000000,-0.00000000,-233.68631663,4.03792700,4.06484830,0.02692130,0.66671091,97.74770400,99.92771700,2.18001300,2.23024471,-0.03792699,-0.06484826,-0.02692128,70.98184467,1.00000000,1.00000000,0.00000000,0.00000000,
C2,-0.01395729,0.01365741,0.02761470,-197.85145924,1122.81380000,1154.61070000,31.79690000,2.83189430,31.15808800,32.45037400,1.29228600,4.14751380,584.93950000,611.14044000,26.20094000,4.47925640,599.47237000,629.57601000,30.10364000,5.02168932,-0.00000000,-0.00000000,-0.00000000,66.25721879,-0.74134652,-0.75955992,-0.01821340,2.45679982,0.74134652,0.75955992,0.01821340,2.45679982,-0.00000000,-0.00000000,-0.00000000,2402.46996015,-1.28788690,-1.31676210,-0.02887520,2.24206023,-26.50697400,-26.84566000,-0.33868600,1.27772412,1.28788690,1.31676210,0.02887520,2.24206023,26.50697400,26.84566000,0.33868600,1.27772412,0.00000001,0.00000004,0.00000003,379.61002323,6.01395730,5.98634260,-0.02761470,-0.45917686,31.77995700,30.80515100,-0.97480600,-3.06736098,25.17462800,26.02366700,0.84903900,3.37259800,1.00000000,1.00000000,0.00000000,0.00000000,6.01534760,6.00923780,-0.00610980,-0.10157019,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6377.84450000,38.06810000,0.60046439,10612.60200000,10815.24000000,202.63800000,1.90940921,0.00000000,0.00000000,0.00000000,2402.46996015,4.01395730,3.98634260,-0.02761470,-0.68796696,83.78501100,82.07051800,-1.71449300,-2.04630038,-0.01395729,0.01365741,0.02761469,-197.85144491,1.00000000,1.00000000,0.00000000,0.00000000,
C3,-0.01395729,0.01365741,0.02761470,-197.85145924,1122.81380000,1154.61070000,31.79690000,2.83189430,31.15808800,32.45037400,1.29228600,4.14751380,584.93950000,611.14044000,26.20094000,4.47925640,599.47237000,629.57601000,30.10364000,5.02168932,-0.00000000,-0.00000000,-0.00000000,66.25721879,-0.74134652,-0.75955992,-0.01821340,2.45679982,0.74134652,0.75955992,0.01821340,2.45679982,-0.00000000,-0.00000000,-0.00000000,2402.46996015,-1.28788690,-1.31676210,-0.02887520,2.24206023,-26.50697400,-26.84566000,-0.33868600,1.27772412,1.28788690,1.31676210,0.02887520,2.24206023,26.50697400,26.84566000,0.33868600,1.27772412,0.00000001,0.00000004,0.00000003,379.61002323,6.01395730,5.98634260,-0.02761470,-0.45917686,31.77995700,30.80515100,-0.97480600,-3.06736098,25.17462800,26.02366700,0.84903900,3.37259800,1.00000000,1.00000000,0.00000000,0.00000000,6.01534760,6.00923780,-0.00610980,-0.10157019,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6377.84450000,38.06810000,0.60046439,10612.60200000,10815.24000000,202.63800000,1.90940921,0.00000000,0.00000000,0.00000000,2402.46996015,4.01395730,3.98634260,-0.02761470,-0.68796696,83.78501100,82.07051800,-1.71449300,-2.04630038,-0.01395729,0.01365741,0.02761469,-197.85144491,1.00000000,1.00000000,0.00000000,0.00000000,
C4,-0.03792699,-0.06484826,-0.02692128,70.98184543,1149.46060000,1101.53970000,-47.92090000,-4.16899022,35.26382200,35.33075700,0.06693500,0.18981210,594.05938000,570.61550000,-23.44388000,-3.94638664,1560.44190000,1584.92330000,24.48140000,1.56887610,-0.00000000,0.00000000,0.00000000,-268.06524883,-0.71049470,-0.69235917,0.01813553,-2.55252150,0.71049470,0.69235917,-0.01813553,-2.55252150,-0.00000000,0.00000000,0.00000000,-233.68631663,-1.25801670,-1.22718900,0.03082770,-2.45050006,-30.24598200,-29.86759900,0.37838300,-1.25101906,1.25801670,1.22718900,-0.03082770,-2.45050006,30.24598200,29.86759900,-0.37838300,-1.25101906,0.00000001,-0.00000003,-0.00000004,-323.18383032,6.03792700,6.06484830,0.02692130,0.44586992,38.97427500,40.51281600,1.53854100,3.94758081,24.70757500,24.05666700,-0.65090800,-2.63444713,1.00000000,1.00000000,0.00000000,0.00000000,6.00184110,6.00645420,0.00461310,0.07686142,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6231.83160000,-73.85190000,-1.17119580,10460.88400000,10258.48100000,-202.40300000,-1.93485560,0.00000000,-0.00000000,-0.00000000,-233.68631663,4.03792700,4.06484830,0.02692130,0.66671091,97.74770400,99.92771700,2.18001300,2.23024471,-0.03792699,-0.06484826,-0.02692128,70.98184467,1.00000000,1.00000000,0.00000000,0.00000000,
H1,0.06274298,0.06089467,-0.00184832,-2.94585611,1472.39800000,1474.70960000,2.31160000,0.15699559,54.65741500,56.78017400,2.12275900,3.88375301,1159.25000000,1153.22660000,-6.02340000,-0.51959457,1321.50790000,1307.05770000,-14.45020000,-1.09346301,-0.00000000,-0.00000000,-0.00000000,201.59190112,-0.16495464,-0.16541451,-0.00045987,0.27878573,0.16495464,0.16541451,0.00045987,0.27878573,0.00000000,-0.00000000,-0.00000000,-265.25218825,-0.33915394,-0.34082917,-0.00167523,0.49394384,-11.54828100,-11.74498700,-0.19670600,1.70333576,0.33915394,0.34082917,0.00167523,0.49394384,11.54828100,11.74498700,0.19670600,1.70333576,0.00000001,0.00000003,0.00000002,160.36267833,0.93725702,0.93910533,0.00184831,0.19720418,30.91078900,30.52856200,-0.38222700,-1.23654883,3234.93780000,3236.47360000,1.53580000,0.04747541,1.00000000,1.00000000,0.00000000,0.00000000,0.58300069,0.58304422,0.00004353,0.00746654,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3831.92110000,-11.46070000,-0.29819312,3843.38180000,3831.92110000,-11.46070000,-0.29819312,-0.00000000,0.00000000,0.00000000,-265.25218825,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,0.06274298,0.06089467,-0.00184832,-2.94585611,1.00000000,1.00000000,0.00000000,0.00000000,
H2,0.05148321,-0.01115365,-0.06263686,-121.66463785,1718.48890000,1650.40250000,-68.08640000,-3.96199242,72.61814900,73.03808700,0.41993800,0.57828243,1146.96570000,1083.44050000,-63.52520000,-5.53854400,2535.51140000,2543.16910000,7.65770000,0.30201797,0.00000000,-0.00000000,-0.00000000,-648.14395986,-0.16508359,-0.16631109,-0.00122750,0.74356270,0.16508359,0.16631109,0.00122750,0.74356270,0.00000000,-0.00000000,-0.00000000,-172.70135199,-0.33894044,-0.34330902,-0.00436858,1.28889312,-10.93194000,-10.75951200,0.17242800,-1.57728637,0.33894044,0.34330902,0.00436858,1.28889312,10.93194000,10.75951200,-0.17242800,-1.57728637,-0.00000000,-0.00000001,-0.00000001,535.24866302,0.94851679,1.01115370,0.06263691,6.60366908,26.96586300,28.43100100,1.46513800,5.43330655,3215.66700000,3144.10200000,-71.56500000,-2.22551029,1.00000000,1.00000000,0.00000000,0.00000000,0.58810256,0.61176648,0.02366392,4.02377436,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3639.44480000,-165.47060000,-4.34886410,3804.91540000,3639.44480000,-165.47060000,-4.34886410,-0.00000000,0.00000000,0.00000000,-172.70135199,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,0.05148321,-0.01115365,-0.06263686,-121.66463827,1.00000000,1.00000000,0.00000000,0.00000000,
H3,0.05448589,0.11951322,0.06502733,119.34709666,1477.07480000,1551.10970000,74.03490000,5.01226478,66.39902400,69.41648900,3.01746500,4.54444180,1131.62600000,1197.61750000,65.99150000,5.83156449,1298.11290000,1280.00070000,-18.11220000,-1.39527155,0.00000000,-0.00000000,-0.00000000,-189.93752100,-0.16520926,-0.16266218,0.00254708,-1.54172956,0.16520926,0.16266218,-0.00254708,-1.54172956,0.00000000,0.00000000,0.00000000,303.32521133,-0.33542159,-0.32689535,0.00852624,-2.54194728,-10.72877900,-10.84653900,-0.11776000,1.09760859,0.33542159,0.32689535,-0.00852624,-2.54194728,10.72877900,10.84653900,0.11776000,1.09760859,0.00000002,-0.00000000,-0.00000003,-119.05931282,0.94551411,0.88048678,-0.06502733,-6.87745739,29.55499300,27.89877900,-1.65621400,-5.60383824,3210.06340000,3291.37310000,81.30970000,2.53296243,1.00000000,1.00000000,0.00000000,0.00000000,0.59058192,0.56424697,-0.02633495,-4.45915276,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3984.98790000,169.19270000,4.43400893,3815.79520000,3984.98790000,169.19270000,4.43400893,-0.00000000,-0.00000000,-0.00000000,303.32521133,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,0.05448589,0.11951322,0.06502733,119.34709666,1.00000000,1.00000000,0.00000000,0.00000000,
H4,0.05448589,0.11951322,0.06502733,119.34709666,1477.07480000,1551.10970000,74.03490000,5.01226478,66.39902400,69.41648900,3.01746500,4.54444180,1131.62600000,1197.61750000,65.99150000,5.83156449,1298.11290000,1280.00070000,-18.11220000,-1.39527155,0.00000000,-0.00000000,-0.00000000,-189.93752100,-0.16520926,-0.16266218,0.00254708,-1.54172956,0.16520926,0.16266218,-0.00254708,-1.54172956,0.00000000,0.00000000,0.00000000,303.32521133,-0.33542159,-0.32689535,0.00852624,-2.54194728,-10.72877900,-10.84653900,-0.11776000,1.09760859,0.33542159,0.32689535,-0.00852624,-2.54194728,10.72877900,10.84653900,0.11776000,1.09760859,0.00000002,-0.00000000,-0.00000003,-119.05931282,0.94551411,0.88048678,-0.06502733,-6.87745739,29.55499300,27.89877900,-1.65621400,-5.60383824,3210.06340000,3291.37310000,81.30970000,2.53296243,1.00000000,1.00000000,0.00000000,0.00000000,0.59058192,0.56424697,-0.02633495,-4.45915276,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3984.98790000,169.19270000,4.43400893,3815.79520000,3984.98790000,169.19270000,4.43400893,-0.00000000,-0.00000000,-0.00000000,303.32521133,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,0.05448589,0.11951322,0.06502733,119.34709666,1.00000000,1.00000000,0.00000000,0.00000000,
H5,0.06274298,0.06089467,-0.00184832,-2.94585611,1472.39800000,1474.70960000,2.31160000,0.15699559,54.65741500,56.78017400,2.12275900,3.88375301,1159.25000000,1153.22660000,-6.02340000,-0.51959457,1321.50790000,1307.05770000,-14.45020000,-1.09346301,-0.00000000,-0.00000000,-0.00000000,201.59190112,-0.16495464,-0.16541451,-0.00045987,0.27878573,0.16495464,0.16541451,0.00045987,0.27878573,0.00000000,-0.00000000,-0.00000000,-265.25218825,-0.33915394,-0.34082917,-0.00167523,0.49394384,-11.54828100,-11.74498700,-0.19670600,1.70333576,0.33915394,0.34082917,0.00167523,0.49394384,11.54828100,11.74498700,0.19670600,1.70333576,0.00000001,0.00000003,0.00000002,160.36267833,0.93725702,0.93910533,0.00184831,0.19720418,30.91078900,30.52856200,-0.38222700,-1.23654883,3234.93780000,3236.47360000,1.53580000,0.04747541,1.00000000,1.00000000,0.00000000,0.00000000,0.58300069,0.58304422,0.00004353,0.00746654,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3831.92110000,-11.46070000,-0.29819312,3843.38180000,3831.92110000,-11.46070000,-0.29819312,-0.00000000,0.00000000,0.00000000,-265.25218825,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,0.06274298,0.06089467,-0.00184832,-2.94585611,1.00000000,1.00000000,0.00000000,0.00000000,
H6,0.05148321,-0.01115365,-0.06263686,-121.66463785,1718.48890000,1650.40250000,-68.08640000,-3.96199242,72.61814900,73.03808700,0.41993800,0.57828243,1146.96570000,1083.44050000,-63.52520000,-5.53854400,2535.51140000,2543.16910000,7.65770000,0.30201797,0.00000000,-0.00000000,-0.00000000,-648.14395986,-0.16508359,-0.16631109,-0.00122750,0.74356270,0.16508359,0.16631109,0.00122750,0.74356270,0.00000000,-0.00000000,-0.00000000,-172.70135199,-0.33894044,-0.34330902,-0.00436858,1.28889312,-10.93194000,-10.75951200,0.17242800,-1.57728637,0.33894044,0.34330902,0.00436858,1.28889312,10.93194000,10.75951200,-0.17242800,-1.57728637,-0.00000000,-0.00000001,-0.00000001,535.24866302,0.94851679,1.01115370,0.06263691,6.60366908,26.96586300,28.43100100,1.46513800,5.43330655,3215.66700000,3144.10200000,-71.56500000,-2.22551029,1.00000000,1.00000000,0.00000000,0.00000000,0.58810256,0.61176648,0.02366392,4.02377436,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3639.44480000,-165.47060000,-4.34886410,3804.91540000,3639.44480000,-165.47060000,-4.34886410,-0.00000000,0.00000000,0.00000000,-172.70135199,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,0.05148321,-0.01115365,-0.06263686,-121.66463827,1.00000000,1.00000000,0.00000000,0.00000000,
