Region,I: Area Bader charge,,,,I: Average curvature,,,,I: Average curvature-scaled torsion,,,,I: Average net plane curvature,,,,I: Average torsion,,,,I: Deformation (kinetic) energy,,,,I: Deformation (kinetic) negative energy,,,,I: Deformation (kinetic) positive energy,,,,I: Deformation charge,,,,I: Deformation negative charge,,,,I: Deformation negative volume,,,,I: Deformation positive charge,,,,I: Deformation positive volume,,,,I: Deformation volume,,,,I: Electron Density SCF,,,,I: Electron Localization Function SCF,,,,I: Gradient bundle partition function contribution (from IN Te),,,,I: Gradient bundle probability (from IN Te),,,,I: Kinetic Energy Density SCF,,,,I: Solid angle (alpha),,,,I: Te per electron,,,,I: Te per valence electron,,,,I: Valence Bader charge,,,,I: Valence density,,,,I: Volume,,,,I: Volume Bader charge,,,,I: Volume fraction,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
C1,-0.03792699,0.01481676,0.05274375,-139.06652962,1149.46060000,1132.50710000,-16.95350000,-1.47490919,35.26382200,36.41032400,1.14650200,3.25121310,594.05938000,596.77249000,2.71311000,0.45670687,1560.44190000,1566.53560000,6.09370000,0.39051118,-0.00000000,-0.00000000,-0.00000000,55.47801411,-0.71049470,-0.75077520,-0.04028050,5.66935967,0.71049470,0.75077520,0.04028050,5.66935967,-0.00000000,-0.00000000,-0.00000000,430.33773422,-1.25801670,-1.32269740,-0.06468070,5.14148183,-30.24598200,-31.13470900,-0.88872700,2.93833078,1.25801670,1.32269740,0.06468070,5.14148183,30.24598200,31.13470900,0.88872700,2.93833078,0.00000001,0.00000001,-0.00000000,-28.90204021,6.03792700,5.98518320,-0.05274380,-0.87354153,38.97427500,36.32541600,-2.64885900,-6.79642918,24.70757500,26.25787200,1.55029700,6.27458178,1.00000000,1.00000000,0.00000000,0.00000000,6.00184110,5.99349080,-0.00835030,-0.13912897,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6348.70750000,43.02400000,0.68230510,10460.88400000,10833.15100000,372.26700000,3.55865718,0.00000000,0.00000000,0.00000000,430.33773422,4.03792700,3.98518320,-0.05274380,-1.30620984,97.74770400,93.53580600,-4.21189800,-4.30894827,-0.03792699,0.01481676,0.05274374,-139.06652537,1.00000000,1.00000000,0.00000000,0.00000000,
C2,-0.01395729,-0.02409086,-0.01013357,72.60413861,1122.81380000,1108.53820000,-14.27560000,-1.27141294,31.15808800,31.50584600,0.34775800,1.11610828,584.93950000,583.15939000,-1.78011000,-0.30432378,599.47237000,513.86769000,-85.60468000,-14.28000426,-0.00000000,0.00000000,0.00000000,-210.18731338,-0.74134652,-0.72182417,0.01952235,-2.63336368,0.74134652,0.72182417,-0.01952235,-2.63336368,-0.00000000,-0.00000000,-0.00000000,2738.68072125,-1.28788690,-1.25520500,0.03268190,-2.53763743,-26.50697400,-26.53643200,-0.02945800,0.11113302,1.28788690,1.25520500,-0.03268190,-2.53763743,26.50697400,26.53643200,0.02945800,0.11113302,0.00000001,-0.00000000,-0.00000001,-130.18265952,6.01395730,6.02409090,0.01013360,0.16850136,31.77995700,33.09886000,1.31890300,4.15010945,25.17462800,24.56070200,-0.61392600,-2.43866960,1.00000000,1.00000000,0.00000000,0.00000000,6.01534760,6.01817090,0.00282330,0.04693494,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6310.74010000,-29.03630000,-0.45800196,10612.60200000,10491.58800000,-121.01400000,-1.14028586,0.00000000,0.00000000,0.00000000,2738.68072125,4.01395730,4.02409090,0.01013360,0.25245909,83.78501100,85.20364500,1.41863400,1.69318352,-0.01395729,-0.02409086,-0.01013357,72.60414578,1.00000000,1.00000000,0.00000000,0.00000000,
C3,-0.01395729,-0.00203979,0.01191750,-85.38547499,1122.81380000,1129.38440000,6.57060000,0.58519053,31.15808800,31.28377700,0.12568900,0.40339125,584.93950000,593.54342000,8.60392000,1.47090768,599.47237000,700.42905000,100.95668000,16.84092296,-0.00000000,0.00000000,0.00000000,-278.53135962,-0.74134652,-0.76132692,-0.01998040,2.69514990,0.74134652,0.76132692,0.01998040,2.69514990,-0.00000000,0.00000000,0.00000000,-3443.30618902,-1.28788690,-1.31929980,-0.03141290,2.43910393,-26.50697400,-26.40778600,0.09918800,-0.37419586,1.28788690,1.31929980,0.03141290,2.43910393,26.50697400,26.40778600,-0.09918800,-0.37419586,0.00000001,0.00000004,0.00000004,476.95100231,6.01395730,6.00203980,-0.01191750,-0.19816403,31.77995700,30.29532500,-1.48463200,-4.67159852,25.17462800,25.94920700,0.77457900,3.07682402,1.00000000,1.00000000,0.00000000,0.00000000,6.01534760,6.01145400,-0.00389360,-0.06472776,1.00000000,1.00000000,0.00000000,0.00000000,6339.77640000,6350.54230000,10.76590000,0.16981514,10612.60200000,10736.89700000,124.29500000,1.17120194,0.00000000,-0.00000000,-0.00000000,-3443.30618902,4.01395730,4.00203980,-0.01191750,-0.29690151,83.78501100,82.39422900,-1.39078200,-1.65994130,-0.01395729,-0.00203979,0.01191750,-85.38549791,1.00000000,1.00000000,0.00000000,0.00000000,
C4,-0.03792699,-0.09325062,-0.05532363,145.86877292,1149.46060000,1145.48450000,-3.97610000,-0.34591007,35.26382200,35.72224800,0.45842600,1.29998955,594.05938000,579.43984000,-14.61954000,-2.46095601,1560.44190000,1595.75290000,35.31100000,2.26288464,-0.00000000,-0.00000000,-0.00000000,152.40699701,-0.71049470,-0.67366380,0.03683090,-5.18383881,0.71049470,0.67366380,-0.03683090,-5.18383881,-0.00000000,-0.00000000,-0.00000000,396.03604857,-1.25801670,-1.19693980,0.06107690,-4.85501504,-30.24598200,-30.01049700,0.23548500,-0.77856622,1.25801670,1.19693980,-0.06107690,-4.85501504,30.24598200,30.01049700,-0.23548500,-0.77856622,0.00000001,-0.00000001,-0.00000002,-184.40903470,6.03792700,6.09325060,0.05532360,0.91626812,38.97427500,42.03859000,3.06431500,7.86240411,24.70757500,23.52169100,-1.18588400,-4.79967783,1.00000000,1.00000000,0.00000000,0.00000000,6.00184110,6.01236200,0.01052090,0.17529454,1.00000000,1.00000000,0.00000000,0.00000000,6305.68350000,6235.68130000,-70.00220000,-1.11014452,10460.88400000,10184.49000000,-276.39400000,-2.64216676,0.00000000,0.00000000,0.00000000,396.03604857,4.03792700,4.09325060,0.05532360,1.37009906,97.74770400,102.60381000,4.85610600,4.96800007,-0.03792699,-0.09325062,-0.05532364,145.86878731,1.00000000,1.00000000,0.00000000,0.00000000,
H1,0.06274298,-0.01905322,-0.08179620,-130.36708822,1472.39800000,1367.71400000,-104.68400000,-7.10976244,54.65741500,54.61291700,-0.04449800,-0.08141256,1159.25000000,1069.87760000,-89.37240000,-7.70950183,1321.50790000,1338.14600000,16.63810000,1.25902388,-0.00000000,0.00000000,0.00000000,-1461.46644636,-0.16495464,-0.16713182,-0.00217718,1.31986587,0.16495464,0.16713182,0.00217718,1.31986587,0.00000000,0.00000000,0.00000000,575.13563096,-0.33915394,-0.34759836,-0.00844442,2.48984871,-11.54828100,-11.45012300,0.09815800,-0.84997932,0.33915394,0.34759836,0.00844442,2.48984871,11.54828100,11.45012300,-0.09815800,-0.84997932,0.00000001,-0.00000003,-0.00000004,-333.37765775,0.93725702,1.01905320,0.08179618,8.72718777,30.91078900,33.19677900,2.28599000,7.39544371,3234.93780000,3141.19140000,-93.74640000,-2.89793516,1.00000000,1.00000000,0.00000000,0.00000000,0.58300069,0.61323724,0.03023655,5.18636607,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,3623.49520000,-219.88660000,-5.72117503,3843.38180000,3623.49520000,-219.88660000,-5.72117503,-0.00000000,-0.00000000,-0.00000000,575.13563096,0.93725702,1.01905320,0.08179618,8.72718777,48.00074700,54.16901600,6.16826900,12.85036043,0.06274298,-0.01905322,-0.08179620,-130.36708981,1.00000000,1.00000000,0.00000000,0.00000000,
H2,0.05148321,0.05124262,-0.00024059,-0.46730769,1718.48890000,1747.33260000,28.84370000,1.67843388,72.61814900,74.80732200,2.18917300,3.01463619,1146.96570000,1152.56030000,5.59460000,0.48777396,2535.51140000,2456.28020000,-79.23120000,-3.12486073,0.00000000,0.00000000,0.00000000,104.36765629,-0.16508359,-0.16523685,-0.00015326,0.09283782,0.16508359,0.16523685,0.00015326,0.09283782,0.00000000,-0.00000000,-0.00000000,-116.72240254,-0.33894044,-0.34055164,-0.00161120,0.47536375,-10.93194000,-11.28036900,-0.34842900,3.18725679,0.33894044,0.34055164,0.00161120,0.47536375,10.93194000,11.28036900,0.34842900,3.18725679,-0.00000000,0.00000001,0.00000001,-761.87180759,0.94851679,0.94875738,0.00024059,0.02536486,26.96586300,26.24742200,-0.71844100,-2.66426111,3215.66700000,3222.93730000,7.27030000,0.22608995,1.00000000,1.00000000,0.00000000,0.00000000,0.58810256,0.58677204,-0.00133052,-0.22623945,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3800.30690000,-4.60850000,-0.12111964,3804.91540000,3800.30690000,-4.60850000,-0.12111964,-0.00000000,0.00000000,0.00000000,-116.72240254,0.94851679,0.94875738,0.00024059,0.02536486,47.82446300,48.16931300,0.34485000,0.72107448,0.05148321,0.05124263,-0.00024058,-0.46730382,1.00000000,1.00000000,0.00000000,0.00000000,
H3,0.05448589,0.03025842,-0.02422747,-44.46559202,1477.07480000,1435.91710000,-41.15770000,-2.78643302,66.39902400,65.03978800,-1.35923600,-2.04707226,1131.62600000,1101.14950000,-30.47650000,-2.69316011,1298.11290000,1379.59740000,81.48450000,6.27715047,0.00000000,-0.00000000,-0.00000000,-402.90178489,-0.16520926,-0.16600630,-0.00079704,0.48244269,0.16520926,0.16600630,0.00079704,0.48244269,0.00000000,-0.00000000,-0.00000000,-474.25823479,-0.33542159,-0.33723720,-0.00181561,0.54129193,-10.72877900,-10.56830900,0.16047000,-1.49569676,0.33542159,0.33723720,0.00181561,0.54129193,10.72877900,10.56830900,-0.16047000,-1.49569676,0.00000002,-0.00000001,-0.00000004,-150.16801232,0.94551411,0.96974158,0.02422747,2.56235943,29.55499300,30.39611500,0.84112200,2.84595567,3210.06340000,3179.33630000,-30.72710000,-0.95721162,1.00000000,1.00000000,0.00000000,0.00000000,0.59058192,0.60068781,0.01010589,1.71117497,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3752.41630000,-63.37890000,-1.66096178,3815.79520000,3752.41630000,-63.37890000,-1.66096178,-0.00000000,0.00000000,0.00000000,-474.25823479,0.94551411,0.96974158,0.02422747,2.56235943,47.80125100,49.52828900,1.72703800,3.61295565,0.05448589,0.03025842,-0.02422747,-44.46559202,1.00000000,1.00000000,0.00000000,0.00000000,
H4,0.05448589,0.08126600,0.02678011,49.15053881,1477.07480000,1518.89180000,41.81700000,2.83106854,66.39902400,71.20924100,4.81021700,7.24440919,1131.62600000,1164.19720000,32.57120000,2.87826543,1298.11290000,1293.99490000,-4.11800000,-0.31722973,0.00000000,0.00000000,-0.00000000,-2.54696967,-0.16520926,-0.16429236,0.00091690,-0.55499310,0.16520926,0.16429236,-0.00091690,-0.55499310,0.00000000,-0.00000000,-0.00000000,-325.95476865,-0.33542159,-0.33311988,0.00230171,-0.68621403,-10.72877900,-10.92827200,-0.19949300,1.85941942,0.33542159,0.33311988,-0.00230171,-0.68621403,10.72877900,10.92827200,0.19949300,1.85941942,0.00000002,0.00000000,-0.00000002,-98.87709961,0.94551411,0.91873400,-0.02678011,-2.83233319,29.55499300,28.67264500,-0.88234800,-2.98544479,3210.06340000,3247.27660000,37.21320000,1.15926682,1.00000000,1.00000000,0.00000000,0.00000000,0.59058192,0.57901535,-0.01156657,-1.95850391,1.00000000,1.00000000,0.00000000,0.00000000,3815.79520000,3885.35340000,69.55820000,1.82290182,3815.79520000,3885.35340000,69.55820000,1.82290182,-0.00000000,0.00000000,0.00000000,-325.95476865,0.94551411,0.91873400,-0.02678011,-2.83233319,47.80125100,46.05293500,-1.74831600,-3.65746913,0.05448589,0.08126600,0.02678011,49.15053881,1.00000000,1.00000000,0.00000000,0.00000000,
H5,0.06274298,0.14171751,0.07897453,125.86989528,1472.39800000,1559.21550000,86.81750000,5.89633374,54.65741500,54.27058400,-0.38683100,-0.70773746,1159.25000000,1231.30190000,72.05190000,6.21538926,1321.50790000,1284.44160000,-37.06630000,-2.80484892,-0.00000000,0.00000000,0.00000000,-613.38960713,-0.16495464,-0.16086405,0.00409059,-2.47982718,0.16495464,0.16086405,-0.00409059,-2.47982718,0.00000000,-0.00000000,-0.00000000,-577.57963420,-0.33915394,-0.32575464,0.01339930,-3.95080181,-11.54828100,-11.40253300,0.14574800,-1.26207528,0.33915394,0.32575464,-0.01339930,-3.95080181,11.54828100,11.40253300,-0.14574800,-1.26207528,0.00000001,-0.00000002,-0.00000003,-283.58216916,0.93725702,0.85828249,-0.07897453,-8.42613374,30.91078900,29.03431400,-1.87647500,-6.07061502,3234.93780000,3330.16030000,95.22250000,2.94356510,1.00000000,1.00000000,0.00000000,0.00000000,0.58300069,0.55145489,-0.03154580,-5.41093699,1.00000000,1.00000000,0.00000000,0.00000000,3843.38180000,4041.74730000,198.36550000,5.16122286,3843.38180000,4041.74730000,198.36550000,5.16122286,-0.00000000,0.00000000,0.00000000,-577.57963420,0.93725702,0.85828249,-0.07897453,-8.42613374,48.00074700,42.79385500,-5.20689200,-10.84752285,0.06274298,0.14171751,0.07897453,125.86989528,1.00000000,1.00000000,0.00000000,0.00000000,
H6,0.05148321,0.05531551,0.00383230,7.44378993,1718.48890000,1692.77200000,-25.71690000,-1.49648333,72.61814900,73.22984500,0.61169600,0.84234590,1146.96570000,1150.00750000,3.04180000,0.26520409,2535.51140000,2614.78600000,79.27460000,3.12657241,0.00000000,-0.00000000,-0.00000000,-219.68788370,-0.16508359,-0.16505752,0.00002607,-0.01579200,0.16508359,0.16505752,-0.00002607,-0.01579200,0.00000000,0.00000000,-0.00000000,-97.50437932,-0.33894044,-0.33751772,0.00142272,-0.41975516,-10.93194000,-10.72611500,0.20582500,-1.88278567,0.33894044,0.33751772,-0.00142272,-0.41975516,10.93194000,10.72611500,-0.20582500,-1.88278567,-0.00000000,-0.00000002,-0.00000001,991.63408940,0.94851679,0.94468449,-0.00383230,-0.40403080,26.96586300,27.45876800,0.49290500,1.82788513,3215.66700000,3219.71030000,4.04330000,0.12573752,1.00000000,1.00000000,0.00000000,0.00000000,0.58810256,0.58765872,-0.00044384,-0.07546983,1.00000000,1.00000000,0.00000000,0.00000000,3804.91540000,3815.75760000,10.84220000,0.28495246,3804.91540000,3815.75760000,10.84220000,0.28495246,-0.00000000,-0.00000000,0.00000000,-97.50437932,0.94851679,0.94468449,-0.00383230,-0.40403080,47.82446300,47.39990400,-0.42455900,-0.88774442,0.05148321,0.05531551,0.00383230,7.44379396,1.00000000,1.00000000,0.00000000,0.00000000,
