Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆
C1,6.03792700,6.00929820,-0.02862880,-0.47414949,97.74770400,95.47215400,-2.27555000,-2.32798307,
C2,6.01395730,6.04296220,0.02900490,0.48229308,83.78501100,85.77947000,1.99445900,2.38044846,
C3,6.01395730,6.04296220,0.02900490,0.48229308,83.78501100,85.77947000,1.99445900,2.38044846,
C4,6.03792700,6.00929820,-0.02862880,-0.47414949,97.74770400,95.47215400,-2.27555000,-2.32798307,
H1,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,
H2,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,
H3,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
H4,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
H5,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,
H6,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,
Total,29.76634444,29.76556906,-0.00077538,-0.00260489,650.31835200,650.85455200,0.53620000,0.08245193,
Bond bundle decomposition according to INS: Volume
C1 — C2 bond bundle,5.04646070,5.10438470,0.05792400,1.14781435,75.82699800,77.06251500,1.23551700,1.62938931,
      ↳ C1 bond wedge,2.50055630,2.33827080,-0.16228550,-6.48997585,38.93284200,35.40367500,-3.52916700,-9.06475566,
      ↳ C2 bond wedge,2.54590440,2.76611390,0.22020950,8.64955888,36.89415600,41.65884000,4.76468400,12.91446808,
C1 — H5 bond bundle,2.75278022,2.72441860,-0.02836162,-1.03029002,78.29958000,77.22464700,-1.07493300,-1.37284644,
      ↳ C1 bond wedge,1.81552320,1.79169420,-0.02382900,-1.31251421,30.29883300,29.57185400,-0.72697900,-2.39936304,
      ↳ H5 bond wedge,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,
C1 — H6 bond bundle,2.67036429,2.76587063,0.09550634,3.57652850,76.34049200,74.32448800,-2.01600400,-2.64080562,
      ↳ C1 bond wedge,1.72184750,1.87933320,0.15748570,9.14632103,28.51602900,30.49662500,1.98059600,6.94555332,
      ↳ H6 bond wedge,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,
C2 — C3 bond bundle,3.39343480,3.23916120,-0.15427360,-4.54623734,39.45993800,37.97851600,-1.48142200,-3.75424310,
      ↳ C2 bond wedge,1.69671740,1.61958060,-0.07713680,-4.54623734,19.72996900,18.98925800,-0.74071100,-3.75424310,
      ↳ C3 bond wedge,1.69671740,1.61958060,-0.07713680,-4.54623734,19.72996900,18.98925800,-0.74071100,-3.75424310,
C2 — H4 bond bundle,2.71684951,2.66853000,-0.04831951,-1.77851257,74.96213800,77.82636800,2.86423000,3.82090223,
      ↳ C2 bond wedge,1.77133540,1.65726770,-0.11406770,-6.43964435,27.16088700,25.13137200,-2.02951500,-7.47219706,
      ↳ H4 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
C3 — C4 bond bundle,5.04646070,5.10438470,0.05792400,1.14781435,75.82699800,77.06251500,1.23551700,1.62938931,
      ↳ C3 bond wedge,2.54590440,2.76611390,0.22020950,8.64955888,36.89415600,41.65884000,4.76468400,12.91446808,
      ↳ C4 bond wedge,2.50055630,2.33827080,-0.16228550,-6.48997585,38.93284200,35.40367500,-3.52916700,-9.06475566,
C3 — H3 bond bundle,2.71684951,2.66853000,-0.04831951,-1.77851257,74.96213800,77.82636800,2.86423000,3.82090223,
      ↳ C3 bond wedge,1.77133540,1.65726770,-0.11406770,-6.43964435,27.16088700,25.13137200,-2.02951500,-7.47219706,
      ↳ H3 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
C4 — H1 bond bundle,2.75278022,2.72441860,-0.02836162,-1.03029002,78.29958000,77.22464700,-1.07493300,-1.37284644,
      ↳ C4 bond wedge,1.81552320,1.79169420,-0.02382900,-1.31251421,30.29883300,29.57185400,-0.72697900,-2.39936304,
      ↳ H1 bond wedge,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,
C4 — H2 bond bundle,2.67036429,2.76587063,0.09550634,3.57652850,76.34049200,74.32448800,-2.01600400,-2.64080562,
      ↳ C4 bond wedge,1.72184750,1.87933320,0.15748570,9.14632103,28.51602900,30.49662500,1.98059600,6.94555332,
      ↳ H2 bond wedge,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,
Total,29.76634424,29.76556906,-0.00077518,-0.00260422,650.31835400,650.85455200,0.53619800,0.08245162,
Bond bundle decomposition according to INS: Electron Density SCF
C1 — C2 bond bundle,4.76351090,4.78601400,0.02250310,0.47240576,71.35714300,72.02405900,0.66691600,0.93461702,
      ↳ C1 bond wedge,2.40319870,2.27859120,-0.12460750,-5.18506855,37.14733000,34.22047400,-2.92685600,-7.87904810,
      ↳ C2 bond wedge,2.36031220,2.50742280,0.14711060,6.23267549,34.20981300,37.80358500,3.59377200,10.50509104,
C1 — H5 bond bundle,2.75483222,2.75353180,-0.00130042,-0.04720505,78.76391200,77.81954800,-0.94436400,-1.19898057,
      ↳ C1 bond wedge,1.81757520,1.82080740,0.00323220,0.17783033,30.76316500,30.16675500,-0.59641000,-1.93871469,
      ↳ H5 bond wedge,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,
C1 — H6 bond bundle,2.76566989,2.79643703,0.03076714,1.11246610,77.66167200,74.91278900,-2.74888300,-3.53956196,
      ↳ C1 bond wedge,1.81715310,1.90989960,0.09274650,5.10394529,29.83720900,31.08492600,1.24771700,4.18174837,
      ↳ H6 bond wedge,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,
C2 — C3 bond bundle,3.67281400,3.67276500,-0.00004900,-0.00133413,43.33396200,43.61140400,0.27744200,0.64024148,
      ↳ C2 bond wedge,1.83640700,1.83638250,-0.00002450,-0.00133413,21.66698100,21.80570200,0.13872100,0.64024148,
      ↳ C3 bond wedge,1.83640700,1.83638250,-0.00002450,-0.00133413,21.66698100,21.80570200,0.13872100,0.64024148,
C2 — H4 bond bundle,2.76275211,2.71041920,-0.05233291,-1.89423111,75.70946800,78.86518000,3.15571200,4.16818673,
      ↳ C2 bond wedge,1.81723800,1.69915690,-0.11808110,-6.49783353,27.90821700,26.17018400,-1.73803300,-6.22767481,
      ↳ H4 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
C3 — C4 bond bundle,4.76351090,4.78601400,0.02250310,0.47240576,71.35714300,72.02405900,0.66691600,0.93461702,
      ↳ C3 bond wedge,2.36031220,2.50742280,0.14711060,6.23267549,34.20981300,37.80358500,3.59377200,10.50509104,
      ↳ C4 bond wedge,2.40319870,2.27859120,-0.12460750,-5.18506855,37.14733000,34.22047400,-2.92685600,-7.87904810,
C3 — H3 bond bundle,2.76275211,2.71041920,-0.05233291,-1.89423111,75.70946800,78.86518000,3.15571200,4.16818673,
      ↳ C3 bond wedge,1.81723800,1.69915690,-0.11808110,-6.49783353,27.90821700,26.17018400,-1.73803300,-6.22767481,
      ↳ H3 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
