Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆
C1,6.03792700,6.06484830,0.02692130,0.44586992,97.74770400,99.92771700,2.18001300,2.23024471,
C2,6.01395730,5.98634260,-0.02761470,-0.45917686,83.78501100,82.07051800,-1.71449300,-2.04630038,
C3,6.01395730,5.98634260,-0.02761470,-0.45917686,83.78501100,82.07051800,-1.71449300,-2.04630038,
C4,6.03792700,6.06484830,0.02692130,0.44586992,97.74770400,99.92771700,2.18001300,2.23024471,
H1,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,
H2,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,
H3,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,
H4,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,
H5,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,
H6,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,
Total,29.76634444,29.76387342,-0.00247102,-0.00830139,650.31835200,652.28106000,1.96270800,0.30180726,
Bond bundle decomposition according to INS: Volume
C1 — C2 bond bundle,5.04646070,5.07329040,0.02682970,0.53165380,75.82699800,76.75892800,0.93193000,1.22902136,
      ↳ C1 bond wedge,2.50055630,2.69722250,0.19666620,7.86489790,38.93284200,43.43170900,4.49886700,11.55545490,
      ↳ C2 bond wedge,2.54590440,2.37606790,-0.16983650,-6.67096926,36.89415600,33.32721900,-3.56693700,-9.66802710,
C1 — H5 bond bundle,2.75278022,2.68685443,-0.06592579,-2.39488026,78.29958000,78.27651000,-0.02307000,-0.02946376,
      ↳ C1 bond wedge,1.81552320,1.74774910,-0.06777410,-3.73303409,30.29883300,30.02702200,-0.27181100,-0.89710056,
      ↳ H5 bond wedge,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,
C1 — H6 bond bundle,2.67036429,2.63103030,-0.03933399,-1.47298218,76.34049200,78.83672600,2.49623400,3.26986889,
      ↳ C1 bond wedge,1.72184750,1.61987660,-0.10197090,-5.92217952,28.51602900,26.46898600,-2.04704300,-7.17856964,
      ↳ H6 bond wedge,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,
C2 — C3 bond bundle,3.39343480,3.39414420,0.00070940,0.02090507,39.45993800,39.48978600,0.02984800,0.07564127,
      ↳ C2 bond wedge,1.69671740,1.69707210,0.00035470,0.02090507,19.72996900,19.74489300,0.01492400,0.07564127,
      ↳ C3 bond wedge,1.69671740,1.69707210,0.00035470,0.02090507,19.72996900,19.74489300,0.01492400,0.07564127,
C2 — H4 bond bundle,2.71684951,2.79368948,0.07683997,2.82827480,74.96213800,72.52347300,-2.43866500,-3.25319563,
      ↳ C2 bond wedge,1.77133540,1.91320270,0.14186730,8.00905915,27.16088700,28.99840600,1.83751900,6.76531293,
      ↳ H4 bond wedge,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,
C3 — C4 bond bundle,5.04646070,5.07329040,0.02682970,0.53165380,75.82699800,76.75892800,0.93193000,1.22902136,
      ↳ C3 bond wedge,2.54590440,2.37606790,-0.16983650,-6.67096926,36.89415600,33.32721900,-3.56693700,-9.66802710,
      ↳ C4 bond wedge,2.50055630,2.69722250,0.19666620,7.86489790,38.93284200,43.43170900,4.49886700,11.55545490,
C3 — H3 bond bundle,2.71684951,2.79368948,0.07683997,2.82827480,74.96213800,72.52347300,-2.43866500,-3.25319563,
      ↳ C3 bond wedge,1.77133540,1.91320270,0.14186730,8.00905915,27.16088700,28.99840600,1.83751900,6.76531293,
      ↳ H3 bond wedge,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,
C4 — H1 bond bundle,2.75278022,2.68685443,-0.06592579,-2.39488026,78.29958000,78.27651000,-0.02307000,-0.02946376,
      ↳ C4 bond wedge,1.81552320,1.74774910,-0.06777410,-3.73303409,30.29883300,30.02702200,-0.27181100,-0.89710056,
      ↳ H1 bond wedge,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,
C4 — H2 bond bundle,2.67036429,2.63103030,-0.03933399,-1.47298218,76.34049200,78.83672600,2.49623400,3.26986889,
      ↳ C4 bond wedge,1.72184750,1.61987660,-0.10197090,-5.92217952,28.51602900,26.46898600,-2.04704300,-7.17856964,
      ↳ H2 bond wedge,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,
Total,29.76634424,29.76387342,-0.00247082,-0.00830072,650.31835400,652.28106000,1.96270600,0.30180695,
Bond bundle decomposition according to INS: Electron Density SCF
C1 — C2 bond bundle,4.76351090,4.81109970,0.04758880,0.99902784,71.35714300,72.27576200,0.91861900,1.28735395,
      ↳ C1 bond wedge,2.40319870,2.53784600,0.13464730,5.60283675,37.14733000,40.39944300,3.25211300,8.75463459,
      ↳ C2 bond wedge,2.36031220,2.27325370,-0.08705850,-3.68843156,34.20981300,31.87631900,-2.33349400,-6.82112469,
C1 — H5 bond bundle,2.75483222,2.75586033,0.00102811,0.03732024,78.76391200,79.67678600,0.91287400,1.15900033,
      ↳ C1 bond wedge,1.81757520,1.81675500,-0.00082020,-0.04512606,30.76316500,31.42729800,0.66413300,2.15885784,
      ↳ H5 bond wedge,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,
C1 — H6 bond bundle,2.76566989,2.72140100,-0.04426889,-1.60065705,77.66167200,80.46871600,2.80704400,3.61445218,
      ↳ C1 bond wedge,1.81715310,1.71024730,-0.10690580,-5.88314766,29.83720900,28.10097600,-1.73623300,-5.81901947,
      ↳ H6 bond wedge,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,
C2 — C3 bond bundle,3.67281400,3.63465100,-0.03816300,-1.03906705,43.33396200,42.37032000,-0.96364200,-2.22375697,
      ↳ C2 bond wedge,1.83640700,1.81732550,-0.01908150,-1.03906705,21.66698100,21.18516000,-0.48182100,-2.22375697,
      ↳ C3 bond wedge,1.83640700,1.81732550,-0.01908150,-1.03906705,21.66698100,21.18516000,-0.48182100,-2.22375697,
C2 — H4 bond bundle,2.76275211,2.77625018,0.01349807,0.48857333,75.70946800,72.53410600,-3.17536200,-4.19414121,
      ↳ C2 bond wedge,1.81723800,1.89576340,0.07852540,4.32114010,27.90821700,29.00903900,1.10082200,3.94443687,
      ↳ H4 bond wedge,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,
C3 — C4 bond bundle,4.76351090,4.81109970,0.04758880,0.99902784,71.35714300,72.27576200,0.91861900,1.28735395,
      ↳ C3 bond wedge,2.36031220,2.27325370,-0.08705850,-3.68843156,34.20981300,31.87631900,-2.33349400,-6.82112469,
      ↳ C4 bond wedge,2.40319870,2.53784600,0.13464730,5.60283675,37.14733000,40.39944300,3.25211300,8.75463459,
C3 — H3 bond bundle,2.76275211,2.77625018,0.01349807,0.48857333,75.70946800,72.53410600,-3.17536200,-4.19414121,
      ↳ C3 bond wedge,1.81723800,1.89576340,0.07852540,4.32114010,27.90821700,29.00903900,1.10082200,3.94443687,
      ↳ H3 bond wedge,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,
C4 — H1 bond bundle,2.75483222,2.75586033,0.00102811,0.03732024,78.76391200,79.67678600,0.91287400,1.15900033,
      ↳ C4 bond wedge,1.81757520,1.81675500,-0.00082020,-0.04512606,30.76316500,31.42729800,0.66413300,2.15885784,
      ↳ H1 bond wedge,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,
C4 — H2 bond bundle,2.76566989,2.72140100,-0.04426889,-1.60065705,77.66167200,80.46871600,2.80704400,3.61445218,
      ↳ C4 bond wedge,1.81715310,1.71024730,-0.10690580,-5.88314766,29.83720900,28.10097600,-1.73623300,-5.81901947,
      ↳ H2 bond wedge,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,
Total,29.76634424,29.76387342,-0.00247082,-0.00830072,650.31835200,652.28106000,1.96270800,0.30180726,
Bond bundle decomposition according to INS: Kinetic Energy Density SCF
C1 — C2 bond bundle,4.73967750,4.76475400,0.02507650,0.52907608,70.62382300,71.22283800,0.59901500,0.84817697,
      ↳ C1 bond wedge,2.37808240,2.50825090,0.13016850,5.47367492,36.48029300,39.67142100,3.19112800,8.74753939,
      ↳ C2 bond wedge,2.36159510,2.25650310,-0.10509200,-4.45004311,34.14353000,31.55141700,-2.59211300,-7.59181315,
C1 — H5 bond bundle,2.74253822,2.77213693,0.02959871,1.07924512,78.69684900,80.02822800,1.33137900,1.69178184,
      ↳ C1 bond wedge,1.80528120,1.83303160,0.02775040,1.53717881,30.69610200,31.77874000,1.08263800,3.52695596,
      ↳ H5 bond wedge,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,
C1 — H6 bond bundle,2.80308009,2.73471950,-0.06836059,-2.43876692,78.39577200,80.84529700,2.44952500,3.12456264,
      ↳ C1 bond wedge,1.85456330,1.72356580,-0.13099750,-7.06352272,30.57130900,28.47755700,-2.09375200,-6.84874828,
      ↳ H6 bond wedge,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,
C2 — C3 bond bundle,3.67537320,3.64471240,-0.03066080,-0.83422277,43.36375600,42.50052400,-0.86323200,-1.99067627,
      ↳ C2 bond wedge,1.83768660,1.82235620,-0.01533040,-0.83422277,21.68187800,21.25026200,-0.43161600,-1.99067627,
      ↳ C3 bond wedge,1.83768660,1.82235620,-0.01533040,-0.83422277,21.68187800,21.25026200,-0.43161600,-1.99067627,
C2 — H4 bond bundle,2.76018961,2.78797008,0.02778047,1.00646962,75.76085400,72.79390600,-2.96694800,-3.91620189,
      ↳ C2 bond wedge,1.81467550,1.90748330,0.09280780,5.11429178,27.95960300,29.26883900,1.30923600,4.68259868,
      ↳ H4 bond wedge,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,
C3 — C4 bond bundle,4.73967750,4.76475400,0.02507650,0.52907608,70.62382300,71.22283800,0.59901500,0.84817697,
      ↳ C3 bond wedge,2.36159510,2.25650310,-0.10509200,-4.45004311,34.14353000,31.55141700,-2.59211300,-7.59181315,
      ↳ C4 bond wedge,2.37808240,2.50825090,0.13016850,5.47367492,36.48029300,39.67142100,3.19112800,8.74753939,
C3 — H3 bond bundle,2.76018961,2.78797008,0.02778047,1.00646962,75.76085400,72.79390600,-2.96694800,-3.91620189,
      ↳ C3 bond wedge,1.81467550,1.90748330,0.09280780,5.11429178,27.95960300,29.26883900,1.30923600,4.68259868,
      ↳ H3 bond wedge,0.94551411,0.88048678,-0.06502733,-6.87745739,47.80125100,43.52506700,-4.27618400,-8.94575751,
C4 — H1 bond bundle,2.74253822,2.77213693,0.02959871,1.07924512,78.69684900,80.02822800,1.33137900,1.69178184,
      ↳ C4 bond wedge,1.80528120,1.83303160,0.02775040,1.53717881,30.69610200,31.77874000,1.08263800,3.52695596,
      ↳ H1 bond wedge,0.93725702,0.93910533,0.00184831,0.19720418,48.00074700,48.24948800,0.24874100,0.51820235,
C4 — H2 bond bundle,2.80308009,2.73471950,-0.06836059,-2.43876692,78.39577200,80.84529700,2.44952500,3.12456264,
      ↳ C4 bond wedge,1.85456330,1.72356580,-0.13099750,-7.06352272,30.57130900,28.47755700,-2.09375200,-6.84874828,
      ↳ H2 bond wedge,0.94851679,1.01115370,0.06263691,6.60366908,47.82446300,52.36774000,4.54327700,9.49990176,
Total,29.76634404,29.76387342,-0.00247062,-0.00830005,650.31835200,652.28106200,1.96271000,0.30180757,

Max basin decomposition according to INS: Volume
C1: Max (node 6092) → C1: Max (node 6146) in NEF (0.99999529),2.69722250,2.50055630,-0.19666620,-7.29143406,43.43170900,38.93284200,-4.49886700,-10.35848486,
C1: Max (node 6110) → C1: Max (node 6170) in NEF (0.99999592),1.61987660,1.72184750,0.10197090,6.29497951,26.46898600,28.51602900,2.04704300,7.73374167,
C1: Max (node 6134) → C1: Max (node 6194) in NEF (0.99999645),1.74774910,1.81552320,0.06777410,3.87779344,30.02702200,30.29883300,0.27181100,0.90522130,
C2: Max (node 6116) → C2: Max (node 6158) in NEF (0.99999907),1.69707210,1.69671740,-0.00035470,-0.02090070,19.74489300,19.72996900,-0.01492400,-0.07558410,
C2: Max (node 6140) → C2: Max (node 6114) in NEF (0.99999976),1.91320270,1.77133540,-0.14186730,-7.41517352,28.99840600,27.16088700,-1.83751900,-6.33662071,
C2: Max (node 6172) → C2: Max (node 6134) in NEF (0.99999450),2.37606790,2.54590440,0.16983650,7.14779658,33.32721900,36.89415600,3.56693700,10.70277421,
C3: Max (node 6116) → C2: Max (node 6158) in NEF (0.99999907),1.69707210,1.69671740,-0.00035470,-0.02090070,19.74489300,19.72996900,-0.01492400,-0.07558410,
C3: Max (node 6140) → C2: Max (node 6114) in NEF (0.99999976),1.91320270,1.77133540,-0.14186730,-7.41517352,28.99840600,27.16088700,-1.83751900,-6.33662071,
C3: Max (node 6172) → C2: Max (node 6134) in NEF (0.99999450),2.37606790,2.54590440,0.16983650,7.14779658,33.32721900,36.89415600,3.56693700,10.70277421,
C4: Max (node 6092) → C1: Max (node 6146) in NEF (0.99999529),2.69722250,2.50055630,-0.19666620,-7.29143406,43.43170900,38.93284200,-4.49886700,-10.35848486,
C4: Max (node 6110) → C1: Max (node 6170) in NEF (0.99999592),1.61987660,1.72184750,0.10197090,6.29497951,26.46898600,28.51602900,2.04704300,7.73374167,
C4: Max (node 6134) → C1: Max (node 6194) in NEF (0.99999645),1.74774910,1.81552320,0.06777410,3.87779344,30.02702200,30.29883300,0.27181100,0.90522130,
H1: Max (node 5468) → H5: Max (node 5486) in NEF (1.00000000),0.93910533,0.93725702,-0.00184831,-0.19681605,48.24948800,48.00074700,-0.24874100,-0.51553086,
H2: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999929),1.01115370,0.94851679,-0.06263691,-6.19459831,52.36774000,47.82446300,-4.54327700,-8.67571715,
H3: Max (node 5452) → H4: Max (node 5462) in NEF (0.99999884),0.88048678,0.94551411,0.06502733,7.38538403,43.52506700,47.80125100,4.27618400,9.82464657,
H4: Max (node 5452) → H4: Max (node 5462) in NEF (0.99999884),0.88048678,0.94551411,0.06502733,7.38538403,43.52506700,47.80125100,4.27618400,9.82464657,
H5: Max (node 5468) → H5: Max (node 5486) in NEF (1.00000000),0.93910533,0.93725702,-0.00184831,-0.19681605,48.24948800,48.00074700,-0.24874100,-0.51553086,
H6: Max (node 5456) → H6: Max (node 5470) in NEF (0.99999929),1.01115370,0.94851679,-0.06263691,-6.19459831,52.36774000,47.82446300,-4.54327700,-8.67571715,
Total,29.76387342,29.76634424,0.00247082,0.00830141,652.28106000,650.31835400,-1.96270600,-0.30089882,
Min basin decomposition according to INS: Volume
C1: Min (node 3369) → C1: Min (node 2132) in NEF (0.99999438),1.93240750,1.66332000,-0.26908750,-13.92498735,29.30558300,24.50850100,-4.79708200,-16.36917443,
C1: Min (node 4264) → C1: Min (node 3387) in NEF (0.99999891),1.87941540,1.90979640,0.03038100,1.61651331,29.11067100,28.90531600,-0.20535500,-0.70542860,
