Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
C1,6.03792700,5.98518320,-0.05274380,-0.87354153,97.74770400,93.53580600,-4.21189800,-4.30894827,
C2,6.01395730,6.02409090,0.01013360,0.16850136,83.78501100,85.20364500,1.41863400,1.69318352,
C3,6.01395730,6.00203980,-0.01191750,-0.19816403,83.78501100,82.39422900,-1.39078200,-1.65994130,
C4,6.03792700,6.09325060,0.05532360,0.91626812,97.74770400,102.60381000,4.85610600,4.96800007,
H1,0.93725702,1.01905320,0.08179618,8.72718777,48.00074700,54.16901600,6.16826900,12.85036043,
H2,0.94851679,0.94875738,0.00024059,0.02536486,47.82446300,48.16931300,0.34485000,0.72107448,
H3,0.94551411,0.96974158,0.02422747,2.56235943,47.80125100,49.52828900,1.72703800,3.61295565,
H4,0.94551411,0.91873400,-0.02678011,-2.83233319,47.80125100,46.05293500,-1.74831600,-3.65746913,
H5,0.93725702,0.85828249,-0.07897453,-8.42613374,48.00074700,42.79385500,-5.20689200,-10.84752285,
H6,0.94851679,0.94468449,-0.00383230,-0.40403080,47.82446300,47.39990400,-0.42455900,-0.88774442,
Total,29.76634444,29.76381764,-0.00252680,-0.00848878,650.31835200,651.85080200,1.53245000,0.23564613,
Bond bundle decomposition according to INS: Volume
C1 — C2 bond bundle,5.04646070,4.98494410,-0.06151660,-1.21900484,75.82699800,73.29871900,-2.52827900,-3.33427284,
      ↳ C1 bond wedge,2.50055630,2.27563860,-0.22491770,-8.99470650,38.93284200,33.40036000,-5.53248200,-14.21032146,
      ↳ C2 bond wedge,2.54590440,2.70930550,0.16340110,6.41819465,36.89415600,39.89835900,3.00420300,8.14276115,
C1 — H5 bond bundle,2.75278022,2.79477699,0.04199677,1.52561289,78.29958000,74.90472300,-3.39485700,-4.33572824,
      ↳ C1 bond wedge,1.81552320,1.93649450,0.12097130,6.66316465,30.29883300,32.11086800,1.81203500,5.98054387,
      ↳ H5 bond wedge,0.93725702,0.85828249,-0.07897453,-8.42613374,48.00074700,42.79385500,-5.20689200,-10.84752285,
C1 — H6 bond bundle,2.67036429,2.71773469,0.04737040,1.77393025,76.34049200,75.42448100,-0.91601100,-1.19990188,
