Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆
C1,6.03792700,6.03830100,0.00037400,0.00619418,97.74770400,97.99857900,0.25087500,0.25665564,
C2,6.01395730,6.01549400,0.00153670,0.02555223,83.78501100,84.10920600,0.32419500,0.38693675,
C3,6.01395730,6.01549400,0.00153670,0.02555223,83.78501100,84.10920600,0.32419500,0.38693675,
C4,6.03792700,6.03830100,0.00037400,0.00619418,97.74770400,97.99857900,0.25087500,0.25665564,
H1,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,
H2,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,
H3,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,
H4,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,
H5,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,
H6,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,
Total,29.76634444,29.76472370,-0.00162074,-0.00544487,650.31835200,651.43534000,1.11698800,0.17176018,
Bond bundle decomposition according to INS: Volume
C1 — C2 bond bundle,5.04646070,5.08364840,0.03718770,0.73690656,75.82699800,76.88540200,1.05840400,1.39581419,
      ↳ C1 bond wedge,2.50055630,2.53092980,0.03037350,1.21466971,38.93284200,39.67287100,0.74002900,1.90078341,
      ↳ C2 bond wedge,2.54590440,2.55271860,0.00681420,0.26765341,36.89415600,37.21253100,0.31837500,0.86294155,
C1 — H5 bond bundle,2.75278022,2.68725208,-0.06552814,-2.38043486,78.29958000,77.61762800,-0.68195200,-0.87095231,
      ↳ C1 bond wedge,1.81552320,1.75086770,-0.06465550,-3.56125992,30.29883300,29.62229900,-0.67653400,-2.23287148,
      ↳ H5 bond wedge,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,
C1 — H6 bond bundle,2.67036429,2.70421814,0.03385385,1.26776149,76.34049200,76.52793300,0.18744100,0.24553287,
      ↳ C1 bond wedge,1.72184750,1.75650350,0.03465600,2.01272180,28.51602900,28.70340900,0.18738000,0.65710412,
      ↳ H6 bond wedge,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,
C2 — C3 bond bundle,3.39343480,3.35273900,-0.04069580,-1.19925098,39.45993800,39.31572800,-0.14421000,-0.36545927,
      ↳ C2 bond wedge,1.69671740,1.67636950,-0.02034790,-1.19925098,19.72996900,19.65786400,-0.07210500,-0.36545927,
      ↳ C3 bond wedge,1.69671740,1.67636950,-0.02034790,-1.19925098,19.72996900,19.65786400,-0.07210500,-0.36545927,
C2 — H4 bond bundle,2.71684951,2.73087373,0.01402422,0.51619421,74.96213800,75.02884300,0.06670500,0.08898492,
      ↳ C2 bond wedge,1.77133540,1.78640590,0.01507050,0.85079878,27.16088700,27.23881100,0.07792400,0.28689785,
      ↳ H4 bond wedge,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,
C3 — C4 bond bundle,5.04646070,5.08364840,0.03718770,0.73690656,75.82699800,76.88540200,1.05840400,1.39581419,
      ↳ C3 bond wedge,2.54590440,2.55271860,0.00681420,0.26765341,36.89415600,37.21253100,0.31837500,0.86294155,
      ↳ C4 bond wedge,2.50055630,2.53092980,0.03037350,1.21466971,38.93284200,39.67287100,0.74002900,1.90078341,
C3 — H3 bond bundle,2.71684951,2.73087373,0.01402422,0.51619421,74.96213800,75.02884300,0.06670500,0.08898492,
      ↳ C3 bond wedge,1.77133540,1.78640590,0.01507050,0.85079878,27.16088700,27.23881100,0.07792400,0.28689785,
      ↳ H3 bond wedge,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,
C4 — H1 bond bundle,2.75278022,2.68725208,-0.06552814,-2.38043486,78.29958000,77.61762800,-0.68195200,-0.87095231,
      ↳ C4 bond wedge,1.81552320,1.75086770,-0.06465550,-3.56125992,30.29883300,29.62229900,-0.67653400,-2.23287148,
      ↳ H1 bond wedge,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,
C4 — H2 bond bundle,2.67036429,2.70421814,0.03385385,1.26776149,76.34049200,76.52793300,0.18744100,0.24553287,
      ↳ C4 bond wedge,1.72184750,1.75650350,0.03465600,2.01272180,28.51602900,28.70340900,0.18738000,0.65710412,
      ↳ H2 bond wedge,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,
Total,29.76634424,29.76472370,-0.00162054,-0.00544420,650.31835400,651.43534000,1.11698600,0.17175988,
Bond bundle decomposition according to INS: Electron Density SCF
C1 — C2 bond bundle,4.76351090,4.77585920,0.01234830,0.25922687,71.35714300,71.90597200,0.54882900,0.76912973,
      ↳ C1 bond wedge,2.40319870,2.39865550,-0.00454320,-0.18904804,37.14733000,37.23150900,0.08417900,0.22660848,
      ↳ C2 bond wedge,2.36031220,2.37720370,0.01689150,0.71564685,34.20981300,34.67446300,0.46465000,1.35823601,
C1 — H5 bond bundle,2.75483222,2.76953558,0.01470336,0.53372978,78.76391200,79.09487400,0.33096200,0.42019497,
      ↳ C1 bond wedge,1.81757520,1.83315120,0.01557600,0.85696592,30.76316500,31.09954500,0.33638000,1.09345056,
      ↳ H5 bond wedge,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,
C1 — H6 bond bundle,2.76566989,2.75420894,-0.01146095,-0.41440051,77.66167200,77.49204900,-0.16962300,-0.21841276,
      ↳ C1 bond wedge,1.81715310,1.80649430,-0.01065880,-0.58656588,29.83720900,29.66752500,-0.16968400,-0.56869930,
      ↳ H6 bond wedge,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,
C2 — C3 bond bundle,3.67281400,3.65488680,-0.01792720,-0.48810531,43.33396200,43.13145400,-0.20250800,-0.46731937,
      ↳ C2 bond wedge,1.83640700,1.82744340,-0.00896360,-0.48810531,21.66698100,21.56572700,-0.10125400,-0.46731937,
      ↳ C3 bond wedge,1.83640700,1.82744340,-0.00896360,-0.48810531,21.66698100,21.56572700,-0.10125400,-0.46731937,
C2 — H4 bond bundle,2.76275211,2.75531483,-0.00743728,-0.26919824,75.70946800,75.65904700,-0.05042100,-0.06659801,
      ↳ C2 bond wedge,1.81723800,1.81084700,-0.00639100,-0.35168756,27.90821700,27.86901500,-0.03920200,-0.14046759,
      ↳ H4 bond wedge,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,
C3 — C4 bond bundle,4.76351090,4.77585920,0.01234830,0.25922687,71.35714300,71.90597200,0.54882900,0.76912973,
      ↳ C3 bond wedge,2.36031220,2.37720370,0.01689150,0.71564685,34.20981300,34.67446300,0.46465000,1.35823601,
      ↳ C4 bond wedge,2.40319870,2.39865550,-0.00454320,-0.18904804,37.14733000,37.23150900,0.08417900,0.22660848,
C3 — H3 bond bundle,2.76275211,2.75531483,-0.00743728,-0.26919824,75.70946800,75.65904700,-0.05042100,-0.06659801,
      ↳ C3 bond wedge,1.81723800,1.81084700,-0.00639100,-0.35168756,27.90821700,27.86901500,-0.03920200,-0.14046759,
      ↳ H3 bond wedge,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,
C4 — H1 bond bundle,2.75483222,2.76953558,0.01470336,0.53372978,78.76391200,79.09487400,0.33096200,0.42019497,
      ↳ C4 bond wedge,1.81757520,1.83315120,0.01557600,0.85696592,30.76316500,31.09954500,0.33638000,1.09345056,
      ↳ H1 bond wedge,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,
C4 — H2 bond bundle,2.76566989,2.75420894,-0.01146095,-0.41440051,77.66167200,77.49204900,-0.16962300,-0.21841276,
      ↳ C4 bond wedge,1.81715310,1.80649430,-0.01065880,-0.58656588,29.83720900,29.66752500,-0.16968400,-0.56869930,
      ↳ H2 bond wedge,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,
Total,29.76634424,29.76472390,-0.00162034,-0.00544353,650.31835200,651.43533800,1.11698600,0.17175988,
Bond bundle decomposition according to INS: Kinetic Energy Density SCF
C1 — C2 bond bundle,4.73967750,4.73615980,-0.00351770,-0.07421813,70.62382300,71.06477100,0.44094800,0.62436156,
      ↳ C1 bond wedge,2.37808240,2.37765260,-0.00042980,-0.01807339,36.48029300,36.75488000,0.27458700,0.75269955,
      ↳ C2 bond wedge,2.36159510,2.35850720,-0.00308790,-0.13075484,34.14353000,34.30989100,0.16636100,0.48724019,
C1 — H5 bond bundle,2.74253822,2.76979388,0.02725566,0.99381149,78.69684900,79.14030700,0.44345800,0.56350160,
      ↳ C1 bond wedge,1.80528120,1.83340950,0.02812830,1.55811183,30.69610200,31.14497800,0.44887600,1.46232248,
      ↳ H5 bond wedge,0.93725702,0.93638438,-0.00087264,-0.09310573,48.00074700,47.99532900,-0.00541800,-0.01128732,
C1 — H6 bond bundle,2.80308009,2.77495354,-0.02812655,-1.00341585,78.39577200,77.92324600,-0.47252600,-0.60274424,
      ↳ C1 bond wedge,1.85456330,1.82723890,-0.02732440,-1.47336033,30.57130900,30.09872200,-0.47258700,-1.54585137,
      ↳ H6 bond wedge,0.94851679,0.94771464,-0.00080215,-0.08456888,47.82446300,47.82452400,0.00006100,0.00012755,
C2 — C3 bond bundle,3.67537320,3.69915580,0.02378260,0.64707987,43.36375600,43.73656200,0.37280600,0.85971796,
      ↳ C2 bond wedge,1.83768660,1.84957790,0.01189130,0.64707987,21.68187800,21.86828100,0.18640300,0.85971796,
      ↳ C3 bond wedge,1.83768660,1.84957790,0.01189130,0.64707987,21.68187800,21.86828100,0.18640300,0.85971796,
C2 — H4 bond bundle,2.76018961,2.75187673,-0.00831288,-0.30117061,75.76085400,75.72106600,-0.03978800,-0.05251789,
      ↳ C2 bond wedge,1.81467550,1.80740890,-0.00726660,-0.40043523,27.95960300,27.93103400,-0.02856900,-0.10217956,
      ↳ H4 bond wedge,0.94551411,0.94446783,-0.00104628,-0.11065726,47.80125100,47.79003200,-0.01121900,-0.02347010,
