Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6104) from INS: Volume,C 1,-0.010388671,450.82966,13.404115,265.12195,556.56897,0.035527608,-0.2832108,0.31873841,0.0067811598,-0.50771104,-12.119158,0.5144922,10.481513,-1.6376448,2.3382708,14.944408,10.121127,0.39535163,2.3616657,0.38798035,2467.1208,4194.0461,-0.0067811598,1.5623101,35.403675,-0.11330736,0.37082724,0.037770606,9.7924891,0.52758268,4.3100507,15.797261,-0.022772922,-0.022966336,0.00019341446,-0.037980403,-0.038252728,-0.64385154,0.00027232508,0.016056196,-0.62779535,0.097609144,0.55839569,0.73030893,0.028527339,0.1125054,0.022563292,121.99825,230.28327,0.037980403,0.052482561,1.5263707,-0.0016835382,0.015987601,-0.029273974 +/- 0.018885303,445.93342 +/- 4.8962446,13.140324 +/- 0.26379134,262.96692 +/- 2.1550254,548.67034 +/- 7.8986305,0.046914069 +/- 0.011386461,-0.27172763 +/- 0.011483168,0.3186417 +/- 9.670723e-05,0.025771361 +/- 0.018990202,-0.48858467 +/- 0.019126364,-11.797232 +/- 0.32192577,0.51435603 +/- 0.00013616254,10.473485 +/- 0.0080280978,-1.3237471 +/- 0.31389767,2.2894662 +/- 0.048804572,14.66521 +/- 0.27919784,9.7559727 +/- 0.36515446,0.38108796 +/- 0.014263669,2.305413 +/- 0.0562527,0.37669871 +/- 0.011281646,2406.1216 +/- 60.999127,4078.9045 +/- 115.14164,-0.025771361 +/- 0.018990202,1.5360688 +/- 0.026241281,34.64049 +/- 0.76318535,-0.11246559 +/- 0.0008417691,0.36283344 +/- 0.0079938005
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6112) from INS: Electron Density SCF,C 1,-0.05038402,452.66959,13.280166,265.31026,563.39244,0.062324516,-0.25641389,0.31873841,0.046930975,-0.46756122,-11.716329,0.5144922,10.481513,-1.2348163,2.2785912,14.518054,9.2720545,0.36218514,2.2888623,0.37136787,2380.2696,3997.5307,-0.046930975,1.5358555,34.220474,-0.12798673,0.35843408,0.040853114,8.2462792,0.43920984,3.8387872,11.87845,-0.024916515,-0.024928847,1.2331428e-05,-0.041059956,-0.041082717,-0.6858911,2.276148e-05,0.010702193,-0.6751889,0.092619298,0.53633624,0.79347199,0.030994615,0.1084559,0.022245402,118.65037,233.1305,0.041059956,0.048128494,1.4486275,-0.0015795037,0.015173299,-0.070810577 +/- 0.020426557,448.54645 +/- 4.1231396,13.060561 +/- 0.21960492,263.39087 +/- 1.9193936,557.45322 +/- 5.9392252,0.074782774 +/- 0.012458258,-0.24394947 +/- 0.012464423,0.31873224 +/- 6.1657142e-06,0.067460953 +/- 0.020529978,-0.44701986 +/- 0.020541359,-11.373384 +/- 0.34294555,0.51448082 +/- 1.138074e-05,10.476162 +/- 0.0053510967,-0.89722184 +/- 0.33759445,2.2322816 +/- 0.046309649,14.249886 +/- 0.26816812,8.8753185 +/- 0.39673599,0.34668783 +/- 0.015497308,2.2346344 +/- 0.054227949,0.36024516 +/- 0.011122701,2320.9444 +/- 59.325186,3880.9655 +/- 116.56525,-0.067460953 +/- 0.020529978,1.5117912 +/- 0.024064247,33.49616 +/- 0.72431377,-0.12719697 +/- 0.00078975187,0.35084743 +/- 0.0075866496
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6112) from INS: Kinetic Energy Density SCF,C 1,-0.052605294,455.93746,13.33578,266.31906,567.20204,0.064770542,-0.25396786,0.31873841,0.049158541,-0.46533366,-11.845008,0.5144922,10.481513,-1.3634945,2.2767527,14.437117,9.2009515,0.35940771,2.2872516,0.37069123,2379.6437,3993.0777,-0.049158541,1.5353702,34.027196,-0.13829485,0.35640964,0.040820332,8.2832252,0.42649142,3.8473157,11.91164,-0.025015958,-0.025121617,0.00010565942,-0.041028517,-0.041228024,-0.6736103,0.0001995077,0.017996228,-0.65561407,0.093518645,0.55099526,0.79708768,0.031135851,0.10922237,0.022389829,118.43605,232.89026,0.041028517,0.048738986,1.4819912,-0.00038209523,0.015522758,-0.07301546 +/- 0.020410166,451.79585 +/- 4.1416126,13.122535 +/- 0.21324571,264.3954 +/- 1.9236578,561.24622 +/- 5.9558198,0.077278521 +/- 0.012507979,-0.24140706 +/- 0.012560809,0.31868558 +/- 5.282971e-05,0.069672799 +/- 0.020514258,-0.44471964 +/- 0.020614012,-11.508202 +/- 0.33680515,0.51439244 +/- 9.9753852e-05,10.472515 +/- 0.008998114,-1.0356875 +/- 0.32780704,2.2299934 +/- 0.046759323,14.161619 +/- 0.27549763,8.8024076 +/- 0.39854384,0.34383978 +/- 0.015567926,2.2326404 +/- 0.054611185,0.35949632 +/- 0.011194915,2320.4256 +/- 59.218023,3876.6326 +/- 116.44513,-0.069672799 +/- 0.020514258,1.5110007 +/- 0.024369493,33.2862 +/- 0.74099558,-0.13810381 +/- 0.00019104762,0.34864826 +/- 0.0077613791
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6130) from INS: Electron Density SCF,C 1,0.0093381787,386.01189,11.783764,176.06348,573.8607,-0.020745031,-0.23699903,0.216254,-0.012312415,-0.41854522,-9.92505,0.40623281,10.471015,0.54596477,1.9098996,11.650922,8.191921,0.31999295,1.8970548,0.31987296,2000.4737,3379.5993,0.012312415,1.2701537,31.084926,0.043649634,0.32559154,0.030203446,8.0054139,0.35489463,4.5097011,12.670293,-0.018655189,-0.01925631,0.00060112048,-0.030382542,-0.031522304,-0.45876898,0.0011397621,0.088324101,-0.37044488,0.0853648,0.60046603,0.63227926,0.024698102,0.096826473,0.019261375,102.75858,194.93021,0.030382542,0.046842051,1.46848,0.0069226346,0.015381239,-0.0057635445 +/- 0.015101723,382.00919 +/- 4.002707,11.606316 +/- 0.17744731,173.80863 +/- 2.2548505,567.52556 +/- 6.3351467,-0.011417437 +/- 0.0093275946,-0.22737088 +/- 0.0096281548,0.21595344 +/- 0.00030056024,0.0028788562 +/- 0.015191271,-0.40278407 +/- 0.015761152,-9.6956655 +/- 0.22938449,0.40566292 +/- 0.00056988105,10.426853 +/- 0.04416205,0.7311872 +/- 0.18522244,1.8672172 +/- 0.0426824,11.350689 +/- 0.30023301,7.8757814 +/- 0.31613963,0.3076439 +/- 0.012349051,1.8486416 +/- 0.048413236,0.31024228 +/- 0.0096306873,1949.0944 +/- 51.379291,3282.1342 +/- 97.465105,-0.0028788562 +/- 0.015191271,1.2467326 +/- 0.023421026,30.350686 +/- 0.73424002,0.040188317 +/- 0.0034613173,0.31790092 +/- 0.0076906196
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6130) from INS: Kinetic Energy Density SCF,C 1,0.0083740264,382.89169,11.721576,174.9856,569.87442,-0.020713926,-0.23696792,0.216254,-0.011341482,-0.41757429,-9.8338783,0.40623281,10.471015,0.63713648,1.9064885,11.659085,8.1896439,0.319904,1.8927139,0.31914375,1995.4204,3371.2716,0.011341482,1.268201,31.106478,0.048415218,0.32581728,0.02866286,8.1166697,0.35272212,4.7115158,12.634961,-0.017794696,-0.018615479,0.00082078317,-0.028837439,-0.030394262,-0.44161614,0.0015568223,0.10092362,-0.34069252,0.083991137,0.59911599,0.62232135,0.024309126,0.094774899,0.018775666,101.27312,192.21463,0.028837439,0.046439804,1.4518608,0.0072518513,0.015207165,-0.0059574035 +/- 0.01433143,378.83335 +/- 4.0583349,11.545215 +/- 0.17636106,172.62984 +/- 2.3557579,563.55694 +/- 6.3174804,-0.011816578 +/- 0.0088973478,-0.22766019 +/- 0.0093077394,0.21584361 +/- 0.00041039159,0.0030772372 +/- 0.01441872,-0.40237716 +/- 0.015197131,-9.6130702 +/- 0.22080807,0.40545439 +/- 0.00077841113,10.420553 +/- 0.050461811,0.80748274 +/- 0.17034626,1.8644929 +/- 0.041995568,11.359527 +/- 0.29955799,7.8784832 +/- 0.31116067,0.30774943 +/- 0.012154563,1.8453265 +/- 0.04738745,0.30975592 +/- 0.0093878331,1944.7838 +/- 50.636561,3275.1643 +/- 96.107316,-0.0030772372 +/- 0.01441872,1.2449811 +/- 0.023219902,30.380547 +/- 0.72593038,0.044789293 +/- 0.0036259256,0.3182137 +/- 0.0076035823
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6130) from INS: Volume,C 1,-0.011980852,388.8159,11.760795,176.80159,580.64465,-0.0066720558,-0.22292606,0.216254,0.0090870222,-0.39714578,-9.6877488,0.40623281,10.471015,0.78326591,1.8793332,11.444834,7.7495953,0.30271481,1.8592813,0.3112254,1955.8966,3276.9438,-0.0090870222,1.2568824,30.496625,0.037243925,0.31942953,0.030061213,7.8757054,0.40521407,4.1965673,13.89241,-0.018235003,-0.018311525,7.6522483e-05,-0.030236178,-0.030398743,-0.46703217,0.00016256492,0.018270023,-0.44876215,0.0828414,0.52990376,0.57697555,0.022537828,0.094583023,0.018817102,97.340026,181.65306,0.030236178,0.045207196,1.3477471,0.0018585093,0.014116652,-0.027011458 +/- 0.015030607,384.87805 +/- 3.9378527,11.558188 +/- 0.20260704,174.70331 +/- 2.0982837,573.69844 +/- 6.946205,0.0024454456 +/- 0.0091175014,-0.21377029 +/- 0.0091557626,0.21621574 +/- 3.8261242e-05,0.024205111 +/- 0.015118089,-0.38194641 +/- 0.015199372,-9.4542327 +/- 0.23351609,0.40615152 +/- 8.128246e-05,10.46188 +/- 0.0091350117,1.007647 +/- 0.22438108,1.8379125 +/- 0.0414207,11.179882 +/- 0.26495188,7.4611075 +/- 0.28848778,0.2914459 +/- 0.011268914,1.8119898 +/- 0.047291512,0.30181684 +/- 0.0094085512,1907.2266 +/- 48.670013,3186.1173 +/- 90.826529,-0.024205111 +/- 0.015118089,1.2342788 +/- 0.022603598,29.822751 +/- 0.67387357,0.03631467 +/- 0.00092925464,0.3123712 +/- 0.0070583258
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6148) from INS: Electron Density SCF,C 1,0.031747663,322.25318,10.684447,164.44199,407.59752,-0.041579485,-0.23594552,0.19436603,-0.034618563,-0.40429705,-9.1335085,0.36967848,9.8223601,0.68885153,1.8208074,11.391316,8.1363419,0.31782192,1.8095876,0.30875917,1940.9115,3271.6526,0.034618563,1.203289,30.166755,0.075038916,0.31597438,0.033693401,7.7827809,0.41635892,3.4934869,15.200408,-0.020211965,-0.020211965,0,-0.033869409,-0.033869409,-0.60083897,0,0.0038652308,-0.59697374,0.079882277,0.43874492,0.65206447,0.025470952,0.093278621,0.01892928,103.02475,198.94943,0.033869409,0.042023718,1.2102454,-0.0038237421,0.012676422,0.014900963 +/- 0.0168467,318.36179 +/- 3.8913904,10.476267 +/- 0.20817946,162.69525 +/- 1.7467435,399.99731 +/- 7.6002042,-0.031473502 +/- 0.010105983,-0.22583953 +/- 0.010105983,0.19436603 +/- 0,-0.017683858 +/- 0.016934704,-0.38736234 +/- 0.016934704,-8.8330891 +/- 0.30041949,0.36967848 +/- 0,9.8204275 +/- 0.0019326154,0.9873384 +/- 0.29848687,1.7808662 +/- 0.039941138,11.171944 +/- 0.21937246,7.8103097 +/- 0.32603223,0.30508644 +/- 0.012735476,1.7629483 +/- 0.04663931,0.29929453 +/- 0.0094646398,1889.3991 +/- 51.512376,3172.1778 +/- 99.474717,0.017683858 +/- 0.016934704,1.1822772 +/- 0.021011859,29.561632 +/- 0.60512268,0.076950787 +/- 0.0019118711,0.30963617 +/- 0.0063382112
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6148) from INS: Kinetic Energy Density SCF,C 1,0.03493309,322.10552,10.69102,164.51108,407.7742,-0.044056616,-0.23842265,0.19436603,-0.037817061,-0.40749554,-9.096002,0.36967848,9.8223601,0.72635803,1.826057,11.46409,8.2097221,0.32068829,1.8155392,0.31016502,1946.5907,3284.4333,0.037817061,1.205727,30.338481,0.080581458,0.31777308,0.034555273,7.7193521,0.42705413,3.243682,16.234336,-0.020659829,-0.020659829,0,-0.034731583,-0.034731583,-0.63929466,0,0.00024302151,-0.63905164,0.079215194,0.41300408,0.66198063,0.025858298,0.093025399,0.018961744,103.48584,201.11348,0.034731583,0.041291705,1.1712669,-0.0056062787,0.012268152,0.017655453 +/- 0.017277636,318.24585 +/- 3.8596761,10.477493 +/- 0.21352706,162.88924 +/- 1.621841,399.65703 +/- 8.1171678,-0.033726702 +/- 0.010329915,-0.22809273 +/- 0.010329915,0.19436603 +/- 0,-0.020451269 +/- 0.017365791,-0.39012975 +/- 0.017365791,-8.7763547 +/- 0.31964733,0.36967848 +/- 0,9.8222386 +/- 0.00012151075,1.0458838 +/- 0.31952582,1.7864494 +/- 0.039607597,11.257588 +/- 0.20650204,7.8787317 +/- 0.33099032,0.30775914 +/- 0.012929149,1.7690265 +/- 0.0465127,0.30068415 +/- 0.0094808722,1894.8477 +/- 51.742921,3183.8765 +/- 100.55674,0.020451269 +/- 0.017365791,1.1850811 +/- 0.020645852,29.752847 +/- 0.58563347,0.083384598 +/- 0.0028031393,0.31163901 +/- 0.0061340762
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Max (node 6156) from INS: Volume,C 1,0.013071345,321.28911,10.583466,163.89219,407.63705,-0.028855552,-0.22322158,0.19436603,-0.015868185,-0.38554667,-8.9679812,0.36967848,9.8223601,0.85437888,1.7916942,11.17105,7.729595,0.30193356,1.7745578,0.30079425,1898.6374,3177.7926,0.015868185,1.1901057,29.571854,0.066765255,0.30974323,0.029127409,8.2852336,0.4590081,3.6113503,17.773403,-0.017331527,-0.017331836,3.0957833e-07,-0.029291138,-0.029291138,-0.53212615,0,0.0096481674,-0.52247798,0.076525262,0.41686347,0.57929334,0.022628366,0.088241987,0.017608779,98.28489,185.20195,0.029291138,0.041307705,1.15867,-0.0037080073,0.012136209,-0.0014923597 +/- 0.014563704,317.14649 +/- 4.1426168,10.353962 +/- 0.22950405,162.08652 +/- 1.8056752,398.75034 +/- 8.8867016,-0.020189789 +/- 0.0086657634,-0.21455567 +/- 0.0086659182,0.19436588 +/- 1.5478916e-07,-0.0012226155 +/- 0.014645569,-0.3709011 +/- 0.014645569,-8.7019181 +/- 0.26606308,0.36967848 +/- 0,9.817536 +/- 0.0048240837,1.1156179 +/- 0.26123899,1.7534315 +/- 0.038262631,10.962618 +/- 0.20843173,7.4399483 +/- 0.28964667,0.29061938 +/- 0.011314183,1.7304368 +/- 0.044120994,0.29198986 +/- 0.0088043893,1849.4949 +/- 49.142445,3085.1916 +/- 92.600973,0.0012226155 +/- 0.014645569,1.1694518 +/- 0.020653853,28.992519 +/- 0.57933501,0.068619258 +/- 0.0018540037,0.30367513 +/- 0.0060681046
cis-1-3-butadiene_EEF00125-xMinus_SP,C 1: Min (node 2165) from INS: Kinetic Energy Density SCF,C 1,0.082063259,470.0053,14.960145,249.49697,710.1392,-0.064961075,-0.33456838,0.2696073,-0.08613303,-0.57795321,-12.384933,0.49182018,13.034432,0.64949936,2.5441091,16.707178,11.592859,0.45284044,2.5592438,0.4376954,2709.4392,4609.5626,0.08613303,1.6687183,42.437222,0.1228814,0.44449842,0.040539395,9.5721488,0.4970865,4.6902758,17.119587,-0.024697028,-0.024872396,0.00017536853,-0.040767382,-0.041115427,-0.68089578,0.00034804545,0.036587381,-0.6443084,0.10657779,0.63670004,0.80472429,0.031434153,0.12230994,0.024519531,132.19387,250.1562,0.040767382,0.057538731,1.6966241,4.7479084e-05,0.017770879,0.061793561 +/- 0.020269697,465.21922 +/- 4.7860744,14.711602 +/- 0.24854325,247.15183 +/- 2.3451379,701.57941 +/- 8.5597935,-0.052612561 +/- 0.012348514,-0.32213218 +/- 0.012436198,0.26951962 +/- 8.7684266e-05,-0.065749339 +/- 0.020383691,-0.5573955 +/- 0.020557714,-12.044485 +/- 0.34044789,0.49164616 +/- 0.00017402273,13.016139 +/- 0.018293691,0.97165356 +/- 0.3221542,2.4908203 +/- 0.053288897,16.388828 +/- 0.31835002,11.190497 +/- 0.40236214,0.43712337 +/- 0.015717076,2.4980888 +/- 0.061154969,0.42543564 +/- 0.012259766,2643.3423 +/- 66.096933,4484.4845 +/- 125.0781,0.065749339 +/- 0.020383691,1.639949 +/- 0.028769365,41.58891 +/- 0.84831204,0.12285766 +/- 2.3739542e-05,0.43561299 +/- 0.0088854394
