Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6092) from INS: Electron Density SCF,C 1,-0.080571003,435.92747,13.653416,249.66226,736.43858,0.063285811,-0.27106036,0.33434617,0.054012668,-0.49303753,-12.352013,0.54705019,11.826477,-0.52553634,2.537846,17.864802,9.6088896,0.3994273,2.5232041,0.40954583,2545.9542,4200.371,-0.054012668,1.7187543,40.399443,-0.11212599,0.40428666,0.027724091,8.1055942,0.53825546,3.7939122,15.503551,-0.017820602,-0.017893375,7.2772469e-05,-0.029134415,-0.029256082,-0.40523993,0.00012166691,0.051827855,-0.35341208,0.10276431,0.71037008,0.59435174,0.024706321,0.11280816,0.021748067,114.3299,200.62992,0.029134415,0.059268176,1.8198226,0.0065040278,0.018211389,-0.094433048 +/- 0.013862045,431.87468 +/- 4.0527971,13.384288 +/- 0.26912773,247.7653 +/- 1.8969561,728.6868 +/- 7.7517757,0.072196112 +/- 0.0089103012,-0.26211367 +/- 0.0089466874,0.33430979 +/- 3.6386235e-05,0.068579876 +/- 0.014567208,-0.47840949 +/- 0.014628041,-12.149393 +/- 0.20261997,0.54698936 +/- 6.0833455e-05,11.800563 +/- 0.025913927,-0.3488303 +/- 0.17670604,2.4864638 +/- 0.051382155,17.509617 +/- 0.35518504,9.3117137 +/- 0.29717587,0.38707414 +/- 0.01235316,2.4668 +/- 0.056404082,0.39867179 +/- 0.010874033,2488.7893 +/- 57.164951,4100.056 +/- 100.31496,-0.068579876 +/- 0.014567208,1.6891202 +/- 0.029634088,39.489532 +/- 0.90991129,-0.115378 +/- 0.0032520139,0.39518097 +/- 0.0091056947
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6092) from INS: Kinetic Energy Density SCF,C 1,-0.092333237,439.40045,13.634313,250.78384,742.11942,0.072084441,-0.26226173,0.33434617,0.066221893,-0.4808283,-12.391246,0.54705019,11.826477,-0.56476888,2.5082509,17.57182,9.3517614,0.38873886,2.4906009,0.40265295,2514.1717,4141.2572,-0.066221893,1.702945,39.671421,-0.12624388,0.39700117,0.030281237,8.2606368,0.52108793,3.4970523,12.726734,-0.019187207,-0.019377002,0.00018979454,-0.031686168,-0.031969522,-0.4724259,0.00028335336,0.031147243,-0.44127866,0.099708243,0.67635105,0.61742291,0.025665355,0.1109421,0.021664913,114.51586,203.90208,0.031686168,0.056378416,1.7236467,0.0037853649,0.017248935,-0.10747385 +/- 0.015140618,435.27013 +/- 4.1303184,13.373769 +/- 0.26054397,249.03531 +/- 1.7485261,735.75605 +/- 6.3633671,0.081678044 +/- 0.0095936036,-0.25257323 +/- 0.0096885009,0.33425127 +/- 9.4897271e-05,0.082064977 +/- 0.015843084,-0.46484354 +/- 0.015984761,-12.155033 +/- 0.23621295,0.54690852 +/- 0.00014167668,11.810903 +/- 0.015573621,-0.34412955 +/- 0.22063933,2.4583968 +/- 0.049854121,17.233645 +/- 0.33817553,9.0430499 +/- 0.30871145,0.37590618 +/- 0.012832677,2.4351299 +/- 0.055471051,0.39182049 +/- 0.010832457,2456.9138 +/- 57.257929,4039.3062 +/- 101.95104,-0.082064977 +/- 0.015843084,1.6747558 +/- 0.028189208,38.809598 +/- 0.86182333,-0.12813656 +/- 0.0018926825,0.38837671 +/- 0.0086244673
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6092) from INS: Volume,C 1,-0.010609563,438.46962,14.132967,250.2346,730.19207,0.017105654,-0.31724052,0.33434617,-0.018427467,-0.56547766,-13.139285,0.54705019,11.826477,-1.3128078,2.6972225,19.03465,10.955315,0.4553962,2.7066086,0.44776883,2733.7295,4561.6328,0.018427467,1.8016849,43.431709,-0.08943501,0.43463125,0.034027253,8.1560099,0.58668182,3.6946433,16.927513,-0.021466404,-0.02212065,0.00065424623,-0.035582555,-0.036644555,-0.58569241,0.0010620007,0.067780675,-0.51791173,0.10987498,0.73221566,0.72239246,0.030028784,0.12259062,0.023983705,129.59918,233.83186,0.035582555,0.061907567,1.8787252,0.0029300714,0.018800841,-0.02762319 +/- 0.017013627,434.39162 +/- 4.0780049,13.839626 +/- 0.29334091,248.38728 +/- 1.8473216,721.72831 +/- 8.4637567,0.027838856 +/- 0.010733202,-0.30618019 +/- 0.011060325,0.33401905 +/- 0.00032712312,-0.00063618941 +/- 0.017791277,-0.54715538 +/- 0.018322278,-12.846439 +/- 0.2928462,0.54651919 +/- 0.00053100033,11.792587 +/- 0.033890338,-1.053852 +/- 0.25895587,2.642285 +/- 0.054937488,18.668543 +/- 0.36610783,10.594119 +/- 0.36119623,0.44038181 +/- 0.015014392,2.6453133 +/- 0.061295311,0.43577697 +/- 0.011991852,2668.9299 +/- 64.799592,4444.7169 +/- 116.91593,0.00063618941 +/- 0.017791277,1.7707311 +/- 0.030953783,42.492346 +/- 0.93936258,-0.090900045 +/- 0.0014650357,0.42523083 +/- 0.0094004207
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6110) from INS: Volume,C 1,-0.021292012,362.71949,10.584513,174.47428,601.15899,-0.0058977218,-0.17688331,0.17098559,0.0040144405,-0.3171945,-8.3492539,0.32120894,8.1944218,-0.15483206,1.6198766,9.9303165,6.2418988,0.25946648,1.5944065,0.26643077,1701.7718,2765.9423,-0.0040144405,1.0870151,26.468986,-0.030588655,0.26488133,0.019122572,5.3069588,0.36092237,2.9069486,13.946187,-0.01277289,-0.013517172,0.0007442817,-0.020201702,-0.021664991,-0.25762021,0.0014632883,0.1460301,-0.11159011,0.080722504,0.6770616,0.4459459,0.01853731,0.087179589,0.016640846,85.768917,149.75448,0.020201702,0.047440811,1.5512916,0.012422323,0.015524138,-0.030853299 +/- 0.0095612862,360.06601 +/- 2.6534794,10.404051 +/- 0.18046119,173.0208 +/- 1.4534743,594.1859 +/- 6.9730933,0.00048872331 +/- 0.0063864451,-0.17012472 +/- 0.0067585859,0.17061345 +/- 0.00037214085,0.014115292 +/- 0.010100851,-0.30636201 +/- 0.010832495,-8.2204438 +/- 0.12881011,0.3204773 +/- 0.00073164416,8.1214067 +/- 0.073015051,-0.099037008 +/- 0.055795056,1.5795154 +/- 0.040361252,9.5917857 +/- 0.3385308,6.0189258 +/- 0.22297295,0.25019783 +/- 0.0092686549,1.5508167 +/- 0.043589795,0.25811034 +/- 0.008320423,1658.8874 +/- 42.884459,2691.0651 +/- 74.87724,-0.014115292 +/- 0.010100851,1.0632947 +/- 0.023720406,25.69334 +/- 0.77564582,-0.036799817 +/- 0.0062111613,0.25711926 +/- 0.0077620689
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6114) from INS: Electron Density SCF,C 1,0.019446585,363.49517,10.830463,174.56972,594.91249,-0.032240926,-0.20322651,0.17098559,-0.038141192,-0.35935013,-8.9008402,0.32120894,8.1944218,-0.70641844,1.7102473,10.538909,6.9996914,0.2909668,1.6993136,0.28828232,1808.6305,2973.2047,0.038141192,1.1336827,28.100976,-0.02296918,0.28121303,0.020058409,7.5449912,0.49755265,3.4076148,18.957984,-0.012493382,-0.013041914,0.000548532,-0.021172678,-0.022325288,-0.41836903,0.0011526107,0.10774504,-0.31062399,0.083037775,0.57516806,0.44925952,0.018675053,0.090713702,0.017182697,92.258899,160.92854,0.021172678,0.04867238,1.4064037,0.0014074887,0.01407421,0.0094173799 +/- 0.010029205,359.72267 +/- 3.7724956,10.581686 +/- 0.24877632,172.86591 +/- 1.7038074,585.4335 +/- 9.4789921,-0.025994235 +/- 0.0062466912,-0.19670556 +/- 0.0065209572,0.17071132 +/- 0.000274266,-0.027554853 +/- 0.010586339,-0.34818749 +/- 0.011162644,-8.6916557 +/- 0.20918452,0.32063264 +/- 0.00057630533,8.1405493 +/- 0.053872521,-0.55110644 +/- 0.15531199,1.6687285 +/- 0.041518887,10.251325 +/- 0.28758403,6.7750616 +/- 0.22462976,0.28162927 +/- 0.0093375263,1.6539568 +/- 0.045356851,0.27969097 +/- 0.0085913487,1762.5011 +/- 46.12945,2892.7404 +/- 80.464272,0.027554853 +/- 0.010586339,1.1093465 +/- 0.02433619,27.397774 +/- 0.70320187,-0.023672924 +/- 0.00070374437,0.27417592 +/- 0.0070371052
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6114) from INS: Kinetic Energy Density SCF,C 1,0.024663876,359.93564,10.808797,173.38828,589.23165,-0.036474378,-0.20745996,0.17098559,-0.043558818,-0.36476776,-8.8329647,0.32120894,8.1944218,-0.63854294,1.7235658,10.690319,7.1246632,0.29616169,1.7136358,0.29137161,1822.5181,2998.954,0.043558818,1.1408226,28.477557,-0.013676413,0.28498156,0.021783357,7.3188672,0.51601865,3.1246609,18.300977,-0.013638109,-0.014240196,0.0006020867,-0.022950084,-0.024271846,-0.42853093,0.0013217623,0.10431507,-0.32421586,0.086166496,0.60250594,0.47169701,0.019607746,0.094427866,0.017991642,94.877109,166.27146,0.022950084,0.050183212,1.4736479,0.0023163342,0.014747138,0.013772197 +/- 0.010891679,356.27621 +/- 3.6594336,10.550788 +/- 0.25800932,171.82595 +/- 1.5623305,580.08116 +/- 9.1504883,-0.029655324 +/- 0.0068190546,-0.20033987 +/- 0.007120098,0.17068454 +/- 0.00030104335,-0.032083776 +/- 0.011475042,-0.35263184 +/- 0.012135923,-8.6186993 +/- 0.21426547,0.32054806 +/- 0.00066088117,8.1422643 +/- 0.052157535,-0.47643501 +/- 0.16210793,1.6804825 +/- 0.043083248,10.389066 +/- 0.30125297,6.8888147 +/- 0.23584851,0.28635782 +/- 0.0098038729,1.6664219 +/- 0.047213933,0.28237579 +/- 0.0089958211,1775.0795 +/- 47.438555,2915.8183 +/- 83.135728,0.032083776 +/- 0.011475042,1.1157309 +/- 0.025091606,27.740733 +/- 0.73682393,-0.01483458 +/- 0.0011581671,0.27760799 +/- 0.0073735692
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6134) from INS: Electron Density SCF,C 1,-0.0037238462,302.11708,10.846878,146.38352,253.5722,-0.031044884,-0.21807229,0.18702741,-0.015871476,-0.37480136,-8.6147454,0.35892988,9.8467001,1.2319547,1.816755,12.109106,7.4480862,0.30960591,1.7839365,0.30217185,1877.2469,3084.9053,0.015871476,1.2124112,31.427298,0.070246909,0.31450031,0.024398359,6.4917198,0.39757972,2.8583135,14.054381,-0.015794583,-0.015928691,0.00013410825,-0.025595161,-0.025852276,-0.34945769,0.00025711488,0.067369369,-0.28208832,0.086334152,0.63519947,0.51148856,0.021261821,0.095057044,0.018455419,95.009063,168.46713,0.025595161,0.049423315,1.5621195,0.0074608172,0.015632495,-0.015923026 +/- 0.012199179,298.87122 +/- 3.2458599,10.648088 +/- 0.19878986,144.95436 +/- 1.4291567,246.54501 +/- 7.0271907,-0.023147593 +/- 0.0078972915,-0.21010795 +/- 0.0079643457,0.18696036 +/- 6.7054127e-05,-0.003073895 +/- 0.012797581,-0.36187522 +/- 0.012926138,-8.4400166 +/- 0.17472884,0.35880133 +/- 0.00012855744,9.8130155 +/- 0.033684684,1.3729989 +/- 0.14104416,1.7735879 +/- 0.043167076,11.791506 +/- 0.31759974,7.1923419 +/- 0.25574428,0.29897499 +/- 0.010630911,1.736408 +/- 0.047528522,0.29294414 +/- 0.0092277093,1829.7423 +/- 47.504532,3000.6717 +/- 84.233564,0.003073895 +/- 0.012797581,1.1876996 +/- 0.024711658,30.646238 +/- 0.78105977,0.0665165 +/- 0.0037304086,0.30668406 +/- 0.0078162474
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6134) from INS: Kinetic Energy Density SCF,C 1,0.0028210963,302.20363,10.887647,146.44338,253.5722,-0.035610062,-0.22263747,0.18702741,-0.022663075,-0.38159296,-8.6433884,0.35892988,9.8467001,1.2033118,1.8330316,12.250677,7.5802426,0.31509945,1.8022175,0.30597545,1895.1418,3118.2698,0.022663075,1.2210807,31.77874,0.075072031,0.31801727,0.025880906,6.0904247,0.40817136,2.7674223,15.768244,-0.016600658,-0.016669755,6.909713e-05,-0.027069643,-0.027151627,-0.37964651,8.1984384e-05,0.032548613,-0.34709789,0.084105453,0.59427821,0.54683004,0.022730915,0.093504014,0.01833106,97.079789,174.6471,0.027069643,0.047443333,1.4846831,0.0050399676,0.01485757,-0.010119356 +/- 0.012940453,299.15841 +/- 3.0452124,10.683561 +/- 0.20408568,145.05967 +/- 1.3837111,245.68808 +/- 7.8841219,-0.027309733 +/- 0.0083003291,-0.21430259 +/- 0.0083348777,0.18699286 +/- 3.4548565e-05,-0.0091282531 +/- 0.013534822,-0.36801714 +/- 0.013575814,-8.4535651 +/- 0.18982325,0.35888889 +/- 4.0992192e-05,9.8304258 +/- 0.016274307,1.3768607 +/- 0.17354895,1.7909789 +/- 0.042052727,11.953537 +/- 0.2971391,7.3068276 +/- 0.27341502,0.30373399 +/- 0.011365457,1.7554654 +/- 0.046752007,0.29680992 +/- 0.0091655299,1846.6019 +/- 48.539894,3030.9463 +/- 87.323551,0.0091282531 +/- 0.013534822,1.197359 +/- 0.023721667,31.036398 +/- 0.74234154,0.072552047 +/- 0.0025199838,0.31058848 +/- 0.0074287851
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Max (node 6134) from INS: Volume,C 1,-0.032946689,300.35061,10.613277,145.90663,253.5722,-0.011207932,-0.19823534,0.18702741,0.014413027,-0.34451686,-8.3790603,0.35892988,9.8467001,1.4676399,1.7477491,11.547849,6.8594536,0.28513732,1.7054391,0.28580041,1796.3302,2930.9059,-0.014413027,1.1761483,30.027022,0.055175404,0.30048742,0.02090645,6.1757301,0.39008931,3.032255,16.352446,-0.013714681,-0.013825488,0.00011080732,-0.022002709,-0.02213252,-0.24889803,0.0001298105,0.047529,-0.20136903,0.080523507,0.62608056,0.45696488,0.018995353,0.087824384,0.016904993,88.448251,153.93656,0.022002709,0.046713521,1.4879083,0.0088155687,0.014889846,-0.043399914 +/- 0.010453225,297.26274 +/- 3.087865,10.418232 +/- 0.19504466,144.3905 +/- 1.5161275,245.39598 +/- 8.1762231,-0.0043505914 +/- 0.0068573404,-0.1913226 +/- 0.0069127441,0.18697201 +/- 5.540366e-05,0.025414381 +/- 0.011001355,-0.3334506 +/- 0.01106626,-8.2546112 +/- 0.12444901,0.35886498 +/- 6.4905248e-05,9.8229356 +/- 0.0237645,1.5683244 +/- 0.10068451,1.7074874 +/- 0.040261753,11.234809 +/- 0.31304028,6.6309711 +/- 0.22848244,0.27563964 +/- 0.0094976764,1.6615269 +/- 0.043912192,0.27734791 +/- 0.0084524964,1752.1061 +/- 44.224125,2853.9376 +/- 76.968279,-0.025414381 +/- 0.011001355,1.1527916 +/- 0.02335676,29.283068 +/- 0.74395416,0.050767619 +/- 0.0044077843,0.2930425 +/- 0.007444923
cis-1-3-butadiene_EEF00125-xPlus_SP,C 1: Min (node 2150) from INS: Kinetic Energy Density SCF,C 1,0.043582908,236.81278,9.187498,147.00692,356.81032,-0.073792645,-0.23978121,0.16598857,-0.064512942,-0.39047065,-5.9906891,0.32595771,10.431978,4.4412886,1.8929408,15.217774,8.1285311,0.33789099,1.8648142,0.32275395,1887.7046,3118.6769,0.064512942,1.2474329,36.693355,0.31025298,0.36719897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043582908 +/- 0,236.81278 +/- 0,9.187498 +/- 0,147.00692 +/- 0,356.81032 +/- 0,-0.073792645 +/- 0,-0.23978121 +/- 0,0.16598857 +/- 0,-0.064512942 +/- 0,-0.39047065 +/- 0,-5.9906891 +/- 0,0.32595771 +/- 0,10.431978 +/- 0,4.4412886 +/- 0,1.8929408 +/- 0,15.217774 +/- 0,8.1285311 +/- 0,0.33789099 +/- 0,1.8648142 +/- 0,0.32275395 +/- 0,1887.7046 +/- 0,3118.6769 +/- 0,0.064512942 +/- 0,1.2474329 +/- 0,36.693355 +/- 0,0.31025298 +/- 0,0.36719897 +/- 0
