Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 5 from INS: Electron Density SCF,C 2: Max (node 6122) from INS: Electron Density SCF,0.045555699,399.69652,9.5305871,252.32128,295.56362,-0.028470672,-0.24051217,0.2120415,-0.041315343,-0.41533682,-9.4482717,0.37402148,5.1521609,-4.2961108,1.8173255,7.3674823,8.0667814,0.30997866,1.8372787,0.3104802,1964.5722,3334.5723,0.041315343,1.1963651,21.18516,-0.26852378,0.25813362,0.032042637,8.3126958,0.40335376,4.4048595,3.7617919,-0.019807587,-0.019821699,1.4112522e-05,-0.031784021,-0.031821536,-0.40535057,3.7515299e-05,0.036736624,-0.36861395,0.08157287,0.41233761,0.65612193,0.025212509,0.093982846,0.018935918,103.09445,199.60339,0.031784021,0.043701035,1.1854666,0.0050940596,0.014444488,0.029534381 +/- 0.016021318,395.54017 +/- 4.1563479,9.3289103 +/- 0.20167688,250.11885 +/- 2.2024297,293.68273 +/- 1.8808959,-0.018566878 +/- 0.0099037933,-0.23060132 +/- 0.0099108496,0.21203445 +/- 7.056261e-06,-0.025423332 +/- 0.015892011,-0.39942605 +/- 0.015910768,-9.2455964 +/- 0.20267529,0.37400272 +/- 1.875765e-05,5.1337925 +/- 0.018368312,-4.1118039 +/- 0.18430697,1.776539 +/- 0.040786435,7.1613135 +/- 0.20616881,7.7387204 +/- 0.32806096,0.2973724 +/- 0.012606254,1.7902872 +/- 0.046991423,0.30101224 +/- 0.0094679589,1913.025 +/- 51.547227,3234.7706 +/- 99.801696,0.025423332 +/- 0.015892011,1.1745146 +/- 0.021850517,20.592426 +/- 0.59273332,-0.27107081 +/- 0.0025470298,0.25091137 +/- 0.0072222441
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 5 from INS: Kinetic Energy Density SCF,C 2: Max (node 6122) from INS: Kinetic Energy Density SCF,0.047462373,399.6893,9.5349991,252.50812,294.0483,-0.029705453,-0.24174695,0.2120415,-0.043206226,-0.4172277,-9.4780621,0.37402148,5.1521609,-4.3259012,1.8223562,7.3878598,8.1059522,0.31148386,1.8429919,0.31163643,1970.2537,3345.3769,0.043206226,1.1990833,21.250262,-0.26879501,0.25892686,0.032343242,8.203876,0.38850395,4.4849429,3.2686412,-0.020049415,-0.020088799,3.9383496e-05,-0.032086212,-0.03213968,-0.41803813,5.3467797e-05,0.032729179,-0.38530895,0.080575725,0.40278873,0.66855458,0.025690253,0.093043405,0.018819828,103.32682,201.36611,0.032086212,0.042936069,1.1592441,0.0041741295,0.014124976,0.031290752 +/- 0.016171621,395.58736 +/- 4.101938,9.3407471 +/- 0.19425197,250.26565 +/- 2.2424714,292.41398 +/- 1.6343206,-0.019680745 +/- 0.010024708,-0.23170256 +/- 0.010044399,0.21202181 +/- 1.9691748e-05,-0.02716312 +/- 0.016043106,-0.40115786 +/- 0.01606984,-9.269043 +/- 0.20901906,0.37399474 +/- 2.6733898e-05,5.1357963 +/- 0.01636459,-4.1332468 +/- 0.19265447,1.7820683 +/- 0.040287862,7.1864655 +/- 0.20139436,7.7716749 +/- 0.33427729,0.29863873 +/- 0.012845126,1.7964702 +/- 0.046521703,0.30222651 +/- 0.0094099139,1918.5903 +/- 51.663409,3244.6939 +/- 100.68306,0.02716312 +/- 0.016043106,1.1776153 +/- 0.021468034,20.67064 +/- 0.57962204,-0.27088208 +/- 0.0020870648,0.25186437 +/- 0.0070624878
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 5 from INS: Volume,C 2: Max (node 6116) from INS: Volume,-0.020340392,389.3105,9.0281084,247.09088,296.96498,0.01159933,-0.20044217,0.2120415,0.024157028,-0.34986445,-8.3423068,0.37402148,5.1521609,-3.190146,1.6970721,6.9341434,6.8605962,0.26362911,1.6909125,0.27945528,1803.6565,2997.3559,-0.024157028,1.1381615,19.744893,-0.25356514,0.24058449,0.032726865,7.6173307,0.4075155,4.1253904,3.1618385,-0.020012637,-0.020040862,2.8224461e-05,-0.032487923,-0.03251498,-0.47377516,2.705648e-05,0.0093511057,-0.46442406,0.07224549,0.3219311,0.65413823,0.025136282,0.085121337,0.017495392,97.756114,193.52875,0.032487923,0.037254705,0.97143186,-0.0012261842,0.011836551,-0.036703824 +/- 0.016363433,385.50184 +/- 3.8086653,8.8243506 +/- 0.20375775,245.02819 +/- 2.0626952,295.38406 +/- 1.5809193,0.021605648 +/- 0.010006319,-0.19042174 +/- 0.010020431,0.21202739 +/- 1.411223e-05,0.040400989 +/- 0.016243962,-0.33360696 +/- 0.01625749,-8.1054192 +/- 0.23688758,0.37400795 +/- 1.352824e-05,5.1474853 +/- 0.0046755528,-2.9579339 +/- 0.23221203,1.6609493 +/- 0.036122745,6.7731778 +/- 0.16096555,6.5335271 +/- 0.32706911,0.25106097 +/- 0.012568141,1.6483519 +/- 0.042560668,0.27070758 +/- 0.0087476962,1754.7784 +/- 48.878057,2900.5915 +/- 96.764377,-0.040400989 +/- 0.016243962,1.1195342 +/- 0.018627352,19.259177 +/- 0.48571593,-0.25295205 +/- 0.00061309212,0.23466621 +/- 0.0059182754
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 6 from INS: Electron Density SCF,full,0.12951969,1914.5772,80.847032,1350.8778,1376.9246,-0.020157768,-0.4072537,0.38709594,-0.0056684928,-0.74808164,-18.719669,0.74241315,21.660787,2.9411183,2.7762502,38.364518,3299.6411,1.3177105,2.4527933,1.3176283,5997.2557,7397.9206,0.0056684928,2.1409936,72.534106,0.34453856,1.3534648,0.034963512,7.7898911,0.33674137,3.7806705,2.9483379,-0.021739849,-0.021789121,4.9272332e-05,-0.034712025,-0.034837087,-0.45608824,0.00012506158,0.02225053,-0.43383771,0.075520331,0.36177006,0.73036607,0.028065456,0.088914099,0.018413974,104.96822,210.06695,0.034712025,0.038692383,1.0774067,0.0032465653,0.013127816,0.11203793 +/- 0.017481756,1910.6822 +/- 3.8949455,80.678661 +/- 0.16837069,1348.9875 +/- 1.8903352,1375.4504 +/- 1.474169,-0.0092878432 +/- 0.010869924,-0.39635914 +/- 0.010894561,0.3870713 +/- 2.4636166e-05,0.01168752 +/- 0.017356013,-0.7306631 +/- 0.017418543,-18.491625 +/- 0.22804412,0.74235062 +/- 6.2530788e-05,21.649662 +/- 0.011125265,3.1580372 +/- 0.21691886,2.7384901 +/- 0.037760165,38.183633 +/- 0.18088503,3299.2759 +/- 0.36518303,1.3036777 +/- 0.014032728,2.4083363 +/- 0.044457049,1.3084213 +/- 0.0092069869,5944.7716 +/- 52.484112,7292.8871 +/- 105.03347,-0.01168752 +/- 0.017356013,2.1216474 +/- 0.019346191,71.995403 +/- 0.53870333,0.34291528 +/- 0.0016232826,1.3469009 +/- 0.006563908
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 6 from INS: Electron Density SCF,C 2: Max (node 6138) from INS: Electron Density SCF,0.010006473,363.46745,11.430542,153.26036,96.923873,-0.020157767,-0.24459152,0.22443375,-0.0056684936,-0.4211863,-7.8731294,0.4155178,10.814248,2.9411183,1.8957634,10.465739,8.2679915,0.31771047,1.8885463,0.31762832,2012.2678,3412.9327,0.0056684936,1.2605068,29.009039,0.22502534,0.3534648,0.034963512,7.7898911,0.33674137,3.7806705,2.9483379,-0.021739849,-0.021789121,4.9272332e-05,-0.034712025,-0.034837087,-0.45608824,0.00012506158,0.02225053,-0.43383771,0.075520331,0.36177006,0.73036607,0.028065456,0.088914099,0.018413974,104.96822,210.06695,0.034712025,0.038692383,1.0774067,0.0032465653,0.013127816,-0.0074752829 +/- 0.017481756,359.5725 +/- 3.8949455,11.262172 +/- 0.16837069,151.37003 +/- 1.8903352,95.449704 +/- 1.474169,-0.0092878431 +/- 0.010869924,-0.23369696 +/- 0.010894561,0.22440912 +/- 2.4636166e-05,0.011687519 +/- 0.017356013,-0.40376775 +/- 0.017418543,-7.6450853 +/- 0.22804412,0.41545527 +/- 6.2530788e-05,10.803123 +/- 0.011125265,3.1580372 +/- 0.21691886,1.8580033 +/- 0.037760165,10.284853 +/- 0.18088503,7.9028085 +/- 0.36518303,0.30367774 +/- 0.014032728,1.8440893 +/- 0.044457049,0.30842133 +/- 0.0092069869,1959.7837 +/- 52.484112,3307.8992 +/- 105.03347,-0.011687519 +/- 0.017356013,1.2411606 +/- 0.019346191,28.470336 +/- 0.53870333,0.22340206 +/- 0.0016232826,0.34690089 +/- 0.006563908
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 6 from INS: Electron Density SCF,H 4: Max (node 5452) from INS: Electron Density SCF,0.11951322,1551.1097,69.416489,1197.6175,1280.0007,-9.0615515e-11,-0.16266218,0.16266218,8.1055695e-10,-0.32689535,-10.846539,0.32689535,10.846539,-4.6234163e-09,0.88048678,27.898779,3291.3731,1,0.56424697,1,3984.9879,3984.9879,-8.1055695e-10,0.88048678,43.525067,0.11951322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11951322 +/- 0,1551.1097 +/- 0,69.416489 +/- 0,1197.6175 +/- 0,1280.0007 +/- 0,-9.0615515e-11 +/- 0,-0.16266218 +/- 0,0.16266218 +/- 0,8.1055695e-10 +/- 0,-0.32689535 +/- 0,-10.846539 +/- 0,0.32689535 +/- 0,10.846539 +/- 0,-4.6234163e-09 +/- 0,0.88048678 +/- 0,27.898779 +/- 0,3291.3731 +/- 0,1 +/- 0,0.56424697 +/- 0,1 +/- 0,3984.9879 +/- 0,3984.9879 +/- 0,-8.1055695e-10 +/- 0,0.88048678 +/- 0,43.525067 +/- 0,0.11951322 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 6 from INS: Kinetic Energy Density SCF,full,0.13812863,1914.4216,80.897999,1350.8016,1376.9246,-0.026099266,-0.4131952,0.38709594,-0.01423116,-0.75664431,-18.737934,0.74241315,21.660787,2.9228529,2.7879701,38.455797,3299.8277,1.3248809,2.4672119,1.3210164,6014.5276,7438.3895,0.01423116,2.1459372,72.793906,0.35181215,1.3566304,0.032769081,8.1247205,0.39821957,3.9578973,2.4324903,-0.020301704,-0.020739739,0.00043803489,-0.032516337,-0.033382695,-0.44150964,0.00086635762,0.055460494,-0.38604915,0.078266979,0.39172141,0.68850721,0.026456964,0.09090531,0.01850601,104.83664,206.14122,0.032516337,0.041254959,1.1327487,0.004545854,0.013802139,0.12174409 +/- 0.016384541,1910.3592 +/- 4.0623602,80.698889 +/- 0.19910979,1348.8227 +/- 1.9789486,1375.7084 +/- 1.2162452,-0.015948414 +/- 0.010150852,-0.40282533 +/- 0.01036987,0.38687692 +/- 0.00021901745,0.0020270091 +/- 0.016258169,-0.73995296 +/- 0.016691347,-18.517179 +/- 0.22075482,0.74197997 +/- 0.00043317881,21.633057 +/- 0.027730247,3.1158775 +/- 0.19302457,2.7488366 +/- 0.03913349,38.259936 +/- 0.19586071,3299.4835 +/- 0.34425361,1.3116525 +/- 0.013228482,2.4217592 +/- 0.045452655,1.3117634 +/- 0.009253005,5962.1093 +/- 52.418318,7335.3189 +/- 103.07061,-0.0020270091 +/- 0.016258169,2.1253097 +/- 0.020627479,72.227532 +/- 0.56637434,0.34953923 +/- 0.002272927,1.3497293 +/- 0.0069010694
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 6 from INS: Kinetic Energy Density SCF,C 2: Max (node 6146) from INS: Kinetic Energy Density SCF,0.018615413,363.31188,11.481509,153.18414,96.923873,-0.026099266,-0.25053302,0.22443375,-0.01423116,-0.42974896,-7.8913949,0.4155178,10.814248,2.9228529,1.9074833,10.557018,8.4545934,0.32488094,1.9029649,0.32101645,2029.5397,3453.4016,0.01423116,1.2654504,29.268839,0.23229894,0.35663037,0.032769081,8.1247205,0.39821957,3.9578973,2.4324903,-0.020301704,-0.020739739,0.00043803489,-0.032516337,-0.033382695,-0.44150964,0.00086635762,0.055460494,-0.38604915,0.078266979,0.39172141,0.68850721,0.026456964,0.09090531,0.01850601,104.83664,206.14122,0.032516337,0.041254959,1.1327487,0.004545854,0.013802139,0.0022308724 +/- 0.016384541,359.24952 +/- 4.0623602,11.2824 +/- 0.19910979,151.20519 +/- 1.9789486,95.707628 +/- 1.2162452,-0.015948414 +/- 0.010150852,-0.24016315 +/- 0.01036987,0.22421474 +/- 0.00021901745,0.0020270083 +/- 0.016258169,-0.41305762 +/- 0.016691347,-7.6706401 +/- 0.22075482,0.41508462 +/- 0.00043317881,10.786518 +/- 0.027730247,3.1158775 +/- 0.19302457,1.8683498 +/- 0.03913349,10.361157 +/- 0.19586071,8.1103398 +/- 0.34425361,0.31165246 +/- 0.013228482,1.8575123 +/- 0.045452655,0.31176344 +/- 0.009253005,1977.1214 +/- 52.418318,3350.331 +/- 103.07061,-0.0020270083 +/- 0.016258169,1.2448229 +/- 0.020627479,28.702465 +/- 0.56637434,0.23002601 +/- 0.002272927,0.3497293 +/- 0.0069010694
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 6 from INS: Kinetic Energy Density SCF,H 4: Max (node 5452) from INS: Kinetic Energy Density SCF,0.11951322,1551.1097,69.416489,1197.6175,1280.0007,-9.0615515e-11,-0.16266218,0.16266218,8.1055695e-10,-0.32689535,-10.846539,0.32689535,10.846539,-4.6234163e-09,0.88048678,27.898779,3291.3731,1,0.56424697,1,3984.9879,3984.9879,-8.1055695e-10,0.88048678,43.525067,0.11951322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11951322 +/- 0,1551.1097 +/- 0,69.416489 +/- 0,1197.6175 +/- 0,1280.0007 +/- 0,-9.0615515e-11 +/- 0,-0.16266218 +/- 0,0.16266218 +/- 0,8.1055695e-10 +/- 0,-0.32689535 +/- 0,-10.846539 +/- 0,0.32689535 +/- 0,10.846539 +/- 0,-4.6234163e-09 +/- 0,0.88048678 +/- 0,27.898779 +/- 0,3291.3731 +/- 0,1 +/- 0,0.56424697 +/- 0,1 +/- 0,3984.9879 +/- 0,3984.9879 +/- 0,-8.1055695e-10 +/- 0,0.88048678 +/- 0,43.525067 +/- 0,0.11951322 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-xPlus_SP,Bond 6 from INS: Volume,full,0.13361481,1918.9924,80.99471,1353.2378,1376.9246,-0.020959076,-0.40805501,0.38709594,-0.0097145977,-0.75212775,-19.024858,0.74241315,21.660787,2.6359288,2.7936895,38.347385,3299.6355,1.3174957,2.4735595,1.3212174,6014.9191,7423.9437,0.0097145977,2.1512547,72.523472,0.32632193,1.3533352,0.034130613,7.7159875,0.39402102,3.6569702,2.5626359,-0.020844949,-0.020887909,4.2959451e-05,-0.033877256,-0.033978249,-0.47441111,0.00010099364,0.020161623,-0.45424948,0.077174903,0.3522057,0.67753049,0.026035166,0.090631936,0.018550919,102.31402,202.03013,0.033877256,0.040073064,1.0682341,0.0009214054,0.013016051,0.11654951 +/- 0.017065307,1915.1344 +/- 3.8579937,80.797699 +/- 0.19701051,1351.4093 +/- 1.8284851,1375.6433 +/- 1.281318,-0.010536601 +/- 0.010422475,-0.39761106 +/- 0.010443954,0.38707446 +/- 2.1479726e-05,0.0072240302 +/- 0.016938628,-0.73513862 +/- 0.016989125,-18.787653 +/- 0.23720555,0.74236265 +/- 5.0496822e-05,21.650706 +/- 0.010080811,2.8630535 +/- 0.22712474,2.755102 +/- 0.038587451,38.171282 +/- 0.17610285,3299.2968 +/- 0.33876525,1.3044781 +/- 0.013017583,2.4282435 +/- 0.045315968,1.3119419 +/- 0.0092754596,5963.7621 +/- 51.157012,7322.9286 +/- 101.01507,-0.0072240302 +/- 0.016938628,2.1312182 +/- 0.020036532,71.989355 +/- 0.53411704,0.32586123 +/- 0.0004607027,1.3468272 +/- 0.0065080256
