Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction
cis-1-3-butadiene_EEF00125-y_SP,C 1,C 1,0.014816758,1132.5071,36.410324,596.77249,1566.5356,-6.5219297e-10,-0.7507752,0.7507752,-1.0533086e-09,-1.3226974,-31.134709,1.3226974,31.134709,8.9341938e-09,5.9851832,36.325416,26.257872,1,5.9934908,1,6348.7075,10833.151,1.0533086e-09,3.9851832,93.535806,0.014816756,1
cis-1-3-butadiene_EEF00125-y_SP,C 2,C 2,-0.024090855,1108.5382,31.505846,583.15939,513.86769,3.8976111e-10,-0.72182417,0.72182417,-1.0105694e-09,-1.255205,-26.536432,1.255205,26.536432,-2.34445e-09,6.0240909,33.09886,24.560702,1,6.0181709,1,6310.7401,10491.588,1.0105694e-09,4.0240909,85.203645,-0.024090856,1
cis-1-3-butadiene_EEF00125-y_SP,C 3,C 3,-0.0020397912,1129.3844,31.283777,593.54342,700.42905,6.3151173e-10,-0.76132692,0.76132692,1.1902159e-09,-1.3192998,-26.407786,1.3192998,26.407786,4.4814897e-08,6.0020398,30.295325,25.949207,1,6.011454,1,6350.5423,10736.897,-1.1902159e-09,4.0020398,82.394229,-0.002039788,1
cis-1-3-butadiene_EEF00125-y_SP,C 4,C 4,-0.09325062,1145.4845,35.722248,579.43984,1595.7529,-1.0587868e-09,-0.6736638,0.6736638,-9.8518171e-10,-1.1969398,-30.010497,1.1969398,30.010497,-1.0606868e-08,6.0932506,42.03859,23.521691,1,6.012362,1,6235.6813,10184.49,9.8518171e-10,4.0932506,102.60381,-0.093250623,1
cis-1-3-butadiene_EEF00125-y_SP,H 1,H 1,-0.019053217,1367.714,54.612917,1069.8776,1338.146,4.4627058e-10,-0.16713182,0.16713182,8.9308116e-10,-0.34759836,-11.450123,0.34759836,11.450123,-2.813556e-08,1.0190532,33.196779,3141.1914,1,0.61323724,1,3623.4952,3623.4952,-8.9308116e-10,1.0190532,54.169016,-0.019053218,1
cis-1-3-butadiene_EEF00125-y_SP,H 2,H 2,0.051242625,1747.3326,74.807322,1152.5603,2456.2802,8.2785334e-11,-0.16523685,0.16523685,-1.5668888e-10,-0.34055164,-11.280369,0.34055164,11.280369,1.0001713e-08,0.94875738,26.247422,3222.9373,1,0.58677204,1,3800.3069,3800.3069,1.5668888e-10,0.94875738,48.169313,0.051242626,1
cis-1-3-butadiene_EEF00125-y_SP,H 3,H 3,0.030258417,1435.9171,65.039788,1101.1495,1379.5974,-3.0518521e-10,-0.1660063,0.1660063,-7.5214146e-10,-0.3372372,-10.568309,0.3372372,10.568309,-1.2169778e-08,0.96974158,30.396115,3179.3363,1,0.60068781,1,3752.4163,3752.4163,7.5214146e-10,0.96974158,49.528289,0.030258417,1
cis-1-3-butadiene_EEF00125-y_SP,H 4,H 4,0.081266,1518.8918,71.209241,1164.1972,1293.9949,9.818768e-11,-0.16429236,0.16429236,-4.5409809e-10,-0.33311988,-10.928272,0.33311988,10.928272,2.7239366e-10,0.918734,28.672645,3247.2766,1,0.57901535,1,3885.3534,3885.3534,4.5409809e-10,0.918734,46.052935,0.081266,1
cis-1-3-butadiene_EEF00125-y_SP,H 5,H 5,0.14171751,1559.2155,54.270584,1231.3019,1284.4416,1.6828228e-10,-0.16086405,0.16086405,-6.3175065e-10,-0.32575464,-11.402533,0.32575464,11.402533,-2.2132312e-08,0.85828249,29.034314,3330.1603,1,0.55145489,1,4041.7473,4041.7473,6.3175065e-10,0.85828249,42.793855,0.14171751,1
cis-1-3-butadiene_EEF00125-y_SP,H 6,H 6,0.055315512,1692.772,73.229845,1150.0075,2614.786,-4.8483217e-11,-0.16505752,0.16505752,2.3383961e-11,-0.33751772,-10.726115,0.33751772,10.726115,-1.649596e-08,0.94468449,27.458768,3219.7103,1,0.58765872,1,3815.7576,3815.7576,-2.3383961e-11,0.94468449,47.399904,0.055315513,1
