Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6104) from INS: Electron Density SCF,C 1,-0.050825965,436.81192,13.22786,258.78683,584.67647,0.06986066,-0.25710855,0.32696921,0.056221912,-0.46850837,-11.762367,0.52473028,10.259779,-1.502588,2.2358992,13.601178,9.2471101,0.35216525,2.2525634,0.36417887,2347.6817,3983.2923,-0.056221912,1.5075414,32.561176,-0.14721181,0.34811456,0.043637955,8.198769,0.42903726,3.5873577,18.533796,-0.02625302,-0.026257664,4.6434197e-06,-0.043302549,-0.043325145,-0.74887409,2.2595488e-05,0.0075647444,-0.74130934,0.092183468,0.48556573,0.81857582,0.031174491,0.10942106,0.022636904,119.07177,240.23526,0.043302549,0.04690966,1.3760517,-0.0039144875,0.014711497,-0.072644942 +/- 0.021818978,432.71254 +/- 4.0993845,13.013342 +/- 0.21451863,256.99315 +/- 1.7936789,575.40957 +/- 9.2668978,0.08298717 +/- 0.01312651,-0.24397972 +/- 0.013128832,0.32696689 +/- 2.3217099e-06,0.077873187 +/- 0.021651275,-0.44684579 +/- 0.021662572,-11.38793 +/- 0.37443704,0.52471898 +/- 1.1297744e-05,10.255997 +/- 0.0037823722,-1.1319333 +/- 0.37065467,2.1898074 +/- 0.046091734,13.358395 +/- 0.24278287,8.8378222 +/- 0.40928791,0.336578 +/- 0.015587246,2.1978528 +/- 0.054710528,0.35286041 +/- 0.011318452,2288.1458 +/- 59.535883,3863.1746 +/- 120.11763,-0.077873187 +/- 0.021651275,1.4840866 +/- 0.02345483,31.87315 +/- 0.68802585,-0.14525457 +/- 0.0019572438,0.34075881 +/- 0.0073557484
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6104) from INS: Kinetic Energy Density SCF,C 1,-0.046436812,441.63194,13.361044,260.49802,588.72839,0.068121883,-0.25884733,0.32696921,0.051874489,-0.47285579,-11.96439,0.52473028,10.259779,-1.7046105,2.248408,13.621025,9.3055995,0.35439275,2.2677042,0.3669952,2364.5818,4013.1368,-0.051874489,1.5144176,32.622581,-0.15578171,0.34877105,0.042729841,8.1189613,0.45678609,3.6384007,16.299938,-0.025615116,-0.025615116,0,-0.042404973,-0.042404973,-0.76003697,0,0.00070145715,-0.75933552,0.088824908,0.45106202,0.8171531,0.031120309,0.10579692,0.021925792,118.27001,239.85107,0.042404973,0.044973325,1.2915111,-0.0059789182,0.013807665,-0.067801733 +/- 0.021364921,437.57246 +/- 4.0594806,13.132651 +/- 0.22839305,258.67882 +/- 1.8192003,580.57842 +/- 8.1499691,0.080929441 +/- 0.012807558,-0.24603977 +/- 0.012807558,0.32696921 +/- 0,0.073076975 +/- 0.021202486,-0.4516533 +/- 0.021202486,-11.584371 +/- 0.38001849,0.52473028 +/- 0,10.259429 +/- 0.00035072857,-1.3249428 +/- 0.37966776,2.2039955 +/- 0.044412454,13.395494 +/- 0.22553101,8.8970229 +/- 0.40857655,0.33883259 +/- 0.015560154,2.2148058 +/- 0.052898458,0.3560323 +/- 0.010962896,2305.4468 +/- 59.135004,3893.2112 +/- 119.92554,-0.073076975 +/- 0.021202486,1.4919309 +/- 0.022486663,31.976826 +/- 0.64575554,-0.15279225 +/- 0.0029894591,0.34186722 +/- 0.0069038325
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6104) from INS: Volume,C 1,-0.017210524,433.65574,13.293173,257.86582,581.97556,0.046993691,-0.27997552,0.32696921,0.022787618,-0.50194266,-12.066734,0.52473028,10.259779,-1.8069543,2.2756386,13.891918,9.9965321,0.3807061,2.3029717,0.37640468,2413.7182,4148.6434,-0.022787618,1.5228292,33.40036,-0.13312042,0.35708636,0.046080258,8.9571106,0.48171349,3.8032074,15.043858,-0.027526782,-0.027596807,7.0024477e-05,-0.045736803,-0.045828757,-0.84170347,9.1953697e-05,0.015719475,-0.82598399,0.093000787,0.47153604,0.85937752,0.032728376,0.11140338,0.023180174,123.56496,251.63394,0.045736803,0.046640439,1.3421923,-0.0069037717,0.014349503,-0.040250653 +/- 0.023040129,429.17719 +/- 4.4785553,13.052316 +/- 0.24085674,255.96422 +/- 1.9016037,574.45363 +/- 7.5219291,0.060757083 +/- 0.013763391,-0.26617711 +/- 0.013798403,0.3269342 +/- 3.5012239e-05,0.04565602 +/- 0.022868402,-0.47902828 +/- 0.022914379,-11.645882 +/- 0.42085173,0.5246843 +/- 4.5976848e-05,10.25192 +/- 0.0078597374,-1.3939623 +/- 0.412992,2.2291382 +/- 0.046500393,13.65615 +/- 0.23576802,9.5668434 +/- 0.42968876,0.36434191 +/- 0.016364188,2.24727 +/- 0.05570169,0.36481459 +/- 0.011590087,2351.9357 +/- 61.78248,4022.8264 +/- 125.81697,-0.04565602 +/- 0.022868402,1.499509 +/- 0.023320219,32.729264 +/- 0.67109615,-0.12966854 +/- 0.0034518858,0.34991161 +/- 0.0071747513
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6122) from INS: Volume,C 1,0.019848889,367.6407,10.976388,177.57144,625.12043,-0.019452737,-0.22094658,0.20149385,-0.015421396,-0.39051584,-9.3610455,0.37509445,9.4355796,0.074534112,1.7730502,10.329406,7.6382513,0.29089376,1.7715013,0.29881651,1876.5515,3186.0667,0.015421396,1.1754172,28.024577,0.024629992,0.29961336,0.028629022,8.1447813,0.48855398,4.1309387,17.410801,-0.016580249,-0.01688027,0.00030002108,-0.028355876,-0.028960195,-0.53229579,0.00060431946,0.049459226,-0.48283656,0.081980667,0.46741348,0.54981696,0.020939128,0.093909445,0.018434948,98.890739,184.32766,0.028355876,0.045110771,1.2414912,-0.0023432814,0.013272898,0.0055343776 +/- 0.014314511,363.56831 +/- 4.0723907,10.732111 +/- 0.24427699,175.50597 +/- 2.0654694,616.41503 +/- 8.7054006,-0.011162613 +/- 0.0082901246,-0.21250645 +/- 0.0084401351,0.20134384 +/- 0.00015001054,-0.0012434583 +/- 0.014177938,-0.37603575 +/- 0.014480098,-9.0948976 +/- 0.2661479,0.37479229 +/- 0.00030215973,9.41085 +/- 0.024729613,0.31595239 +/- 0.24141828,1.7320598 +/- 0.040990334,10.095699 +/- 0.23370674,7.3633428 +/- 0.27490848,0.2804242 +/- 0.010469564,1.7245466 +/- 0.046954722,0.28959904 +/- 0.0092174742,1827.1062 +/- 49.44537,3093.9029 +/- 92.16383,0.0012434583 +/- 0.014177938,1.1528618 +/- 0.022555386,27.403832 +/- 0.62074559,0.025801633 +/- 0.0011716407,0.29297691 +/- 0.0066364488
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6126) from INS: Electron Density SCF,C 1,0.043862975,365.45684,11.025029,177.06628,621.88859,-0.034850636,-0.23634448,0.20149385,-0.039294126,-0.41438857,-9.7012992,0.37509445,9.4355796,-0.26571957,1.8062781,10.512811,8.1221566,0.30932272,1.8132833,0.30835685,1926.9519,3304.743,0.039294126,1.1895644,28.576687,0.026817976,0.30551602,0.031145642,8.2139454,0.45103734,4.3053837,17.775186,-0.018365219,-0.018614301,0.00024908133,-0.03085672,-0.031332075,-0.52721996,0.0004753554,0.044192451,-0.48302751,0.085852706,0.51240943,0.5870154,0.022355787,0.098506203,0.019499725,101.3418,190.4359,0.03085672,0.046853256,1.340895,0.00016109039,0.014335633,0.028290154 +/- 0.015572821,361.34987 +/- 4.1069727,10.79951 +/- 0.22551867,174.91359 +/- 2.1526919,613.00099 +/- 8.8875928,-0.025668026 +/- 0.0091826097,-0.22703733 +/- 0.0093071503,0.20136931 +/- 0.00012454066,-0.023865766 +/- 0.01542836,-0.39872254 +/- 0.015666038,-9.4376892 +/- 0.26360998,0.37485677 +/- 0.0002376777,9.4134834 +/- 0.022096226,-0.024205817 +/- 0.24151376,1.7633518 +/- 0.042926353,10.256606 +/- 0.25620472,7.8286488 +/- 0.2935077,0.29814483 +/- 0.011177894,1.7640302 +/- 0.049253102,0.29860699 +/- 0.0097498624,1876.281 +/- 50.670902,3209.525 +/- 95.217948,0.023865766 +/- 0.01542836,1.1661378 +/- 0.023426628,27.906239 +/- 0.67044748,0.026737431 +/- 8.0545194e-05,0.2983482 +/- 0.0071678164
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6126) from INS: Kinetic Energy Density SCF,C 1,0.041114216,361.29676,10.929077,175.59332,617.67698,-0.033958605,-0.23545245,0.20149385,-0.03657658,-0.41167103,-9.5497535,0.37509445,9.4355796,-0.11417386,1.7963875,10.497097,8.0950275,0.30828954,1.8015496,0.30625028,1915.1633,3285.5697,0.03657658,1.1838869,28.531193,0.033790353,0.30502964,0.032690926,7.9345635,0.43537683,4.1402061,18.523932,-0.019326428,-0.019595682,0.00026925381,-0.032397574,-0.032883909,-0.55196885,0.00048633466,0.041764442,-0.51020441,0.08610126,0.51216568,0.61513996,0.023426878,0.099336885,0.019798698,103.11082,195.86963,0.032397574,0.046503865,1.3416827,-3.6930139e-05,0.014344055,0.024768753 +/- 0.016345463,357.32948 +/- 3.9672817,10.711389 +/- 0.21768842,173.52322 +/- 2.070103,608.41501 +/- 9.2619662,-0.024295391 +/- 0.009663214,-0.22565461 +/- 0.0097978409,0.20135922 +/- 0.00013462691,-0.020377793 +/- 0.016198787,-0.39522907 +/- 0.016441954,-9.2737691 +/- 0.27598442,0.37485128 +/- 0.00024316733,9.4146974 +/- 0.020882221,0.14092834 +/- 0.2551022,1.7533368 +/- 0.04305063,10.241015 +/- 0.25608284,7.7874575 +/- 0.30756998,0.29657611 +/- 0.011713439,1.7518812 +/- 0.049668443,0.29635093 +/- 0.0098993489,1863.6079 +/- 51.555412,3187.6349 +/- 97.934816,0.020377793 +/- 0.016198787,1.160635 +/- 0.023251932,27.860352 +/- 0.67084137,0.033808818 +/- 1.846507e-05,0.29785761 +/- 0.0071720275
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6148) from INS: Volume,C 1,0.012178393,331.21065,12.140763,161.33523,359.43962,-0.027540955,-0.2498531,0.22231215,-0.0073662232,-0.43023887,-9.7069294,0.42287264,11.43935,1.7324202,1.9364945,12.104091,8.6230889,0.32840014,1.9190179,0.32477881,2058.4378,3498.4408,0.0073662232,1.2869369,32.110868,0.12330719,0.34330028,0.034631271,7.7004736,0.42600837,3.4191669,15.262954,-0.020574915,-0.020890337,0.00031542215,-0.034352073,-0.034857299,-0.63781625,0.00050522576,0.02115301,-0.61666324,0.078429134,0.40214788,0.66802551,0.025440961,0.092362837,0.018843401,103.58172,204.15361,0.034352073,0.040742332,1.1458695,-0.0049255526,0.012250597,-0.0051372425 +/- 0.017315636,327.36042 +/- 3.8502368,11.927759 +/- 0.21300418,159.62565 +/- 1.7095834,351.80815 +/- 7.6314771,-0.017253497 +/- 0.010287458,-0.23940793 +/- 0.010445169,0.22215443 +/- 0.00015771107,0.0098098136 +/- 0.017176037,-0.41281022 +/- 0.01742865,-9.3880213 +/- 0.31890812,0.42262003 +/- 0.00025261288,11.428773 +/- 0.010576505,2.0407519 +/- 0.30833162,1.8972799 +/- 0.039214567,11.903017 +/- 0.20107394,8.2890762 +/- 0.33401275,0.31567966 +/- 0.012720481,1.8728365 +/- 0.046181418,0.31535711 +/- 0.0094217005,2006.6469 +/- 51.79086,3396.364 +/- 102.07681,-0.0098098136 +/- 0.017176037,1.2665657 +/- 0.020371166,31.537933 +/- 0.57293473,0.12576996 +/- 0.0024627763,0.33717498 +/- 0.0061252985
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6150) from INS: Electron Density SCF,C 1,0.021779747,330.23833,12.157435,160.91938,359.97055,-0.035010025,-0.25732217,0.22231215,-0.016927787,-0.43980043,-9.671042,0.42287264,11.43935,1.7683076,1.943006,12.211427,8.8886057,0.33851203,1.9276442,0.32746428,2074.0738,3545.1157,0.016927787,1.2880774,32.397943,0.13521059,0.34636942,0.031604142,8.2209335,0.44731474,4.0015875,17.224652,-0.018915473,-0.019946395,0.0010309224,-0.031325949,-0.033126055,-0.58305504,0.0018001058,0.069340416,-0.51371462,0.081049189,0.44911104,0.65460233,0.024929755,0.093615644,0.018775555,105.39743,204.59076,0.031325949,0.043498079,1.2424721,-0.0013488831,0.013283384,0.0059776762 +/- 0.015802071,326.12786 +/- 4.1104668,11.933778 +/- 0.22365737,158.91859 +/- 2.0007937,351.35823 +/- 8.6123258,-0.025552289 +/- 0.0094577364,-0.24734897 +/- 0.0099731976,0.22179668 +/- 0.0005154612,-0.0012648127 +/- 0.015662974,-0.4232374 +/- 0.016563027,-9.3795145 +/- 0.29152752,0.42197259 +/- 0.00090005291,11.404679 +/- 0.034670208,2.0251649 +/- 0.25685731,1.9024814 +/- 0.040524595,11.986871 +/- 0.22455552,8.5613045 +/- 0.32730116,0.32604715 +/- 0.012464878,1.8808363 +/- 0.046807822,0.31807651 +/- 0.0093877775,2021.3751 +/- 52.698713,3442.8203 +/- 102.29538,0.0012648127 +/- 0.015662974,1.2663283 +/- 0.021749039,31.776707 +/- 0.62123603,0.13588503 +/- 0.00067444154,0.33972773 +/- 0.0066416922
cis-1-3-butadiene_EEF00125-y_SP,C 1: Max (node 6150) from INS: Kinetic Energy Density SCF,C 1,0.020139354,329.57839,12.120203,160.68114,360.13024,-0.034163278,-0.25647542,0.22231215,-0.01529791,-0.43817055,-9.6205652,0.42287264,11.43935,1.8187844,1.9403878,12.207293,8.8572453,0.33731771,1.924237,0.32675452,2068.9624,3534.4445,0.01529791,1.2868787,32.382032,0.13680811,0.34619931,0.035848537,7.6769409,0.4166639,3.6557413,16.751846,-0.021590513,-0.022174308,0.00058379559,-0.03555742,-0.036615945,-0.64061175,0.0010585257,0.045712977,-0.59489877,0.082038691,0.45164631,0.71006202,0.027041872,0.096168825,0.019647871,107.05961,213.00264,0.03555742,0.042742948,1.2428807,-0.0023121713,0.013287753,0.0022150849 +/- 0.017924269,325.73992 +/- 3.8384704,11.911871 +/- 0.20833195,158.85327 +/- 1.8278707,351.75432 +/- 8.3759228,-0.023368022 +/- 0.010795256,-0.24538827 +/- 0.011087154,0.22202025 +/- 0.0002918978,0.0024808 +/- 0.01777871,-0.41986258 +/- 0.018307973,-9.3002594 +/- 0.32030588,0.42234338 +/- 0.00052926287,11.416493 +/- 0.022856488,2.1162338 +/- 0.29744939,1.8993684 +/- 0.041019346,11.98147 +/- 0.22582316,8.5022143 +/- 0.35503101,0.32379677 +/- 0.013520936,1.8761525 +/- 0.048084413,0.31693059 +/- 0.0098239357,2015.4326 +/- 53.529807,3427.9432 +/- 106.50132,-0.0024808 +/- 0.01777871,1.2655073 +/- 0.021371474,31.760592 +/- 0.62144036,0.1379642 +/- 0.0011560856,0.33955544 +/- 0.0066438767
cis-1-3-butadiene_EEF00125-y_SP,C 1: Min (node 2120) from INS: Electron Density SCF,C 1,0.19102613,292.90124,11.310849,170.11104,482.56307,-0.13499726,-0.31320262,0.17820536,-0.18557607,-0.5247635,-9.7749687,0.33918743,10.210887,0.43591781,2.0159573,13.55298,10.547987,0.40170762,2.0695919,0.36783057,2204.6839,3890.73,0.18557607,1.2802962,34.841247,0.21898875,0.37249101,0.041633892,10.173587,0.57824762,4.7404735,23.286311,-0.02471905,-0.024928214,0.00020916417,-0.041259381,-0.041720132,-0.70953289,0.00046075037,0.060650117,-0.64888277,0.11002309,0.63196353,0.79467514,0.030264262,0.1267734,0.025276163,133.9413,253.91533,0.041259381,0.059470762,1.7153435,1.0295497e-05,0.018338897,0.17020918 +/- 0.020816946,287.81444 +/- 5.0867933,11.021725 +/- 0.28912381,167.74081 +/- 2.3702367,470.91992 +/- 11.643156,-0.12263774 +/- 0.012359525,-0.30073851 +/- 0.012464107,0.17810077 +/- 0.00010458209,-0.16494638 +/- 0.020629691,-0.50390344 +/- 0.020860066,-9.4202023 +/- 0.35476644,0.33895706 +/- 0.00023037518,10.180561 +/- 0.030325058,0.7603592 +/- 0.32444139,1.9609457 +/- 0.055011544,13.236999 +/- 0.31598176,10.15065 +/- 0.39733757,0.38657549 +/- 0.015132131,2.0062052 +/- 0.063386702,0.35519249 +/- 0.012638082,2137.7132 +/- 66.970649,3763.7724 +/- 126.95766,0.16494638 +/- 0.020629691,1.2505608 +/- 0.029735381,33.983575 +/- 0.85767177,0.21898361 +/- 5.1477485e-06,0.36332156 +/- 0.0091694487
