Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Electron Density SCF,full,-0.0073868103,1671.7756,64.723263,1226.5149,1662.1543,-0.040825316,-0.36667666,0.32585135,-0.03794096,-0.69013128,-19.715176,0.65219032,19.732487,0.017310108,2.6979634,44.476129,3148.0261,1.290571,2.2664717,1.2817628,5382.644,6488.5466,0.03794096,2.1344379,83.096261,-0.0063745599,1.2819315,0.019714635,5.9337007,0.36156942,3.1397508,12.079968,-0.013513588,-0.013589627,7.6039084e-05,-0.021286321,-0.021382617,-0.23172437,9.6295745e-05,0.09249123,-0.13923314,0.081411947,0.68242614,0.46405346,0.019728746,0.087821349,0.01685443,88.795331,153.66655,0.021286321,0.047703086,1.5900957,0.011572649,0.015497433,-0.017244128 +/- 0.0098573176,1668.8088 +/- 2.9668504,64.542479 +/- 0.18078471,1224.945 +/- 1.5698754,1656.1143 +/- 6.0399841,-0.034068522 +/- 0.0067567941,-0.35988185 +/- 0.0067948136,0.32581333 +/- 3.8019542e-05,-0.027297799 +/- 0.010643161,-0.67943997 +/- 0.010691309,-19.599314 +/- 0.11586218,0.65214217 +/- 4.8147872e-05,19.686241 +/- 0.046245615,0.086926676 +/- 0.069616568,2.6572575 +/- 0.040705974,44.134916 +/- 0.34121307,3147.7941 +/- 0.23202673,1.2807066 +/- 0.0098643729,2.222561 +/- 0.043910674,1.2733356 +/- 0.0084272152,5338.2463 +/- 44.397666,6411.7133 +/- 76.833276,0.027297799 +/- 0.010643161,2.1105864 +/- 0.023851543,82.301213 +/- 0.79504784,-0.012160884 +/- 0.0057863246,1.2741828 +/- 0.0077487164
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Electron Density SCF,C 4: Max (node 6118) from INS: Electron Density SCF,0.011666406,304.06164,10.110346,156.6373,324.00836,-0.040825316,-0.19954484,0.15871953,-0.037940961,-0.34253292,-8.265053,0.30459196,8.2823631,0.017310136,1.6789102,11.279349,6.8347211,0.290571,1.6532345,0.28176277,1759.1488,2865.0514,0.037940961,1.1153847,28.927245,0.012678658,0.28193148,0.019714635,5.9337007,0.36156942,3.1397508,12.079968,-0.013513588,-0.013589627,7.6039084e-05,-0.021286321,-0.021382617,-0.23172437,9.6295745e-05,0.09249123,-0.13923314,0.081411947,0.68242614,0.46405346,0.019728746,0.087821349,0.01685443,88.795331,153.66655,0.021286321,0.047703086,1.5900957,0.011572649,0.015497433,0.0018090889 +/- 0.0098573176,301.09479 +/- 2.9668504,9.9295615 +/- 0.18078471,155.06743 +/- 1.5698754,317.96837 +/- 6.0399841,-0.034068522 +/- 0.0067567941,-0.19275003 +/- 0.0067948136,0.15868151 +/- 3.8019542e-05,-0.0272978 +/- 0.010643161,-0.33184161 +/- 0.010691309,-8.1491908 +/- 0.11586218,0.30454381 +/- 4.8147872e-05,8.2361175 +/- 0.046245615,0.086926704 +/- 0.069616568,1.6382042 +/- 0.040705974,10.938136 +/- 0.34121307,6.6026944 +/- 0.23202673,0.28070662 +/- 0.0098643729,1.6093238 +/- 0.043910674,0.27333556 +/- 0.0084272152,1714.7512 +/- 44.397666,2788.2181 +/- 76.833276,0.0272978 +/- 0.010643161,1.0915331 +/- 0.023851543,28.132197 +/- 0.79504784,0.0068923334 +/- 0.0057863246,0.27418276 +/- 0.0077487164
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Electron Density SCF,H 1: Max (node 5460) from INS: Electron Density SCF,-0.019053217,1367.714,54.612917,1069.8776,1338.146,4.4627058e-10,-0.16713182,0.16713182,8.9308116e-10,-0.34759836,-11.450123,0.34759836,11.450123,-2.813556e-08,1.0190532,33.196779,3141.1914,1,0.61323724,1,3623.4952,3623.4952,-8.9308116e-10,1.0190532,54.169016,-0.019053218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019053217 +/- 0,1367.714 +/- 0,54.612917 +/- 0,1069.8776 +/- 0,1338.146 +/- 0,4.4627058e-10 +/- 0,-0.16713182 +/- 0,0.16713182 +/- 0,8.9308116e-10 +/- 0,-0.34759836 +/- 0,-11.450123 +/- 0,0.34759836 +/- 0,11.450123 +/- 0,-2.813556e-08 +/- 0,1.0190532 +/- 0,33.196779 +/- 0,3141.1914 +/- 0,1 +/- 0,0.61323724 +/- 0,1 +/- 0,3623.4952 +/- 0,3623.4952 +/- 0,-8.9308116e-10 +/- 0,1.0190532 +/- 0,54.169016 +/- 0,-0.019053218 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Kinetic Energy Density SCF,full,-0.00322586,1671.6596,64.770354,1226.5944,1662.1543,-0.044160732,-0.37001208,0.32585135,-0.042385393,-0.69457571,-19.660037,0.65219032,19.732487,0.072449274,2.7120426,44.635146,3148.1224,1.2946655,2.2814139,1.2848028,5396.2915,6511.7778,0.042385393,2.142437,83.463317,0.0010107834,1.2855089,0.018014128,7.8256565,0.43666555,3.6549809,15.114777,-0.011908464,-0.012442308,0.0005338444,-0.019554989,-0.020340615,-0.29957905,0.00078562563,0.099638612,-0.19994044,0.081129102,0.61695667,0.43962688,0.018690276,0.087439034,0.016523872,90.780454,155.72958,0.019554989,0.048081358,1.4954718,0.0063221395,0.014575207,-0.012232924 +/- 0.009007064,1667.7468 +/- 3.9128282,64.552021 +/- 0.21833277,1224.7669 +/- 1.8274905,1654.5969 +/- 7.5573884,-0.0382065 +/- 0.0059542319,-0.36379093 +/- 0.0062211541,0.32558443 +/- 0.0002669222,-0.032607899 +/- 0.0097774947,-0.68440541 +/- 0.010170307,-19.510248 +/- 0.14978952,0.65179751 +/- 0.00039281282,19.682667 +/- 0.049819306,0.17241949 +/- 0.099970218,2.671478 +/- 0.040564551,44.326667 +/- 0.30847834,3147.9026 +/- 0.21981344,1.2853204 +/- 0.0093451379,2.2376944 +/- 0.043719517,1.2765408 +/- 0.0082619358,5350.9013 +/- 45.390227,6433.913 +/- 77.864788,0.032607899 +/- 0.0097774947,2.1183963 +/- 0.024040679,82.715581 +/- 0.7477359,-0.0021502863 +/- 0.0031610698,1.2782213 +/- 0.0072876034
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Kinetic Energy Density SCF,C 4: Max (node 6124) from INS: Kinetic Energy Density SCF,0.015827357,303.94565,10.157437,156.71679,324.00836,-0.044160732,-0.20288026,0.15871953,-0.042385394,-0.34697736,-8.2099138,0.30459196,8.2823631,0.072449303,1.6929894,11.438366,6.9310311,0.29466551,1.6681767,0.28480278,1772.7964,2888.2827,0.042385394,1.1233838,29.294301,0.020064001,0.28550889,0.018014128,7.8256565,0.43666555,3.6549809,15.114777,-0.011908464,-0.012442308,0.0005338444,-0.019554989,-0.020340615,-0.29957905,0.00078562563,0.099638612,-0.19994044,0.081129102,0.61695667,0.43962688,0.018690276,0.087439034,0.016523872,90.780454,155.72958,0.019554989,0.048081358,1.4954718,0.0063221395,0.014575207,0.0068202928 +/- 0.009007064,300.03282 +/- 3.9128282,9.9391043 +/- 0.21833277,154.8893 +/- 1.8274905,316.45097 +/- 7.5573884,-0.0382065 +/- 0.0059542319,-0.1966591 +/- 0.0062211541,0.1584526 +/- 0.0002669222,-0.0326079 +/- 0.0097774947,-0.33680705 +/- 0.010170307,-8.0601243 +/- 0.14978952,0.30419915 +/- 0.00039281282,8.2325438 +/- 0.049819306,0.17241952 +/- 0.099970218,1.6524248 +/- 0.040564551,11.129888 +/- 0.30847834,6.7112176 +/- 0.21981344,0.28532038 +/- 0.0093451379,1.6244572 +/- 0.043719517,0.27654085 +/- 0.0082619358,1727.4061 +/- 45.390227,2810.4179 +/- 77.864788,0.0326079 +/- 0.0097774947,1.0993431 +/- 0.024040679,28.546565 +/- 0.7477359,0.016902932 +/- 0.0031610698,0.27822129 +/- 0.0072876034
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Kinetic Energy Density SCF,H 1: Max (node 5460) from INS: Kinetic Energy Density SCF,-0.019053217,1367.714,54.612917,1069.8776,1338.146,4.4627058e-10,-0.16713182,0.16713182,8.9308116e-10,-0.34759836,-11.450123,0.34759836,11.450123,-2.813556e-08,1.0190532,33.196779,3141.1914,1,0.61323724,1,3623.4952,3623.4952,-8.9308116e-10,1.0190532,54.169016,-0.019053218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019053217 +/- 0,1367.714 +/- 0,54.612917 +/- 0,1069.8776 +/- 0,1338.146 +/- 0,4.4627058e-10 +/- 0,-0.16713182 +/- 0,0.16713182 +/- 0,8.9308116e-10 +/- 0,-0.34759836 +/- 0,-11.450123 +/- 0,0.34759836 +/- 0,11.450123 +/- 0,-2.813556e-08 +/- 0,1.0190532 +/- 0,33.196779 +/- 0,3141.1914 +/- 0,1 +/- 0,0.61323724 +/- 0,1 +/- 0,3623.4952 +/- 0,3623.4952 +/- 0,-8.9308116e-10 +/- 0,1.0190532 +/- 0,54.169016 +/- 0,-0.019053218 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Volume,full,-0.065163426,1663.8792,64.118861,1223.7846,1661.6386,-0.0033106133,-0.32916196,0.32585135,0.023032483,-0.62915784,-18.849651,0.65219032,19.732487,0.88283577,2.5500475,43.421158,3146.9471,1.2446962,2.09787,1.2474807,5214.6912,6174.139,-0.023032483,2.0550861,80.444312,-0.013537521,1.256085,0.012913038,6.6882182,0.40118613,3.8856455,16.871872,-0.0091871598,-0.0099480385,0.00076087868,-0.014352761,-0.016172494,-0.25512561,0.0018197338,0.20323955,-0.051886064,0.079722649,0.65978167,0.35648521,0.015155594,0.083639388,0.015439281,80.115862,133.89686,0.014352761,0.048844087,1.5322431,0.009878878,0.014933588,-0.071619945 +/- 0.006456519,1660.5351 +/- 3.3441091,63.918268 +/- 0.20059306,1221.8418 +/- 1.9428228,1653.2027 +/- 8.435936,0.0012829666 +/- 0.0045935799,-0.32418794 +/- 0.0049740192,0.32547091 +/- 0.00038043934,0.030208863 +/- 0.0071763803,-0.62107159 +/- 0.0080862471,-18.722088 +/- 0.12756281,0.65128045 +/- 0.00090986688,19.630867 +/- 0.10161977,0.9087788 +/- 0.025943032,2.5101861 +/- 0.039861324,43.091267 +/- 0.32989083,3146.7688 +/- 0.1782426,1.2371184 +/- 0.0075777972,2.0560503 +/- 0.041819694,1.239761 +/- 0.0077196405,5174.6333 +/- 40.057931,6107.1905 +/- 66.948432,-0.030208863 +/- 0.0071763803,2.0306641 +/- 0.024422043,79.678191 +/- 0.76612153,-0.01847696 +/- 0.004939439,1.2486182 +/- 0.007466794
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Volume,C 4: Max (node 6118) from INS: Volume,-0.04611021,296.16521,9.5059439,153.90706,323.49264,-0.0033106137,-0.16203014,0.15871953,0.023032482,-0.28155948,-7.3995273,0.30459196,8.2823631,0.8828358,1.5309942,10.224378,5.755668,0.24469619,1.4846328,0.24748067,1591.196,2550.6438,-0.023032482,1.0360329,26.275296,0.0055156967,0.25608499,0.012913038,6.6882182,0.40118613,3.8856455,16.871872,-0.0091871598,-0.0099480385,0.00076087868,-0.014352761,-0.016172494,-0.25512561,0.0018197338,0.20323955,-0.051886064,0.079722649,0.65978167,0.35648521,0.015155594,0.083639388,0.015439281,80.115862,133.89686,0.014352761,0.048844087,1.5322431,0.009878878,0.014933588,-0.052566729 +/- 0.006456519,292.8211 +/- 3.3441091,9.3053508 +/- 0.20059306,151.96424 +/- 1.9428228,315.05671 +/- 8.435936,0.0012829662 +/- 0.0045935799,-0.15705612 +/- 0.0049740192,0.15833909 +/- 0.00038043934,0.030208863 +/- 0.0071763803,-0.27347323 +/- 0.0080862471,-7.2719645 +/- 0.12756281,0.30368209 +/- 0.00090986688,8.1807434 +/- 0.10161977,0.90877883 +/- 0.025943032,1.4911329 +/- 0.039861324,9.8944876 +/- 0.32989083,5.5774254 +/- 0.1782426,0.23711839 +/- 0.0075777972,1.4428131 +/- 0.041819694,0.23976103 +/- 0.0077196405,1551.1381 +/- 40.057931,2483.6954 +/- 66.948432,-0.030208863 +/- 0.0071763803,1.0116109 +/- 0.024422043,25.509175 +/- 0.76612153,0.00057625766 +/- 0.004939439,0.2486182 +/- 0.007466794
cis-1-3-butadiene_EEF00125-y_SP,Bond 1 from INS: Volume,H 1: Max (node 5460) from INS: Volume,-0.019053217,1367.714,54.612917,1069.8776,1338.146,4.4627058e-10,-0.16713182,0.16713182,8.9308116e-10,-0.34759836,-11.450123,0.34759836,11.450123,-2.813556e-08,1.0190532,33.196779,3141.1914,1,0.61323724,1,3623.4952,3623.4952,-8.9308116e-10,1.0190532,54.169016,-0.019053218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019053217 +/- 0,1367.714 +/- 0,54.612917 +/- 0,1069.8776 +/- 0,1338.146 +/- 0,4.4627058e-10 +/- 0,-0.16713182 +/- 0,0.16713182 +/- 0,8.9308116e-10 +/- 0,-0.34759836 +/- 0,-11.450123 +/- 0,0.34759836 +/- 0,11.450123 +/- 0,-2.813556e-08 +/- 0,1.0190532 +/- 0,33.196779 +/- 0,3141.1914 +/- 0,1 +/- 0,0.61323724 +/- 0,1 +/- 0,3623.4952 +/- 0,3623.4952 +/- 0,-8.9308116e-10 +/- 0,1.0190532 +/- 0,54.169016 +/- 0,-0.019053218 +/- 0,1 +/- 0
cis-1-3-butadiene_EEF00125-y_SP,Bond 2 from INS: Electron Density SCF,full,0.032074259,2133.4016,86.301133,1319.6063,3014.1022,-0.017078877,-0.36998065,0.35290177,-0.0087604306,-0.7051516,-20.497544,0.69639117,20.705421,0.20787712,2.7649409,38.028282,3229.9902,1.2998471,2.3704108,1.2995025,5665.1408,6844.6375,0.0087604306,2.1659359,79.107292,0.044230364,1.3015285,0.017312491,5.8524039,0.32749371,3.4105134,14.387137,-0.012519905,-0.014002522,0.001482617,-0.018930794,-0.022286767,-0.27483714,0.003355973,0.26197905,-0.012858093,0.086813532,0.79879287,0.46663834,0.019838639,0.091820652,0.017354337,89.846432,155.66031,0.018930794,0.052104857,1.7677631,0.016560584,0.017229019,0.023418014 +/- 0.0086562456,2130.4754 +/- 2.9262019,86.137387 +/- 0.16374686,1317.9011 +/- 1.7052567,3006.9086 +/- 7.1935684,-0.010818924 +/- 0.0062599525,-0.36297938 +/- 0.007001261,0.35216046 +/- 0.00074130848,0.00070496641 +/- 0.009465397,-0.69400822 +/- 0.011143384,-20.360125 +/- 0.13741857,0.69471318 +/- 0.0016779865,20.574431 +/- 0.13098952,0.21430617 +/- 0.0064290465,2.7215342 +/- 0.043406766,37.628885 +/- 0.39939643,3229.7569 +/- 0.23331917,1.2899277 +/- 0.0099193197,2.3245005 +/- 0.045910326,1.2908254 +/- 0.0086771686,5620.2176 +/- 44.923216,6766.8073 +/- 77.830157,-0.00070496641 +/- 0.009465397,2.1398834 +/- 0.026052428,78.22341 +/- 0.88388153,0.035950072 +/- 0.008280292,1.292914 +/- 0.0086145096
