Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6096) from INS: Electron Density SCF,C 1,-0.067434758,445.30588,13.721748,256.65875,664.73868,0.064155999,-0.2629293,0.3270853,0.0525534,-0.47925879,-12.099809,0.53181219,11.255264,-0.84454463,2.3986555,16.206165,9.4316761,0.37982695,2.3956648,0.38853679,2456.3037,4086.5525,-0.0525534,1.6215819,37.231509,-0.11914232,0.37991886,0.03547424,8.1617411,0.48293054,3.6745953,10.706894,-0.021763245,-0.021849053,8.5808634e-05,-0.036307675,-0.036447545,-0.64191702,0.00013986962,0.026571092,-0.61534592,0.095086489,0.57539925,0.69927818,0.028160923,0.10881362,0.021760122,116.90591,218.76988,0.036307675,0.051566246,1.5171151,-0.0022005465,0.015480991,-0.085171878 +/- 0.01773712,441.22501 +/- 4.0808705,13.480283 +/- 0.24146527,254.82145 +/- 1.8372977,659.38523 +/- 5.3534469,0.075037621 +/- 0.010881622,-0.25200477 +/- 0.010924527,0.32704239 +/- 4.2904317e-05,0.070707237 +/- 0.018153837,-0.46103502 +/- 0.018223772,-11.77885 +/- 0.32095851,0.53174226 +/- 6.9934811e-05,11.241979 +/- 0.013285546,-0.53687167 +/- 0.30767296,2.3511123 +/- 0.047543245,15.918465 +/- 0.28769962,9.0820371 +/- 0.34963909,0.36574649 +/- 0.014080461,2.341258 +/- 0.054406809,0.37765673 +/- 0.010880061,2397.8508 +/- 58.452956,3977.1675 +/- 109.38494,-0.070707237 +/- 0.018153837,1.5957988 +/- 0.025783123,36.472951 +/- 0.75855754,-0.11804205 +/- 0.0011002733,0.37217837 +/- 0.0077404953
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6096) from INS: Kinetic Energy Density SCF,C 1,-0.078521272,447.49732,13.708187,257.31521,669.55397,0.071917433,-0.25516786,0.3270853,0.063844757,-0.46796743,-12.052318,0.53181219,11.255264,-0.7970533,2.3776526,16.025113,9.182994,0.36981217,2.3713328,0.38318855,2428.3844,4029.0599,-0.063844757,1.6112755,36.75488,-0.12732116,0.37505523,0.037500345,6.8337257,0.45981578,3.3313374,10.162295,-0.023196335,-0.0232456,4.9265139e-05,-0.038354107,-0.038437772,-0.64300744,8.3664878e-05,0.014202916,-0.62880453,0.09624465,0.58337816,0.72088781,0.029031173,0.11056519,0.022290832,116.06201,219.12585,0.038354107,0.051662985,1.5556654,-0.00099844935,0.015874367,-0.097271445 +/- 0.018750173,444.08045 +/- 3.4168629,13.478279 +/- 0.22990789,255.64954 +/- 1.6656687,664.47282 +/- 5.0811477,0.083515601 +/- 0.011598168,-0.24354506 +/- 0.0116228,0.32706066 +/- 2.4632569e-05,0.083021811 +/- 0.019177054,-0.44874855 +/- 0.019218886,-11.730814 +/- 0.32150372,0.53177036 +/- 4.1832439e-05,11.248163 +/- 0.0071014582,-0.48265103 +/- 0.31440226,2.3295302 +/- 0.048122325,15.733424 +/- 0.29168908,8.8225501 +/- 0.36044391,0.35529659 +/- 0.014515587,2.3160502 +/- 0.055282593,0.37204313 +/- 0.011145416,2370.3534 +/- 58.031004,3919.4969 +/- 109.56292,-0.083021811 +/- 0.019177054,1.585444 +/- 0.025831492,35.977047 +/- 0.77783269,-0.12682194 +/- 0.00049922468,0.36711805 +/- 0.0079371834
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6104) from INS: Volume,C 1,0.0015251823,446.85958,14.063532,257.27677,656.06062,0.019074617,-0.30801068,0.3270853,-0.017691121,-0.54950331,-12.945226,0.53181219,11.255264,-1.6899615,2.5309298,17.126881,10.777151,0.43401113,2.5518426,0.42207584,2624.254,4429.6315,0.017691121,1.6867782,39.672871,-0.10194335,0.40483108,0.038912122,8.3686861,0.45666562,3.7867919,13.322453,-0.02419667,-0.024215274,1.8604554e-05,-0.039819521,-0.039847089,-0.62537318,2.7567798e-05,0.017983386,-0.60738979,0.10323543,0.65600888,0.78600181,0.031653406,0.11796845,0.023691259,127.13144,239.35764,0.039819521,0.055852914,1.7143199,0.0017244528,0.017493314,-0.017930879 +/- 0.019456061,442.67523 +/- 4.1843431,13.835199 +/- 0.22833281,255.38338 +/- 1.893396,649.3994 +/- 6.6612263,0.031172952 +/- 0.012098335,-0.29590304 +/- 0.012107637,0.32707599 +/- 9.3022772e-06,0.0022186396 +/- 0.019909761,-0.52957977 +/- 0.019923545,-12.632539 +/- 0.31268659,0.53179841 +/- 1.3783899e-05,11.246273 +/- 0.0089916931,-1.3862666 +/- 0.3036949,2.4793121 +/- 0.051617716,16.798877 +/- 0.32800444,10.38415 +/- 0.39300091,0.41818442 +/- 0.015826703,2.4928584 +/- 0.058984224,0.41023021 +/- 0.011845629,2560.6883 +/- 63.565718,4309.9527 +/- 119.67882,-0.0022186396 +/- 0.019909761,1.6588517 +/- 0.027926457,38.815711 +/- 0.85715996,-0.10280558 +/- 0.00086222639,0.39608443 +/- 0.0087466571
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6126) from INS: Electron Density SCF,C 1,0.0094500917,373.39898,11.098391,173.79413,580.40119,-0.02404445,-0.21831383,0.19426938,-0.021042182,-0.3858134,-9.3585925,0.36477121,9.3661224,0.0075298671,1.8064943,11.103146,7.5228176,0.30295452,1.7921243,0.3026574,1898.0821,3155.4354,0.021042182,1.2011795,29.667525,0.0099111118,0.30273424,0.028536147,6.3248145,0.42815561,3.3817402,15.97647,-0.017633382,-0.017713527,8.0145644e-05,-0.029263799,-0.029379039,-0.45694599,0.0001152397,0.019855733,-0.43709026,0.085453269,0.55796462,0.54739258,0.022044274,0.09637012,0.018998236,97.046891,176.49135,0.029263799,0.047456797,1.4247099,0.001775131,0.014538067,-0.0048179817 +/- 0.014268073,370.23658 +/- 3.1624072,10.884313 +/- 0.21407781,172.10326 +/- 1.6908701,572.41295 +/- 7.9882351,-0.01522776 +/- 0.0088166908,-0.20945706 +/- 0.0088567637,0.1942293 +/- 4.0072822e-05,-0.0064102822 +/- 0.0146319,-0.37112388 +/- 0.014689519,-9.1301195 +/- 0.228473,0.36471359 +/- 5.7619852e-05,9.3561945 +/- 0.0099278667,0.226075 +/- 0.21854513,1.7637677 +/- 0.042726635,10.824164 +/- 0.27898231,7.2491213 +/- 0.27369629,0.29193238 +/- 0.011022137,1.7439393 +/- 0.04818506,0.29315828 +/- 0.009499118,1849.5587 +/- 48.523445,3067.1897 +/- 88.245676,0.0064102822 +/- 0.0146319,1.1774511 +/- 0.023728399,28.95517 +/- 0.71235494,0.0090235463 +/- 0.00088756548,0.2954652 +/- 0.0072690334
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6126) from INS: Kinetic Energy Density SCF,C 1,0.020276978,371.63686,11.11559,173.27812,575.5859,-0.031381437,-0.22565081,0.19426938,-0.032070606,-0.39684182,-9.4430565,0.36477121,9.3661224,-0.076934142,1.8272389,11.265827,7.7515849,0.3121673,1.8163628,0.30791932,1925.0406,3210.7279,0.032070606,1.2114003,30.098722,0.015566658,0.30713427,0.025618765,7.094655,0.40664171,4.0707568,17.951186,-0.016017269,-0.016607795,0.00059052658,-0.026333036,-0.02747066,-0.40572179,0.0011376238,0.066805273,-0.33891652,0.086274443,0.61102649,0.53850028,0.021686169,0.095889766,0.018648868,98.104854,176.58015,0.026333036,0.048976706,1.4886461,0.0048684739,0.015190486,0.0074675958 +/- 0.012809383,368.08953 +/- 3.5473275,10.912269 +/- 0.20332086,171.24274 +/- 2.0353784,566.6103 +/- 8.975593,-0.023372803 +/- 0.0080086343,-0.21734692 +/- 0.0083038975,0.19397411 +/- 0.00029526329,-0.018904088 +/- 0.013166518,-0.38310649 +/- 0.01373533,-9.2401956 +/- 0.20286089,0.3642024 +/- 0.0005688119,9.3327197 +/- 0.033402637,0.092524115 +/- 0.16945826,1.7841017 +/- 0.043137221,10.960314 +/- 0.30551324,7.4823348 +/- 0.26925014,0.30132422 +/- 0.010843084,1.7684179 +/- 0.047944883,0.29859489 +/- 0.009324434,1875.9882 +/- 49.052427,3122.4378 +/- 88.290077,0.018904088 +/- 0.013166518,1.186912 +/- 0.024488353,29.354399 +/- 0.74432303,0.013132421 +/- 0.002434237,0.29953902 +/- 0.0075952431
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6126) from INS: Volume,C 1,-0.017433205,375.83776,11.02141,174.73075,589.07925,-0.0062449916,-0.20051437,0.19426938,0.0063318413,-0.35843937,-9.0671162,0.36477121,9.3661224,0.29900613,1.7565035,10.749123,6.9979582,0.28181769,1.7330402,0.28984505,1835.3668,3025.7969,-0.0063318413,1.1768134,28.703409,0.00087355914,0.29289618,0.020949619,7.3418833,0.46802992,3.7305877,16.289616,-0.012703302,-0.013647798,0.00094449608,-0.021590083,-0.023498731,-0.45068352,0.0019086472,0.10536883,-0.34531469,0.07938152,0.51775463,0.46624429,0.018776318,0.087640236,0.016721856,91.333041,162.82104,0.021590083,0.045937807,1.2934035,-0.00019240312,0.013198186,-0.027908014 +/- 0.01047481,372.16682 +/- 3.6709416,10.787395 +/- 0.23401496,172.86545 +/- 1.8652938,580.93444 +/- 8.1448078,0.00010665913 +/- 0.0063516508,-0.19369047 +/- 0.0068238988,0.19379713 +/- 0.00047224804,0.017126883 +/- 0.010795042,-0.34669001 +/- 0.011749365,-8.8417745 +/- 0.22534176,0.36381689 +/- 0.00095432362,9.313438 +/- 0.052684415,0.47166348 +/- 0.17265734,1.7168127 +/- 0.03969076,10.490246 +/- 0.25887731,6.764836 +/- 0.23312215,0.27242953 +/- 0.009388159,1.6892201 +/- 0.043820118,0.28148412 +/- 0.0083609282,1789.7003 +/- 45.66652,2944.3864 +/- 81.410518,-0.017126883 +/- 0.010795042,1.1538445 +/- 0.022968904,28.056707 +/- 0.64670174,0.0009697607 +/- 9.6201558e-05,0.28629708 +/- 0.0065990931
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6142) from INS: Volume,C 1,-0.022393004,306.22703,10.482407,152.82172,332.60702,-0.012829625,-0.20348575,0.19065613,0.011359279,-0.35295118,-8.4475323,0.36431046,9.8384876,1.3909554,1.7508677,11.306729,7.0563992,0.28417119,1.7158586,0.28807911,1814.8212,2982.629,-0.011359279,1.1747095,29.622299,0.062768764,0.30227274,0.027283412,6.4900969,0.38168511,3.1194783,15.722795,-0.016622954,-0.016664568,4.1613981e-05,-0.027934742,-0.027986079,-0.49900855,5.1337218e-05,0.0028580574,-0.49615049,0.074749886,0.43606252,0.54409842,0.021911614,0.085422953,0.01700555,92.662394,172.19846,0.027934742,0.040738787,1.1703692,-0.0030935886,0.011942716,-0.03603471 +/- 0.013641706,302.98198 +/- 3.2450485,10.291564 +/- 0.19084255,151.26198 +/- 1.5597392,324.74563 +/- 7.8613975,-0.0045181484 +/- 0.0083114768,-0.19515347 +/- 0.0083322838,0.19063532 +/- 2.0806991e-05,0.025326651 +/- 0.013967371,-0.33895814 +/- 0.01399304,-8.198028 +/- 0.24950427,0.3642848 +/- 2.5668609e-05,9.8370586 +/- 0.0014290287,1.6390306 +/- 0.24807524,1.7134927 +/- 0.037374943,11.088698 +/- 0.21803126,6.78435 +/- 0.27204921,0.27321538 +/- 0.010955807,1.6731472 +/- 0.042711477,0.27957634 +/- 0.0085027749,1768.49 +/- 46.331197,2896.5297 +/- 86.099232,-0.025326651 +/- 0.013967371,1.1543401 +/- 0.020369393,29.037115 +/- 0.58518461,0.064315558 +/- 0.0015467943,0.29630138 +/- 0.0059713582
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6148) from INS: Electron Density SCF,C 1,0.01968364,310.2195,10.74721,154.37636,332.60702,-0.040111548,-0.23076767,0.19065613,-0.031511218,-0.39582168,-9.0014729,0.36431046,9.8384876,0.83701472,1.8331512,11.873423,7.8770146,0.31721853,1.8129523,0.30880581,1920.0562,3196.0695,0.031511218,1.2155396,31.099545,0.070930183,0.3173469,0.030883883,6.7302091,0.39551292,3.2576943,14.968718,-0.019025426,-0.019060804,3.5377638e-05,-0.031608293,-0.031636128,-0.53653165,2.783422e-05,0.0057138281,-0.53081782,0.082597697,0.49553689,0.61342059,0.024703316,0.094470176,0.018913597,101.01525,189.60737,0.031608293,0.044770503,1.3226878,-0.0016156386,0.01349701,0.0042416983 +/- 0.015441941,306.8544 +/- 3.3651045,10.549453 +/- 0.19775646,152.74751 +/- 1.6288472,325.12267 +/- 7.484359,-0.030598834 +/- 0.0095127132,-0.22123727 +/- 0.009530402,0.19063844 +/- 1.7688819e-05,-0.015707072 +/- 0.015804147,-0.38000362 +/- 0.015818064,-8.7332071 +/- 0.26826583,0.36429655 +/- 1.391711e-05,9.8356307 +/- 0.0028569141,1.1024236 +/- 0.26540891,1.7918524 +/- 0.041298848,11.625654 +/- 0.24776844,7.5703043 +/- 0.30671029,0.30486687 +/- 0.012351658,1.7657172 +/- 0.047235088,0.29934901 +/- 0.0094567983,1869.5486 +/- 50.507625,3101.2658 +/- 94.803684,0.015707072 +/- 0.015804147,1.1931543 +/- 0.022385252,30.438202 +/- 0.66134388,0.071738002 +/- 0.00080781931,0.3105984 +/- 0.0067485048
cis-1-3-butadiene_EEF00125-z_SP,C 1: Max (node 6148) from INS: Kinetic Energy Density SCF,C 1,0.019943267,309.79019,10.743572,154.23591,332.60702,-0.040535995,-0.23119212,0.19065613,-0.031774152,-0.39608462,-8.9645002,0.36431046,9.8384876,0.87398739,1.8334095,11.891793,7.8969293,0.31802053,1.8130458,0.30889213,1921.017,3198.2696,0.031774152,1.2156253,31.144978,0.073453476,0.3178105,0.03183595,6.7695798,0.39157456,3.1073233,15.155521,-0.019568431,-0.019568431,0,-0.032564653,-0.032564653,-0.57850291,0,0.0058531627,-0.57264975,0.082318007,0.48208746,0.6239559,0.025127588,0.094599632,0.01902566,101.45147,191.45862,0.032564653,0.044266688,1.2918379,-0.0032247465,0.01318221,0.004025292 +/- 0.015917975,306.4054 +/- 3.3847899,10.547785 +/- 0.19578728,152.68225 +/- 1.5536616,325.02926 +/- 7.5777603,-0.03075178 +/- 0.0097842156,-0.22140791 +/- 0.0097842156,0.19065613 +/- 0,-0.015491826 +/- 0.016282326,-0.37980229 +/- 0.016282326,-8.6752488 +/- 0.28925146,0.36431046 +/- 0,9.835561 +/- 0.0029265814,1.1603123 +/- 0.28632487,1.7922505 +/- 0.041159004,11.650749 +/- 0.24104373,7.5849514 +/- 0.31197795,0.30545673 +/- 0.012563794,1.765746 +/- 0.047299816,0.2993793 +/- 0.0095128298,1870.2913 +/- 50.725736,3102.5403 +/- 95.72931,0.015491826 +/- 0.016282326,1.1934919 +/- 0.022133344,30.499059 +/- 0.64591893,0.075065849 +/- 0.0016123732,0.3112194 +/- 0.006591105
cis-1-3-butadiene_EEF00125-z_SP,C 1: Min (node 2150) from INS: Electron Density SCF,C 1,0.13739025,205.60902,7.3452351,118.8797,301.5836,-0.11751822,-0.23692841,0.11941019,-0.14856823,-0.3841057,-5.6524252,0.23553748,8.1563194,2.5038941,1.6136825,12.827386,7.9368316,0.31962745,1.6337709,0.29184545,1688.5823,2875.8977,0.14856823,1.0299916,31.104334,0.29069211,0.31739577,0.03030703,9.8733185,0.54974535,4.84573,20.863356,-0.01846925,-0.018950781,0.00048153094,-0.031171791,-0.032198627,-0.58956648,0.0010268363,0.12714891,-0.46241757,0.10516108,0.70599518,0.64313181,0.025899829,0.1170156,0.022578018,121.95892,219.40911,0.031171791,0.060005043,1.7501961,0.0019953396,0.017859403,0.12223673 +/- 0.015153515,200.67236 +/- 4.9366593,7.0703625 +/- 0.27487268,116.45683 +/- 2.422865,291.15192 +/- 10.431678,-0.10828359 +/- 0.0092346251,-0.22745302 +/- 0.0094753906,0.11916943 +/- 0.00024076547,-0.13298233 +/- 0.015585896,-0.36800639 +/- 0.016099314,-5.357642 +/- 0.29478324,0.23502406 +/- 0.00051341813,8.0927449 +/- 0.063574457,2.7351029 +/- 0.23120878,1.5611019 +/- 0.052580539,12.474388 +/- 0.35299759,7.6152657 +/- 0.32156591,0.30667753 +/- 0.012949914,1.5752631 +/- 0.058507799,0.28055645 +/- 0.011289009,1627.6028 +/- 60.979458,2766.1932 +/- 109.70456,0.13298233 +/- 0.015585896,0.99998905 +/- 0.030002521,30.229236 +/- 0.87509806,0.28969444 +/- 0.00099766978,0.30846606 +/- 0.0089297016
