Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_SP,C 1: Max (node 6146) from INS: Volume,C 1,-0.015186821,438.65067,13.42195,253.74405,640.96318,0.030281288,-0.29624783,0.32652912,-0.00052360956,-0.53151121,-12.641491,0.5309876,11.084472,-1.5570188,2.5005563,16.785396,9.982162,0.40401221,2.5164134,0.41422825,2515.6293,4212.8088,0.00052360956,1.6720998,38.932842,-0.11076055,0.3982993,0.014056867,14.839458,0.59288793,7.5918239,21.023023,-0.0074100567,-0.013570345,0.0061602882,-0.014841577,-0.024674907,-0.72666796,0.0098333303,0.2395134,-0.48715456,0.11008321,0.57853803,0.48082649,0.019460691,0.11676811,0.020690013,119.53767,201.23109,0.014841577,0.068703184,1.5352467,-0.015845905,0.015706217,-0.022215255 +/- 0.0070284335,431.23094 +/- 7.419729,13.125506 +/- 0.29644396,249.94814 +/- 3.795912,630.45167 +/- 10.511512,0.033986316 +/- 0.0037050283,-0.28946266 +/- 0.0067851725,0.32344898 +/- 0.0030801441,0.0068971789 +/- 0.0074207885,-0.51917375 +/- 0.012337454,-12.278157 +/- 0.36333398,0.52607093 +/- 0.0049166651,10.964716 +/- 0.1197567,-1.3134415 +/- 0.24357728,2.4455147 +/- 0.055041605,16.496127 +/- 0.28926901,9.7417487 +/- 0.24041325,0.39428186 +/- 0.0097303457,2.4580294 +/- 0.058384056,0.40388325 +/- 0.010345006,2455.8605 +/- 59.768833,4112.1932 +/- 100.61554,-0.0068971789 +/- 0.0074207885,1.6377482 +/- 0.034351592,38.165219 +/- 0.76762335,-0.1028376 +/- 0.0079229526,0.39044619 +/- 0.0078531087
cis-1-3-butadiene_SP,C 1: Max (node 6148) from INS: Electron Density SCF,C 1,-0.066715855,430.79252,13.160963,251.08842,636.65726,0.063756498,-0.26277262,0.32652912,0.051946561,-0.47904103,-12.001448,0.5309876,11.084472,-0.91697561,2.4031987,16.107118,8.955279,0.36245075,2.4009563,0.38941381,2386.6436,3950.0113,-0.051946561,1.6243711,37.14733,-0.12300212,0.38003277,0.014233907,11.558858,0.55255591,6.6796333,21.59072,-0.0078270686,-0.012192826,0.0043657574,-0.014910205,-0.021630317,-0.59923688,0.0067201114,0.18456385,-0.41467302,0.092755595,0.50769999,0.44742874,0.01810897,0.099195263,0.017831584,107.34146,181.69059,0.014910205,0.057092428,1.3283233,-0.011219766,0.013589305,-0.073832809 +/- 0.0071169537,425.01309 +/- 5.7794292,12.884685 +/- 0.27627796,247.74861 +/- 3.3398166,625.8619 +/- 10.79536,0.067670032 +/- 0.0039135343,-0.25667621 +/- 0.006096413,0.32434624 +/- 0.0021828787,0.059401664 +/- 0.0074551027,-0.46822588 +/- 0.010815158,-11.70183 +/- 0.29961844,0.52762754 +/- 0.0033600557,10.992191 +/- 0.092281926,-0.7096391 +/- 0.20733651,2.3568209 +/- 0.046377797,15.853268 +/- 0.25384999,8.7315646 +/- 0.22371437,0.35339626 +/- 0.009054485,2.3513587 +/- 0.049597632,0.38049802 +/- 0.0089157919,2332.9728 +/- 53.670732,3859.166 +/- 90.845297,-0.059401664 +/- 0.0074551027,1.5958249 +/- 0.028546214,36.483169 +/- 0.66416167,-0.11739224 +/- 0.0056098831,0.37323811 +/- 0.0067946524
cis-1-3-butadiene_SP,C 1: Max (node 6148) from INS: Kinetic Energy Density SCF,C 1,-0.080287096,435.09237,13.188998,252.22198,643.32691,0.073869401,-0.25265972,0.32652912,0.065762352,-0.46522524,-12.038216,0.5309876,11.084472,-0.95374321,2.3780824,15.835032,8.6468651,0.34996818,2.3723698,0.38296589,2354.8229,3884.7056,-0.065762352,1.6121506,36.480293,-0.13883025,0.37320869,0.01357897,11.125669,0.49725613,6.8186879,18.468361,-0.0073281043,-0.010989279,0.0036611743,-0.014245984,-0.019834035,-0.58175153,0.0055880514,0.18298213,-0.3987694,0.091941783,0.51086728,0.42887287,0.017357951,0.098225028,0.017586792,106.21235,179.13808,0.014245984,0.056768199,1.3202992,-0.010898499,0.013507214,-0.087076581 +/- 0.006789485,429.52953 +/- 5.5628344,12.94037 +/- 0.24862807,248.81263 +/- 3.409344,634.09273 +/- 9.2341804,0.077533453 +/- 0.0036640521,-0.24716508 +/- 0.0054946393,0.32469853 +/- 0.0018305872,0.072885344 +/- 0.007122992,-0.45530823 +/- 0.0099170177,-11.74734 +/- 0.29087576,0.52819357 +/- 0.0027940257,10.992981 +/- 0.091491065,-0.75435851 +/- 0.1993847,2.3321115 +/- 0.045970892,15.579598 +/- 0.25543364,8.4324286 +/- 0.21443644,0.3412892 +/- 0.0086789754,2.3232573 +/- 0.049112514,0.37417249 +/- 0.0087933961,2301.7167 +/- 53.106174,3795.1365 +/- 89.56904,-0.072885344 +/- 0.007122992,1.5837665 +/- 0.028384099,35.820143 +/- 0.66014958,-0.133381 +/- 0.0054492495,0.36645509 +/- 0.006753607
cis-1-3-butadiene_SP,C 1: Max (node 6168) from INS: Electron Density SCF,C 1,0.014936938,390.98343,11.198517,181.30645,593.01013,-0.027364813,-0.22132348,0.19395867,-0.02651788,-0.39062074,-9.3910615,0.36410286,9.3811711,-0.0098904237,1.8171531,11.125336,7.8393129,0.31728378,1.8052874,0.30534834,1958.9696,3264.9169,0.02651788,1.2064564,29.837209,0.014329839,0.30524716,-0.0027399672,16.295884,0.42191537,8.8593356,25.183408,0.0034233438,-0.0055742958,0.0089976396,0.002272042,-0.01062233,-0.38908771,0.012894372,0.22544795,-0.16363976,0.076765157,0.395472,0.23754931,0.0096144323,0.077471248,0.012337532,82.3542,128.41395,-0.002272042,0.052090094,1.0423256,-0.012784587,0.010663428,0.016306921 +/- 0.0013699836,382.83549 +/- 8.147942,10.987559 +/- 0.21095769,176.87678 +/- 4.4296678,580.41842 +/- 12.591704,-0.029076484 +/- 0.0017116719,-0.21853633 +/- 0.0027871479,0.18945985 +/- 0.0044988198,-0.027653901 +/- 0.001136021,-0.38530957 +/- 0.0053111651,-9.1965176 +/- 0.19454385,0.35765567 +/- 0.006447186,9.2684471 +/- 0.11272397,0.071929458 +/- 0.081819881,1.7787705 +/- 0.038382578,10.9276 +/- 0.197736,7.7205382 +/- 0.11877465,0.31247657 +/- 0.0048072162,1.7665518 +/- 0.038735624,0.29917957 +/- 0.0061687658,1917.7925 +/- 41.1771,3200.7099 +/- 64.206973,0.027653901 +/- 0.001136021,1.1804114 +/- 0.026045047,29.316046 +/- 0.52116281,0.020722132 +/- 0.0063922937,0.29991544 +/- 0.0053317141
cis-1-3-butadiene_SP,C 1: Max (node 6170) from INS: Volume,C 1,-0.033630735,380.6792,10.827191,177.9681,588.7042,0.0015860318,-0.19237263,0.19395867,0.022959239,-0.34114362,-8.3683608,0.36410286,9.3811711,1.0128102,1.7218475,10.661803,6.9766045,0.28236703,1.6903208,0.28136946,1834.7678,3014.2726,-0.022959239,1.1591086,28.516029,0.028538105,0.29173093,-0.0086936864,17.498683,0.44749763,9.4452712,29.237048,0.0060219387,-0.0045846026,0.010606541,0.0082350601,-0.0087864818,-0.35319903,0.017021542,0.38538109,0.032182063,0.081247768,0.48455804,0.20866242,0.0084452811,0.078598283,0.012092347,79.672236,121.82097,-0.0082350601,0.057063074,1.2141812,-0.0067182704,0.012421583,-0.029283892 +/- 0.0043468432,371.92986 +/- 8.7493413,10.603442 +/- 0.22374882,173.24546 +/- 4.7226356,574.08568 +/- 14.618524,-0.0014249375 +/- 0.0030109694,-0.19008033 +/- 0.0022923013,0.1886554 +/- 0.0053032707,0.018841709 +/- 0.0041175301,-0.33675038 +/- 0.0043932409,-8.1917613 +/- 0.17659951,0.35559209 +/- 0.008510771,9.1884805 +/- 0.19269055,0.99671919 +/- 0.016091032,1.6812236 +/- 0.040623884,10.419524 +/- 0.24227902,6.8722733 +/- 0.10433121,0.27814439 +/- 0.0042226406,1.6510217 +/- 0.039299142,0.27532328 +/- 0.0060461735,1794.9316 +/- 39.836118,2953.3621 +/- 60.910485,-0.018841709 +/- 0.0041175301,1.130577 +/- 0.028531537,27.908938 +/- 0.60709061,0.03189724 +/- 0.0033591352,0.28552014 +/- 0.0062107915
cis-1-3-butadiene_SP,C 1: Max (node 6172) from INS: Kinetic Energy Density SCF,C 1,0.034530456,387.71171,11.201985,180.43978,586.34047,-0.040576316,-0.23453498,0.19395867,-0.046471729,-0.41057458,-9.5856255,0.36410286,9.3811711,-0.20445446,1.8545633,11.401712,8.2286014,0.33303962,1.8490971,0.31484896,2005.7777,3360.3351,0.046471729,1.2248654,30.571309,0.021980527,0.31275731,-0.011091096,14.9315,0.40805602,8.7800977,21.352242,0.0073140399,-0.0053532839,0.012667324,0.010628543,-0.0099862313,-0.34630193,0.020614774,0.45733262,0.11103069,0.084266476,0.53632905,0.22367246,0.009052789,0.080511874,0.012195897,79.281068,122.60634,-0.010628543,0.059874683,1.3031516,-0.0042757533,0.013331787,0.040076004 +/- 0.005545548,380.24596 +/- 7.4657501,10.997957 +/- 0.20402801,176.04973 +/- 4.3900488,575.66435 +/- 10.676121,-0.044233336 +/- 0.0036570199,-0.23185834 +/- 0.002676642,0.187625 +/- 0.0063336619,-0.051786 +/- 0.0053142713,-0.40558147 +/- 0.0049931156,-9.4124745 +/- 0.17315097,0.35379547 +/- 0.010307387,9.1525047 +/- 0.22866631,-0.2599698 +/- 0.055515344,1.8124301 +/- 0.042133238,11.133548 +/- 0.26816453,8.1167652 +/- 0.11183623,0.32851322 +/- 0.0045263945,1.8088412 +/- 0.040255937,0.30875102 +/- 0.0060979483,1966.1372 +/- 39.640534,3299.0319 +/- 61.303172,0.051786 +/- 0.0053142713,1.1949281 +/- 0.029937341,29.919733 +/- 0.65157579,0.024118403 +/- 0.0021378767,0.30609142 +/- 0.0066658936
cis-1-3-butadiene_SP,C 1: Max (node 6190) from INS: Electron Density SCF,C 1,0.013851929,327.68466,10.904342,161.6645,330.7745,-0.036391686,-0.2263986,0.19000692,-0.025428681,-0.3883549,-8.8534722,0.36292622,9.7803383,0.92686605,1.8175752,11.741821,7.9129831,0.32026547,1.7955974,0.30523785,1960.0703,3245.9563,0.025428681,1.2070995,30.763165,0.070745299,0.31472008,0.01014388,11.33945,0.4378838,5.7602022,22.07529,-0.0061920006,-0.010582477,0.0043904762,-0.010735264,-0.018511408,-0.47365415,0.0077761444,0.18952845,-0.2841257,0.083412371,0.44220541,0.38086195,0.015414785,0.087392959,0.015592709,92.379498,154.62947,0.010735264,0.052226955,1.2400258,-0.0072964705,0.012685984,0.0087799894 +/- 0.0050719398,322.01493 +/- 5.6697251,10.685401 +/- 0.2189419,158.7844 +/- 2.8801011,319.73685 +/- 11.037645,-0.033295686 +/- 0.0030960003,-0.22110736 +/- 0.0052912384,0.18781168 +/- 0.0021952381,-0.020061049 +/- 0.005367632,-0.37909919 +/- 0.0092557042,-8.6166451 +/- 0.23682708,0.35903815 +/- 0.0038880722,9.685574 +/- 0.094764227,1.0689289 +/- 0.14206285,1.775869 +/- 0.041706186,11.520718 +/- 0.22110271,7.7225522 +/- 0.19043097,0.31255808 +/- 0.0077073924,1.7519009 +/- 0.043696479,0.2974415 +/- 0.0077963543,1913.8806 +/- 46.189749,3168.6416 +/- 77.314734,0.020061049 +/- 0.005367632,1.180986 +/- 0.026113477,30.143152 +/- 0.62001288,0.074393534 +/- 0.0036482353,0.30837709 +/- 0.0063429918
cis-1-3-butadiene_SP,C 1: Max (node 6192) from INS: Kinetic Energy Density SCF,C 1,0.0078296511,326.65653,10.87284,161.39762,330.7745,-0.033293085,-0.2233,0.19000692,-0.019290623,-0.38221684,-8.6221406,0.36292622,9.7803383,1.1581977,1.8052812,11.737531,7.8321086,0.3169922,1.7803742,0.30218515,1945.0829,3215.8438,0.019290623,1.2009109,30.696102,0.078922738,0.314034,0.0076296314,11.574697,0.44570902,5.7495338,20.903643,-0.0049198274,-0.010727789,0.0058079616,-0.0082341369,-0.018630791,-0.46662761,0.010396654,0.25835515,-0.20827246,0.088002353,0.48682883,0.38825003,0.015713805,0.090741502,0.015938664,92.945704,155.91796,0.0082341369,0.056125025,1.3496954,-0.0051546563,0.013807949,0.0040148354 +/- 0.0038148157,320.86918 +/- 5.7873483,10.649985 +/- 0.22285451,158.52285 +/- 2.8747669,320.32268 +/- 10.451822,-0.030833172 +/- 0.0024599137,-0.21793611 +/- 0.0053638945,0.18710294 +/- 0.0029039808,-0.015173555 +/- 0.0041170684,-0.37290145 +/- 0.0093153953,-8.3888268 +/- 0.2333138,0.35772789 +/- 0.0051983269,9.6511607 +/- 0.12917757,1.2623339 +/- 0.10413623,1.7612801 +/- 0.044001177,11.494117 +/- 0.24341441,7.6379836 +/- 0.19412501,0.3091353 +/- 0.0078569027,1.7350034 +/- 0.045370751,0.29421582 +/- 0.007969332,1898.6101 +/- 46.472852,3137.8848 +/- 77.958981,0.015173555 +/- 0.0041170684,1.1728484 +/- 0.028062513,30.021255 +/- 0.67484768,0.081500066 +/- 0.0025773282,0.30713002 +/- 0.0069039747
cis-1-3-butadiene_SP,C 1: Max (node 6194) from INS: Volume,C 1,0.010890568,330.13074,11.014681,162.34723,330.7745,-0.03186732,-0.22187424,0.19000692,-0.022435629,-0.38536185,-9.2361296,0.36292622,9.7803383,0.54420861,1.8155232,11.527076,7.7488085,0.31362076,1.7951068,0.30440229,1955.2864,3233.8031,0.022435629,1.2067186,30.298833,0.044295462,0.30996977,0.0058544471,12.344927,0.47867863,6.2646731,23.965767,-0.0037152696,-0.0088687676,0.005153498,-0.0063980062,-0.015507381,-0.38187275,0.0091093753,0.20425727,-0.17761548,0.080135904,0.43676685,0.33005468,0.013358441,0.082301467,0.014331725,85.432173,140.23992,0.0063980062,0.051472454,1.2232777,-0.0050480383,0.012514644,0.0079633441 +/- 0.0029272235,323.95827 +/- 6.1724636,10.775342 +/- 0.23933931,159.21489 +/- 3.1323366,318.79161 +/- 11.982883,-0.030009685 +/- 0.0018576348,-0.21743985 +/- 0.0044343838,0.18743017 +/- 0.002576749,-0.019236626 +/- 0.0031990031,-0.37760816 +/- 0.0077536907,-9.0451933 +/- 0.19093637,0.35837153 +/- 0.0045546876,9.6782096 +/- 0.10212863,0.63301635 +/- 0.08880774,1.7754552 +/- 0.040067952,11.308692 +/- 0.21838342,7.5837812 +/- 0.16502734,0.30694154 +/- 0.0066792204,1.7539561 +/- 0.041150734,0.29723642 +/- 0.0071658626,1912.5703 +/- 42.716086,3163.6831 +/- 70.11996,0.019236626 +/- 0.0031990031,1.1809824 +/- 0.025736227,29.687194 +/- 0.61163887,0.046819481 +/- 0.0025240191,0.30371245 +/- 0.0062573222
cis-1-3-butadiene_SP,C 1: Min (node 2132) from INS: Volume,C 1,-0.052098772,315.93003,11.180267,169.93031,253.11961,0.045411818,-0.1629113,0.20832311,0.041913978,-0.30679849,-9.2151339,0.34871247,7.4747725,-1.7403614,1.66332,9.9436461,5.9779528,0.24194818,1.6571274,0.26853686,1767.1896,2859.8346,-0.041913978,1.1262462,24.508501,-0.15892654,0.25073224,-0.011730369,25.562368,0.65334289,12.064883,42.535628,0.0081919591,-0.0053003927,0.013492352,0.011151746,-0.010208452,-0.35761894,0.021360199,0.46397929,0.10636035,0.10326762,0.66409645,0.25227664,0.010210498,0.0997573,0.015256209,99.026235,150.1499,-0.011151746,0.072755204,1.5976197,-0.0052017027,0.01634432,-0.046233588 +/- 0.0058651843,303.14885 +/- 12.781184,10.853596 +/- 0.32667144,163.89787 +/- 6.0324413,231.85179 +/- 21.267814,0.041315839 +/- 0.0040959795,-0.1602611 +/- 0.0026501964,0.20157694 +/- 0.0067461759,0.036338105 +/- 0.0055758732,-0.30169426 +/- 0.0051042262,-9.0363245 +/- 0.17880947,0.33803237 +/- 0.010680099,7.2427829 +/- 0.23198965,-1.7935416 +/- 0.053180175,1.6116862 +/- 0.051633811,9.6115978 +/- 0.33204823,5.8518145 +/- 0.12613832,0.23684293 +/- 0.0051052488,1.6072488 +/- 0.04987865,0.26090876 +/- 0.0076281044,1717.6765 +/- 49.513117,2784.7596 +/- 75.074951,-0.036338105 +/- 0.0055758732,1.0898686 +/- 0.036377602,23.709691 +/- 0.79880987,-0.15632568 +/- 0.0026008513,0.24256008 +/- 0.0081721599
