Dataset name,Region name,Atom name,I: Area Bader charge,I: Average curvature,I: Average curvature-scaled torsion,I: Average net plane curvature,I: Average torsion,I: Deformation (kinetic) energy,I: Deformation (kinetic) negative energy,I: Deformation (kinetic) positive energy,I: Deformation charge,I: Deformation negative charge,I: Deformation negative volume,I: Deformation positive charge,I: Deformation positive volume,I: Deformation volume,I: Electron Density SCF,I: Electron Localization Function SCF,I: Gradient bundle partition function contribution (from IN Te),I: Gradient bundle probability (from IN Te),I: Kinetic Energy Density SCF,I: Solid angle (alpha),I: Te per electron,I: Te per valence electron,I: Valence Bader charge,I: Valence density,I: Volume,I: Volume Bader charge,I: Volume fraction,I: Area Bader charge (boundary),I: Average curvature (boundary),I: Average curvature-scaled torsion (boundary),I: Average net plane curvature (boundary),I: Average torsion (boundary),I: Deformation (kinetic) energy (boundary),I: Deformation (kinetic) negative energy (boundary),I: Deformation (kinetic) positive energy (boundary),I: Deformation charge (boundary),I: Deformation negative charge (boundary),I: Deformation negative volume (boundary),I: Deformation positive charge (boundary),I: Deformation positive volume (boundary),I: Deformation volume (boundary),I: Electron Density SCF (boundary),I: Electron Localization Function SCF (boundary),I: Gradient bundle partition function contribution (from IN Te) (boundary),I: Gradient bundle probability (from IN Te) (boundary),I: Kinetic Energy Density SCF (boundary),I: Solid angle (alpha) (boundary),I: Te per electron (boundary),I: Te per valence electron (boundary),I: Valence Bader charge (boundary),I: Valence density (boundary),I: Volume (boundary),I: Volume Bader charge (boundary),I: Volume fraction (boundary),I: Area Bader charge (with boundary error),I: Average curvature (with boundary error),I: Average curvature-scaled torsion (with boundary error),I: Average net plane curvature (with boundary error),I: Average torsion (with boundary error),I: Deformation (kinetic) energy (with boundary error),I: Deformation (kinetic) negative energy (with boundary error),I: Deformation (kinetic) positive energy (with boundary error),I: Deformation charge (with boundary error),I: Deformation negative charge (with boundary error),I: Deformation negative volume (with boundary error),I: Deformation positive charge (with boundary error),I: Deformation positive volume (with boundary error),I: Deformation volume (with boundary error),I: Electron Density SCF (with boundary error),I: Electron Localization Function SCF (with boundary error),I: Gradient bundle partition function contribution (from IN Te) (with boundary error),I: Gradient bundle probability (from IN Te) (with boundary error),I: Kinetic Energy Density SCF (with boundary error),I: Solid angle (alpha) (with boundary error),I: Te per electron (with boundary error),I: Te per valence electron (with boundary error),I: Valence Bader charge (with boundary error),I: Valence density (with boundary error),I: Volume (with boundary error),I: Volume Bader charge (with boundary error),I: Volume fraction (with boundary error)
cis-1-3-butadiene_SP,Bond 2 from INS: Electron Density SCF,full,0.083431466,1832.6364,76.529182,1276.8282,1392.7597,-0.034929255,-0.39934302,0.36441377,-0.033240193,-0.73824142,-18.216912,0.70500122,20.344711,2.127799,2.7627521,39.618083,3218.1298,1.3204168,2.4065587,1.3076973,5787.5985,7131.5886,0.033240193,2.1473576,75.709468,0.23580709,1.3330932,0.025706433,15.834639,0.4095836,6.1900771,8.0463071,-0.013602557,-0.013837531,0.00023497415,-0.025935231,-0.026292053,-0.78500129,0.0003568223,0.0011905946,-0.7838107,0.072650037,0.19354459,0.45486016,0.018068198,0.085005502,0.016392745,93.563125,172.26105,0.025935231,0.039864547,0.58965561,-0.030423705,0.007037722,0.070578249 +/- 0.012853216,1824.7191 +/- 7.9173193,76.32439 +/- 0.2047918,1273.7332 +/- 3.0950386,1388.7366 +/- 4.0231536,-0.028127977 +/- 0.0068012784,-0.39242426 +/- 0.0069187655,0.36429628 +/- 0.00011748707,-0.020272578 +/- 0.012967616,-0.72509539 +/- 0.013146027,-17.824412 +/- 0.39250065,0.70482281 +/- 0.00017841115,20.344116 +/- 0.00059529732,2.5197043 +/- 0.39190535,2.7264271 +/- 0.036325018,39.521311 +/- 0.096772296,3217.9024 +/- 0.22743008,1.3113827 +/- 0.0090340988,2.3640559 +/- 0.042502751,1.2995009 +/- 0.0081963725,5740.8169 +/- 46.781563,7045.4581 +/- 86.130524,0.020272578 +/- 0.012967616,2.1274253 +/- 0.019932273,75.41464 +/- 0.29482781,0.25101895 +/- 0.015211852,1.3295743 +/- 0.003518861
cis-1-3-butadiene_SP,Bond 2 from INS: Electron Density SCF,C 2: Max (node 6118) from INS: Electron Density SCF,0.028945575,355.56161,10.130158,145.20222,94.646832,-0.034929255,-0.23413376,0.19920451,-0.033240194,-0.40281983,-7.4881336,0.36957964,9.6159326,2.1277989,1.817238,10.06309,8.0663745,0.32041682,1.8159767,0.30769726,1971.8033,3315.7934,0.033240194,1.2018435,27.908217,0.1813212,0.3330932,0.025706433,15.834639,0.4095836,6.1900771,8.0463071,-0.013602557,-0.013837531,0.00023497415,-0.025935231,-0.026292053,-0.78500129,0.0003568223,0.0011905946,-0.7838107,0.072650037,0.19354459,0.45486016,0.018068198,0.085005502,0.016392745,93.563125,172.26105,0.025935231,0.039864547,0.58965561,-0.030423705,0.007037722,0.016092358 +/- 0.012853216,347.64429 +/- 7.9173193,9.925366 +/- 0.2047918,142.10718 +/- 3.0950386,90.623678 +/- 4.0231536,-0.028127977 +/- 0.0068012784,-0.227215 +/- 0.0069187655,0.19908702 +/- 0.00011748707,-0.020272578 +/- 0.012967616,-0.3896738 +/- 0.013146027,-7.095633 +/- 0.39250065,0.36940123 +/- 0.00017841115,9.6153373 +/- 0.00059529732,2.5197043 +/- 0.39190535,1.780913 +/- 0.036325018,9.9663181 +/- 0.096772296,7.8389444 +/- 0.22743008,0.31138272 +/- 0.0090340988,1.773474 +/- 0.042502751,0.29950089 +/- 0.0081963725,1925.0218 +/- 46.781563,3229.6629 +/- 86.130524,0.020272578 +/- 0.012967616,1.1819112 +/- 0.019932273,27.61339 +/- 0.29482781,0.19653306 +/- 0.015211852,0.32957434 +/- 0.003518861
cis-1-3-butadiene_SP,Bond 2 from INS: Electron Density SCF,H 4: Max (node 5462) from INS: Electron Density SCF,0.054485891,1477.0748,66.399024,1131.626,1298.1129,1.0075385e-10,-0.16520926,0.16520926,2.0096858e-10,-0.33542159,-10.728779,0.33542159,10.728779,2.4258043e-08,0.94551411,29.554993,3210.0634,1,0.59058192,1,3815.7952,3815.7952,-2.0096858e-10,0.94551411,47.801251,0.054485891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054485891 +/- 0,1477.0748 +/- 0,66.399024 +/- 0,1131.626 +/- 0,1298.1129 +/- 0,1.0075385e-10 +/- 0,-0.16520926 +/- 0,0.16520926 +/- 0,2.0096858e-10 +/- 0,-0.33542159 +/- 0,-10.728779 +/- 0,0.33542159 +/- 0,10.728779 +/- 0,2.4258043e-08 +/- 0,0.94551411 +/- 0,29.554993 +/- 0,3210.0634 +/- 0,1 +/- 0,0.59058192 +/- 0,1 +/- 0,3815.7952 +/- 0,3815.7952 +/- 0,-2.0096858e-10 +/- 0,0.94551411 +/- 0,47.801251 +/- 0,0.054485891 +/- 0,1 +/- 0
cis-1-3-butadiene_SP,Bond 2 from INS: Kinetic Energy Density SCF,full,0.08363005,1831.3804,76.482321,1276.3517,1392.7597,-0.03575318,-0.40016695,0.36441377,-0.033433279,-0.7384345,-18.132518,0.70500122,20.344711,2.2121935,2.7601897,39.634201,3218.149,1.3211769,2.4033648,1.3073033,5783.8533,7126.6946,0.033433279,2.1455831,75.760853,0.24204933,1.3337065,0.023513675,16.228091,0.4029049,6.494074,8.877209,-0.012445609,-0.013046785,0.00060117513,-0.023738061,-0.02485161,-0.74810639,0.0011135493,0.048043885,-0.7000625,0.072946081,0.22544126,0.43757726,0.017381677,0.084260884,0.016076626,92.69544,169.12559,0.023738061,0.040792829,0.64691778,-0.026619099,0.0077211636,0.071873212 +/- 0.011756837,1823.2664 +/- 8.1140456,76.280868 +/- 0.20145245,1273.1047 +/- 3.247037,1388.3211 +/- 4.4386045,-0.029530375 +/- 0.0062228047,-0.39364356 +/- 0.0065233923,0.36411318 +/- 0.00030058757,-0.021564248 +/- 0.01186903,-0.7260087 +/- 0.012425805,-17.758465 +/- 0.37405319,0.70444445 +/- 0.00055677463,20.320689 +/- 0.024021943,2.5622248 +/- 0.35003125,2.7237166 +/- 0.03647304,39.52148 +/- 0.11272063,3217.9302 +/- 0.21878863,1.3124861 +/- 0.0086908384,2.3612344 +/- 0.042130442,1.299265 +/- 0.0080383129,5737.5056 +/- 46.34772,7042.1319 +/- 84.562793,0.021564248 +/- 0.01186903,2.1251867 +/- 0.020396414,75.437394 +/- 0.32345889,0.25535888 +/- 0.01330955,1.3298459 +/- 0.0038605818
cis-1-3-butadiene_SP,Bond 2 from INS: Kinetic Energy Density SCF,C 2: Max (node 6118) from INS: Kinetic Energy Density SCF,0.029144159,354.30562,10.083296,144.72571,94.646832,-0.03575318,-0.23495769,0.19920451,-0.033433279,-0.40301292,-7.403739,0.36957964,9.6159326,2.2121935,1.8146755,10.079208,8.0855093,0.3211769,1.8127829,0.30730328,1968.0582,3310.8995,0.033433279,1.200069,27.959603,0.18756344,0.3337065,0.023513675,16.228091,0.4029049,6.494074,8.877209,-0.012445609,-0.013046785,0.00060117513,-0.023738061,-0.02485161,-0.74810639,0.0011135493,0.048043885,-0.7000625,0.072946081,0.22544126,0.43757726,0.017381677,0.084260884,0.016076626,92.69544,169.12559,0.023738061,0.040792829,0.64691778,-0.026619099,0.0077211636,0.017387321 +/- 0.011756837,346.19158 +/- 8.1140456,9.8818439 +/- 0.20145245,141.47867 +/- 3.247037,90.208227 +/- 4.4386045,-0.029530375 +/- 0.0062228047,-0.22843429 +/- 0.0065233923,0.19890392 +/- 0.00030058757,-0.021564248 +/- 0.01186903,-0.39058711 +/- 0.012425805,-7.0296859 +/- 0.37405319,0.36902286 +/- 0.00055677463,9.5919106 +/- 0.024021943,2.5622248 +/- 0.35003125,1.7782025 +/- 0.03647304,9.9664874 +/- 0.11272063,7.8667206 +/- 0.21878863,0.31248607 +/- 0.0086908384,1.7706525 +/- 0.042130442,0.29926497 +/- 0.0080383129,1921.7104 +/- 46.34772,3226.3367 +/- 84.562793,0.021564248 +/- 0.01186903,1.1796726 +/- 0.020396414,27.636144 +/- 0.32345889,0.20087299 +/- 0.01330955,0.32984591 +/- 0.0038605818
cis-1-3-butadiene_SP,Bond 2 from INS: Kinetic Energy Density SCF,H 4: Max (node 5462) from INS: Kinetic Energy Density SCF,0.054485891,1477.0748,66.399024,1131.626,1298.1129,1.0075385e-10,-0.16520926,0.16520926,2.0096858e-10,-0.33542159,-10.728779,0.33542159,10.728779,2.4258043e-08,0.94551411,29.554993,3210.0634,1,0.59058192,1,3815.7952,3815.7952,-2.0096858e-10,0.94551411,47.801251,0.054485891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054485891 +/- 0,1477.0748 +/- 0,66.399024 +/- 0,1131.626 +/- 0,1298.1129 +/- 0,1.0075385e-10 +/- 0,-0.16520926 +/- 0,0.16520926 +/- 0,2.0096858e-10 +/- 0,-0.33542159 +/- 0,-10.728779 +/- 0,0.33542159 +/- 0,10.728779 +/- 0,2.4258043e-08 +/- 0,0.94551411 +/- 0,29.554993 +/- 0,3210.0634 +/- 0,1 +/- 0,0.59058192 +/- 0,1 +/- 0,3815.7952 +/- 0,3815.7952 +/- 0,-2.0096858e-10 +/- 0,0.94551411 +/- 0,47.801251 +/- 0,0.054485891 +/- 0,1 +/- 0
cis-1-3-butadiene_SP,Bond 2 from INS: Volume,full,0.05626033,1831.38,76.436639,1276.7274,1392.7597,-0.017607283,-0.38202105,0.36441377,-0.0058990729,-0.7109003,-17.94383,0.70500122,20.344711,2.4008817,2.7168495,39.338682,3217.6264,1.3004197,2.35062,1.2955183,5726.6958,7002.3513,0.0058990729,2.1258129,74.962138,0.22819192,1.3241736,0.02664799,16.902172,0.37726129,6.8411532,7.973317,-0.013967365,-0.014004616,3.7250831e-05,-0.026886306,-0.026887739,-0.83641134,1.4333253e-06,0.0075633235,-0.82884802,0.075799948,0.20225828,0.45485428,0.018067964,0.088742628,0.017074657,95.959654,175.76616,0.026886306,0.041650636,0.60175226,-0.032707353,0.0071820992,0.042936335 +/- 0.013323995,1822.9289 +/- 8.4510859,76.248009 +/- 0.18863064,1273.3068 +/- 3.4205766,1388.7731 +/- 3.9866585,-0.010623601 +/- 0.0069836827,-0.37501874 +/- 0.0070023081,0.36439514 +/- 1.8625416e-05,0.0075440801 +/- 0.013443153,-0.69745643 +/- 0.01344387,-17.525624 +/- 0.41820567,0.70500051 +/- 7.1666267e-07,20.34093 +/- 0.0037816617,2.8153057 +/- 0.41442401,2.6789496 +/- 0.037899974,39.237553 +/- 0.10112914,3217.399 +/- 0.22742714,1.2913857 +/- 0.0090339821,2.3062487 +/- 0.044371314,1.286981 +/- 0.0085373283,5678.716 +/- 47.979827,6914.4682 +/- 87.883078,-0.0075440801 +/- 0.013443153,2.1049876 +/- 0.020825318,74.661261 +/- 0.30087613,0.2445456 +/- 0.016353677,1.3205825 +/- 0.0035910496
cis-1-3-butadiene_SP,Bond 2 from INS: Volume,C 2: Max (node 6114) from INS: Volume,0.0017744393,354.30521,10.037615,145.10134,94.646832,-0.017607283,-0.21681179,0.19920451,-0.0058990731,-0.37547871,-7.2150508,0.36957964,9.6159326,2.4008817,1.7713354,9.7836892,7.562954,0.30041969,1.7600381,0.29551831,1910.9006,3186.5561,0.0058990731,1.1802988,27.160887,0.17370603,0.32417358,0.02664799,16.902172,0.37726129,6.8411532,7.973317,-0.013967365,-0.014004616,3.7250831e-05,-0.026886306,-0.026887739,-0.83641134,1.4333253e-06,0.0075633235,-0.82884802,0.075799948,0.20225828,0.45485428,0.018067964,0.088742628,0.017074657,95.959654,175.76616,0.026886306,0.041650636,0.60175226,-0.032707353,0.0071820992,-0.011549556 +/- 0.013323995,345.85412 +/- 8.4510859,9.8489845 +/- 0.18863064,141.68076 +/- 3.4205766,90.660173 +/- 3.9866585,-0.010623601 +/- 0.0069836827,-0.20980948 +/- 0.0070023081,0.19918588 +/- 1.8625416e-05,0.0075440799 +/- 0.013443153,-0.36203484 +/- 0.01344387,-6.7968452 +/- 0.41820567,0.36957892 +/- 7.1666267e-07,9.6121509 +/- 0.0037816617,2.8153057 +/- 0.41442401,1.7334355 +/- 0.037899974,9.68256 +/- 0.10112914,7.3355268 +/- 0.22742714,0.2913857 +/- 0.0090339821,1.7156668 +/- 0.044371314,0.28698098 +/- 0.0085373283,1862.9208 +/- 47.979827,3098.673 +/- 87.883078,-0.0075440799 +/- 0.013443153,1.1594735 +/- 0.020825318,26.860011 +/- 0.30087613,0.19005971 +/- 0.016353677,0.32058253 +/- 0.0035910496
cis-1-3-butadiene_SP,Bond 2 from INS: Volume,H 4: Max (node 5462) from INS: Volume,0.054485891,1477.0748,66.399024,1131.626,1298.1129,1.0075385e-10,-0.16520926,0.16520926,2.0096858e-10,-0.33542159,-10.728779,0.33542159,10.728779,2.4258043e-08,0.94551411,29.554993,3210.0634,1,0.59058192,1,3815.7952,3815.7952,-2.0096858e-10,0.94551411,47.801251,0.054485891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054485891 +/- 0,1477.0748 +/- 0,66.399024 +/- 0,1131.626 +/- 0,1298.1129 +/- 0,1.0075385e-10 +/- 0,-0.16520926 +/- 0,0.16520926 +/- 0,2.0096858e-10 +/- 0,-0.33542159 +/- 0,-10.728779 +/- 0,0.33542159 +/- 0,10.728779 +/- 0,2.4258043e-08 +/- 0,0.94551411 +/- 0,29.554993 +/- 0,3210.0634 +/- 0,1 +/- 0,0.59058192 +/- 0,1 +/- 0,3815.7952 +/- 0,3815.7952 +/- 0,-2.0096858e-10 +/- 0,0.94551411 +/- 0,47.801251 +/- 0,0.054485891 +/- 0,1 +/- 0
cis-1-3-butadiene_SP,Bond 4 from INS: Electron Density SCF,full,-0.14385593,802.0479,24.550099,442.94624,870.9712,0.12502723,-0.53377348,0.65880071,0.12377549,-0.95452673,-21.500939,1.0783022,22.911175,1.4102361,4.763511,30.306502,18.09698,0.72558228,4.7512394,0.76994251,4773.8458,7920.688,-0.12377549,3.2236259,71.357143,-0.033486255,0.78833745,0.040011089,29.586778,1.0269212,13.154539,30.404924,-0.021621475,-0.027332456,0.005710981,-0.040963898,-0.049720654,-1.3720105,0.0087567555,0.24326644,-1.1287441,0.18584558,0.82718938,0.96028676,0.03848099,0.20457208,0.037642779,218.7681,381.51601,0.040963898,0.11056003,2.2741335,-0.036578539,0.024877841,-0.16386147 +/- 0.020005545,787.25451 +/- 14.793389,24.036638 +/- 0.51346058,436.36897 +/- 6.5772693,855.76874 +/- 15.202462,0.13583797 +/- 0.010810737,-0.52010726 +/- 0.013666228,0.65594522 +/- 0.0028554905,0.14425744 +/- 0.020481949,-0.92966641 +/- 0.024860327,-20.814933 +/- 0.68600527,1.0739238 +/- 0.0043783778,22.789542 +/- 0.12163322,1.9746081 +/- 0.56437206,4.6705882 +/- 0.092922791,29.892908 +/- 0.41359469,17.616837 +/- 0.48014338,0.70634179 +/- 0.019240495,4.6489534 +/- 0.10228604,0.75112112 +/- 0.018821389,4664.4617 +/- 109.38405,7729.93 +/- 190.758,-0.14425744 +/- 0.020481949,3.1683459 +/- 0.055280013,70.220076 +/- 1.1370667,-0.015196985 +/- 0.018289269,0.77589853 +/- 0.01243892
